year,sont_VERB en_PRON,sont_VERB lents_ADJ
1800,2.402141614510356e-06,1.8864986373046122e-07
1801,2.2144996947304207e-06,4.690929813477851e-07
1802,2.2490294213639572e-06,2.842056971985585e-07
1803,2.999621717236778e-06,5.070882025393075e-07
1804,2.3210681390217758e-06,3.386435878383054e-07
1805,2.5870187680965273e-06,2.7291625315228885e-07
1806,2.207358518191427e-06,1.5849180101668026e-07
1807,2.109593670418519e-06,2.590729195617314e-07
1808,2.6309119398604253e-06,3.308468023988098e-07
1809,2.1438200406009855e-06,3.411136049180641e-07
1810,2.0382503702620625e-06,2.854954743725102e-07
1811,1.8577439369060755e-06,1.3788921648938413e-07
1812,2.4991741183200133e-06,2.2671270016871858e-07
1813,2.593918944526763e-06,2.904499183387088e-07
1814,2.6683822316186934e-06,2.517341783914162e-07
1815,2.0094315917873473e-06,3.263640451223182e-07
1816,2.178547546805021e-06,2.1321955046005314e-07
1817,2.2216583639433907e-06,4.670620228353073e-07
1818,1.959841478882396e-06,3.8028557014513353e-07
1819,2.046402687305715e-06,2.1323162968656106e-07
1820,2.4231355082449113e-06,2.2308984171104385e-07
1821,2.7128954371846703e-06,2.5344024834339507e-07
1822,2.319927531857502e-06,2.606660132187244e-07
1823,2.0397864788357367e-06,2.0358335461878596e-07
1824,2.138120432704227e-06,2.374753762524051e-07
1825,2.4179745929941987e-06,2.491940449544927e-07
1826,2.270698437278895e-06,1.8320606898214464e-07
1827,2.565167005030844e-06,2.0093655450637016e-07
1828,2.566409879278808e-06,2.4214875793404644e-07
1829,2.299325863264201e-06,2.4776477403065655e-07
1830,2.5465878614738813e-06,2.870129947041278e-07
1831,2.3870135912318347e-06,2.5413666548956826e-07
1832,2.217562011352925e-06,3.0036531484256557e-07
1833,2.5565068142441305e-06,3.1275797596208577e-07
1834,2.6454060666480927e-06,2.3429672069141816e-07
1835,2.5268276289125424e-06,2.064722934846941e-07
1836,2.8697603378091685e-06,1.996062763964801e-07
1837,2.341330208821546e-06,2.6022510724033054e-07
1838,2.5526383087282056e-06,1.9946430995787523e-07
1839,2.332356075385178e-06,2.251255040164324e-07
1840,2.3128339119438124e-06,2.08925783340419e-07
1841,2.419904699735298e-06,2.9149290980967635e-07
1842,2.4008881673864835e-06,2.1466448174578545e-07
1843,2.428921803243611e-06,2.6994584345629846e-07
1844,2.1795077671526997e-06,2.3436156482148363e-07
1845,2.1249508854737087e-06,2.031202939178911e-07
1846,2.3049170962963217e-06,2.294964502880248e-07
1847,2.1513568171371844e-06,1.5910009665276448e-07
1848,2.472296523947648e-06,2.2204811500614596e-07
1849,2.130047221271525e-06,1.3742240412284445e-07
1850,2.0597814085476784e-06,1.615781002328731e-07
1851,1.928382211247026e-06,2.0122249111409474e-07
1852,2.224002399131564e-06,2.5195811304001836e-07
1853,2.1839354378272446e-06,2.5858463459371706e-07
1854,2.067354883728001e-06,1.912004563564551e-07
1855,2.095178874839121e-06,2.435884027818247e-07
1856,2.2334393920964146e-06,1.7240040506294463e-07
1857,2.1107644663231895e-06,1.7475802849276079e-07
1858,2.029896915445306e-06,1.6687435788753646e-07
1859,2.3103191253426303e-06,1.889196283855199e-07
1860,2.3595382891983263e-06,1.9041084442505962e-07
1861,2.263191047902069e-06,2.0042845960688283e-07
1862,2.3949846061910307e-06,1.911108142849116e-07
1863,2.244582708144094e-06,1.6432302629709739e-07
1864,2.2012594946829722e-06,2.0233751740761363e-07
1865,2.2079806250019374e-06,2.5228686695299984e-07
1866,2.2230986296278843e-06,2.5155219418593333e-07
1867,2.2623806330557272e-06,1.7664234519543243e-07
1868,2.5983736975376814e-06,2.1290857432632038e-07
1869,2.1560737888393078e-06,2.495478383934824e-07
1870,2.2334119407219077e-06,1.8119594358267932e-07
