year,soit_VERB égale_ADJ,soit_VERB egale_ADJ,soit_VERB légale_ADJ
1800,8.772219075581233e-07,0.0,3.144164395507687e-08
1801,6.64349954604404e-07,0.0,9.524730337773235e-09
1802,8.951360541686881e-07,1.7902721083373763e-08,1.3427040812530322e-08
1803,4.778331117449852e-07,1.950339223455444e-09,1.1702034896643454e-08
1804,7.638019496880588e-07,0.0,8.651478111687538e-08
1805,5.572040322476823e-07,2.842877711017877e-09,6.538618890772341e-08
1806,6.42612235424167e-07,1.152667650217154e-08,2.305335300434308e-08
1807,1.4889575368215446e-06,0.0,5.124519120158766e-08
1808,7.817955065547721e-07,0.0,4.305540457494317e-08
1809,7.703293931626831e-07,0.0,3.840352036377226e-08
1810,9.500914757154533e-07,9.360507036149102e-09,2.574139479349924e-08
1811,8.34856564324582e-07,2.5070767684098882e-09,1.504245972228091e-08
1812,7.681559850425401e-07,5.3344164641089264e-09,4.267533171287141e-08
1813,6.211602112671244e-07,0.0,3.163315653864629e-08
1814,6.104553449404193e-07,0.0,9.440030979135372e-09
1815,3.3985017466875433e-07,0.0,1.0788894222457657e-08
1816,5.400016789280926e-07,0.0,1.8540831092650478e-08
1817,2.5221348209925054e-07,4.670620334934483e-09,3.113746815941454e-09
1818,3.123348335520859e-07,1.1921177378582115e-09,1.668964877410417e-08
1819,5.330790600055479e-07,0.0,1.5526575580793178e-08
1820,3.2158163776330184e-07,5.933240565525466e-09,2.610625848831205e-08
1821,4.0432101400256215e-07,9.86148829262845e-10,1.4792232327920374e-08
1822,3.7997085655661067e-07,4.010246357211145e-09,4.411270992932259e-08
1823,3.528119236761995e-07,1.9765373782121287e-09,5.435477845594505e-08
1824,4.884245186076441e-07,1.1789557774477544e-08,1.2631669044083083e-08
1825,4.869410190622148e-07,8.805443041381977e-10,2.6416328680056722e-08
1826,4.078096651483065e-07,3.5231937367541377e-09,2.290075862276808e-08
1827,4.995761742065952e-07,2.7651818612639545e-09,4.055600300034712e-08
1828,4.586150623708818e-07,1.8344602503717056e-09,5.595103758082587e-08
1829,3.7379047057584103e-07,0.0,1.800366966620004e-08
1830,5.145359978087072e-07,1.0436835840010872e-09,4.696576283436116e-08
1831,4.365537620287796e-07,1.5591206103948707e-09,3.585977381703742e-08
1832,4.708429344191245e-07,2.705993873419743e-09,4.058990654698391e-08
1833,6.567917125721578e-07,5.791814139399776e-09,3.70676112027013e-08
1834,4.293884217076993e-07,9.334530925997342e-10,4.29388435918554e-08
1835,4.114319835935021e-07,7.563087933704082e-10,3.857174846189082e-08
1836,4.1332611999678193e-07,1.3441500135158435e-09,3.427582484505365e-08
1837,4.258229182596551e-07,0.0,3.896418832027848e-08
1838,5.232782314124051e-07,0.0,4.229148586887277e-08
