year,seront_VERB également_ADV,seront_VERB egalement_ADV,seront_VERB légalement_ADV
1800,1.6506863005361083e-06,0.0,2.7354229814591235e-07
1801,1.1358240570302769e-06,0.0,7.381665767525192e-08
1802,1.2464769554298982e-06,2.2378401354217203e-09,7.832440473976021e-08
1803,8.835036773291449e-07,5.851017448321727e-09,5.265916058760922e-08
1804,1.0505366816460082e-06,2.4718509461507665e-09,1.2112069214254007e-07
1805,9.722641891585226e-07,5.685755422035754e-09,9.381496113292087e-08
1806,1.9537717150797107e-06,0.0,1.152667650217154e-07
1807,1.8334390716745474e-06,1.4234775136401367e-08,8.256169792275614e-08
1808,1.5794535670465848e-06,1.3596443970698147e-08,9.517511045942229e-08
1809,1.2876474073664212e-06,4.518061036407062e-09,8.810219043198231e-08
1810,1.4040760447642242e-06,0.0,6.552355102940055e-08
1811,2.178649680217859e-06,7.521229861140455e-09,1.2535383575595915e-07
1812,1.5523152114838012e-06,2.6672082320544632e-09,1.0135391192989118e-07
1813,1.3918590013872745e-06,5.751483289628823e-09,6.326631307729258e-08
1814,1.7243790324528163e-06,1.5733385705374303e-08,1.4474714760126517e-07
1815,2.4598677725862217e-06,1.3486117778072071e-08,2.589334542335564e-07
1816,2.0371738003177597e-06,0.0,5.3304887615013286e-08
1817,1.499269089322297e-06,0.0,1.1520863552050287e-07
1818,2.0492503836067044e-06,3.5763532135746345e-09,1.2040389663070528e-07
1819,1.8549081772789577e-06,3.105315005136333e-09,1.583710655950199e-07
1820,1.124942414776342e-06,2.3732962262101864e-09,8.187871713971617e-08
1821,1.190281643914659e-06,4.930744257336528e-09,1.4003313708599308e-07
1822,9.193489631798002e-07,1.303330066093622e-08,7.017931125119503e-08
1823,1.00605750219529e-06,3.9530747564242574e-09,7.115534828017189e-08
1824,1.1376923012562656e-06,3.3684450784221553e-09,7.663212642228245e-08
1825,1.0434449677632074e-06,4.402721520690989e-09,8.541280038798504e-08
1826,1.4867878093127729e-06,8.807984341885344e-10,8.455664612938563e-08
1827,1.6167096674735149e-06,1.5669364250570084e-08,8.387718253288767e-08
1828,1.180475166506767e-06,1.0089531266022078e-08,8.346793833879929e-08
1829,1.2602569228192806e-06,9.430493719264632e-09,1.0887933399317262e-07
1830,1.1877119163727912e-06,3.1310507520032616e-09,3.965997663613052e-08
1831,1.7072370184223473e-06,7.795603274018958e-09,1.153749238369528e-07
