year,est_VERB en_ADP,est_VERB lent_ADJ
1800,8.012588659767061e-05,3.9302057075474295e-07
1801,7.804326014593244e-05,4.500435011323134e-07
1802,8.012810576474294e-05,4.1623826518844e-07
1803,8.20527202449739e-05,6.494629474218527e-07
1804,7.760622975183651e-05,3.435872883983393e-07
1805,7.60412949603051e-05,4.406460334394069e-07
1806,7.141352398321033e-05,3.7173532518863794e-07
1807,7.662579446332529e-05,3.814919864453259e-07
1808,7.359528535744175e-05,2.923235342677799e-07
1809,7.188913150457665e-05,7.703293931626831e-07
1810,6.479577132267877e-05,4.329234570832341e-07
1811,7.123607792891562e-05,4.7383750256813073e-07
1812,7.705831376370043e-05,5.947874228695582e-07
1813,7.450184057233855e-05,5.176335093892703e-07
1814,6.868566561024636e-05,2.989343386161636e-07
1815,6.590126577066258e-05,2.778140242298832e-07
1816,7.277971599251032e-05,4.4266235477152804e-07
1817,7.833875861251727e-05,5.371213092075777e-07
1818,6.660958024440333e-05,4.1843333065116894e-07
1819,6.922161264810711e-05,4.606217203217966e-07
1820,6.399000267265365e-05,4.34313221830962e-07
1821,6.850479985587299e-05,4.901159513792663e-07
1822,6.960584869375452e-05,3.819759513135068e-07
1823,6.312862387858331e-05,3.4095270962097857e-07
1824,6.500930612673983e-05,3.7810795561199484e-07
1825,6.443206802941859e-05,3.45173361893103e-07
1826,6.480034062406048e-05,3.355841897700884e-07
1827,6.504444900201634e-05,2.433360180020827e-07
1828,6.973792187636718e-05,3.9165726661849476e-07
1829,6.989710527705029e-05,2.94059930183721e-07
1830,6.944878987269476e-05,3.527650562773488e-07
1831,7.627061859238893e-05,3.9289838582590164e-07
1832,7.02070101397112e-05,3.1254228360921843e-07
1833,7.34193527023308e-05,3.8110138689262385e-07
1834,7.291855581570417e-05,3.883164936269168e-07
1835,7.177899533417076e-05,4.182387556284084e-07
1836,7.090660074027255e-05,3.4006995974777965e-07
1837,7.181100227171555e-05,4.056450393363775e-07
1838,6.693542673019692e-05,3.0424621400015894e-07
1839,7.028180698398501e-05,3.978149436534295e-07
1840,7.172842742875218e-05,3.127517231860111e-07
1841,7.352170359808952e-05,4.115571528018336e-07
1842,6.902536551933736e-05,3.46817301988267e-07
1843,7.328350329771638e-05,3.561867458756751e-07
1844,7.02771867509e-05,2.6345094283897197e-07
