year,put_VERB imiter_VERB,put_VERB limiter_VERB
1800,3.144164484325529e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.755305234496518e-08,0.0
1804,0.0,0.0
1805,2.2743021688143017e-08,0.0
1806,4.610670600868616e-08,0.0
1807,0.0,0.0
1808,4.305540457494317e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,2.106114038724627e-08,0.0
1811,4.262030373070047e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,0.0
1817,2.490997452753163e-08,0.0
1818,0.0,0.0
1819,1.449147024601416e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,2.070912508145284e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,6.917880934764753e-09,0.0
1824,1.6842225392110777e-08,0.0
1825,1.937197424695114e-08,0.0
1826,5.284790383086602e-09,0.0
1827,7.373818444733615e-09,0.0
1828,9.172301251858528e-10,0.0
1829,3.429270423183084e-09,8.57317605795771e-10
1830,2.0873670791843324e-08,0.0
1831,3.1182412207897414e-09,1.091384405071949e-08
1832,9.470978667991403e-09,0.0
1833,5.791814139399776e-09,0.0
1834,6.534171426153534e-09,0.0
1835,7.563087933704082e-09,0.0
1836,1.2097349788575684e-08,0.0
1837,2.6439986200443855e-08,0.0
1838,8.837027110075724e-09,0.0
1839,1.677954131196202e-08,0.0
1840,6.369688665408546e-10,2.5478754661634184e-09
1841,7.704658244733764e-09,0.0
1842,6.037438549100216e-09,0.0
1843,1.4767278067040479e-08,5.906911071384968e-10
1844,9.330554107123135e-09,0.0
1845,2.7901139176833567e-09,5.580227946389016e-10
1846,1.2879903366069811e-08,0.0
1847,3.235934187273415e-09,0.0
1848,3.218088684420195e-09,0.0
1849,1.6758829879393033e-09,0.0
1850,6.1100964288129944e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,5.3747388761848924e-09,1.5527023222716707e-08
1854,3.117398783558656e-09,3.63696517347023e-09
1855,3.1841622671890946e-09,0.0
1856,3.1063134287023786e-09,2.0708756931497874e-09
1857,3.4170564155999728e-09,3.4170564155999728e-09
1858,5.872411001917044e-09,0.0
1859,1.5276520048956854e-09,1.5276520048956854e-09
1860,9.15436793036406e-09,4.577183909670879e-10
1861,1.131831339762357e-08,4.715963730639317e-10
1862,1.1294965851504912e-08,4.517986262886353e-10
1863,1.4983863039219614e-09,0.0
1864,1.9178911792039344e-09,9.589455896019672e-10
1865,8.47231973466478e-09,0.0
1866,3.8924903300596725e-09,4.865612912574591e-10
1867,6.308654931785895e-09,0.0
1868,4.939874287401835e-09,2.4699371437009177e-09
1869,4.883519144627257e-10,0.0
1870,1.0321287824410774e-08,5.734048791339319e-10
1871,7.434824311758348e-09,0.0
1872,1.8142017887967654e-09,6.047339295989218e-10
1873,0.0,6.584604861359367e-09
1874,4.182226565063729e-09,7.169530746864439e-09
1875,0.0,0.0
1876,3.627608879952504e-09,1.813804439976252e-09
1877,6.184816214727107e-09,3.710889595609501e-09
1878,1.8117265465633636e-09,1.8117265465633636e-09
1879,2.443730107160036e-09,0.0
1880,6.417846254436199e-10,0.0
