year,soit_VERB en_ADP,soit_VERB lent_ADJ
1800,3.6440867248188624e-06,0.0
1801,3.7598871944766188e-06,1.4287095950749062e-08
1802,3.4798413821590657e-06,2.6854081625060644e-08
1803,3.7134458157339623e-06,1.3652374342143503e-08
1804,4.202146388188055e-06,2.4718509905596875e-08
1805,3.5251683909720555e-06,1.7057265822018053e-08
1806,3.852791842007264e-06,0.0
1807,3.5985513022751547e-06,2.2775640928784924e-08
1808,3.4738913399223748e-06,6.798221985349073e-09
1809,3.2417088471348166e-06,3.6144488291256494e-08
1810,3.290218252516297e-06,7.020380277111826e-09
1811,2.7653055623133582e-06,7.521229861140455e-09
1812,3.11796635443784e-06,3.467370746079723e-08
1813,3.5256592045840307e-06,2.0130190847567064e-08
1814,3.7948927058550908e-06,0.0
1815,3.1449626543000875e-06,5.394447111228828e-09
1816,3.4184657380365024e-06,3.244645441213834e-08
1817,3.4640432682309097e-06,1.401186100480345e-08
1818,3.3164714956512853e-06,3.099506074022429e-08
1819,3.5069356636441285e-06,1.8631890696951814e-08
1820,3.273962057015467e-06,5.933240565525466e-09
1821,3.718767181304372e-06,2.9584463767662328e-09
1822,4.010246442476273e-06,3.5089655625597516e-08
1823,3.544919808362579e-06,3.9530747564242574e-09
1824,3.6261310789598156e-06,1.7684335773537896e-08
1825,3.743193826011293e-06,2.8177417732422327e-08
1826,3.5073394730744667e-06,9.688783109140786e-09
1827,3.699813304613997e-06,2.027800150017356e-08
1828,3.576280363404294e-06,3.210305266065916e-08
1829,3.4978557472697958e-06,6.858540846366168e-09
1830,3.7082077657402124e-06,3.1310507520032616e-09
1831,3.5766226957889558e-06,7.795603274018958e-09
1832,3.692328707671777e-06,2.1647950987357945e-08
1833,3.6476847231625698e-06,3.359252431778259e-08
1834,3.4761792857551654e-06,3.173740381612333e-08
1835,3.6605345883344853e-06,2.3445572594482655e-08
1836,3.880561253666315e-06,8.064899859050456e-09
1837,3.9423411770656e-06,6.609996461293122e-08
1838,3.763310875370962e-06,2.1461350030449466e-08
1839,4.100500085257863e-06,1.8177836125232716e-08
1840,3.431351361271595e-06,2.6752692505738196e-08
1841,3.930017680175979e-06,4.494383976094696e-09
1842,4.169186631486355e-06,3.3541325272778977e-09
1843,4.0314665774587866e-06,1.594865928211675e-08
1844,3.6175107016589436e-06,8.781698035420504e-09
1845,3.6327283989834314e-06,5.580227835366713e-09
1846,3.8153785695271836e-06,2.0490753982471688e-08
1847,4.0551649291842295e-06,2.2651539310913904e-08
1848,3.446572907961354e-06,8.84974404868899e-09
1849,3.4263426726965918e-06,9.217356655710773e-09
1850,3.5004062652888024e-06,1.4935791270431764e-08
1851,3.4175576786310558e-06,2.0638204034639784e-08
1852,3.5807999836379167e-06,6.510545436100301e-10
1853,3.7199162647993944e-06,9.555090940693844e-09
1854,3.8499872658803724e-06,2.8576154775805662e-08
1855,3.487188351414261e-06,1.963566731433275e-08
1856,3.723434403468673e-06,2.3815070804289462e-08
1857,3.517615468240365e-06,5.369659827891837e-09
1858,3.819024755102873e-06,1.0766087576996597e-08
1859,3.5981296804266094e-06,8.656694916453489e-09
1860,3.487356451614687e-06,7.323494255473406e-09
1861,3.642610472809338e-06,1.131831339762357e-08
1862,3.857908360771489e-06,1.8071945717679228e-08
1863,3.6800365919020805e-06,9.989241434027463e-09
1864,3.725983091840135e-06,8.63051052846231e-09
1865,3.6416855664356262e-06,1.8827376990770972e-08
1866,3.446800128870109e-06,2.0435575009969398e-08
1867,3.4911125652570263e-06,1.164674756637396e-08
1868,3.5443595294282204e-06,1.432563490055827e-08
1869,3.546411662114224e-06,7.813630631403612e-09
1870,3.6508688125991284e-06,4.587239033071455e-09
1871,3.781139056968641e-06,2.0180236148803488e-08
1872,3.5691396149672983e-06,8.4662747923403e-09
1873,3.773577262222716e-06,2.7535620006347017e-08
1874,3.5913375455720598e-06,1.0754296120296658e-08
1875,3.57366590719721e-06,8.010138330405425e-09
1876,3.4867367801894034e-06,1.3905833817773328e-08
1877,3.4492718299361513e-06,2.6594708657512456e-08
1878,3.4483196316159592e-06,1.0870359723469392e-08
1879,3.562958582392639e-06,1.5273313280772527e-08
1880,3.613889148823546e-06,1.9253538763308597e-09
1881,3.68287844310089e-06,1.324776466304911e-08
1882,3.4554758556737397e-06,7.320923423037584e-09
1883,3.617821462853499e-06,1.1374810426900694e-08
1884,3.440144396904543e-06,1.5183903911974994e-08
