year,fut_VERB à_ADP,fut_VERB a_ADP,fut_VERB là_ADV
1800,9.784639587451238e-06,1.8864987794131594e-08,2.6819723188964417e-06
1801,1.0210510481556412e-05,4.0480104601670064e-08,2.6526374767854577e-06
1802,1.0041188943432644e-05,2.6854081625060644e-08,2.560089114922448e-06
1803,8.680959581397474e-06,3.705644502360883e-08,2.8338429274299415e-06
1804,9.835494893195573e-06,5.932442159739537e-08,3.5125001431879355e-06
1805,1.1127023753942922e-05,7.391481915419718e-08,3.618983328124159e-06
1806,1.0996449418598786e-05,7.492339904047185e-08,3.028634182555834e-06
1807,9.423421033716295e-06,5.978605877032805e-08,2.479697968738037e-06
1808,1.060749218595447e-05,4.5321479902327155e-08,3.3197984521393664e-06
1809,9.679945833340753e-06,4.5180611252249037e-08,2.8847819066868396e-06
1810,1.035272089211503e-05,7.020380188293984e-08,3.1849124297878006e-06
1811,1.2176871678093448e-05,1.1031137958639192e-07,4.3522854866751e-06
1812,1.0844868484127801e-05,5.60113715408761e-08,3.8221091926970985e-06
1813,1.104572402255144e-05,6.901779769918903e-08,3.0252801934693707e-06
1814,1.3304151252668817e-05,1.1328037530233814e-07,3.640705472207628e-06
1815,1.3510392818716355e-05,9.170560399951455e-08,3.894791007041931e-06
1816,1.0952995580737479e-05,5.3304887615013286e-08,3.4648178370844107e-06
1817,1.1253080629103351e-05,5.1376821463833267e-08,3.403325308681815e-06
1818,1.2114300261600874e-05,8.106400350982312e-08,4.174796231382061e-06
1819,1.2831161257054191e-05,6.417651354784226e-08,5.139296263223514e-06
1820,1.288818475586595e-05,9.137190204455692e-08,3.792527422774583e-06
1821,1.1964943951170426e-05,7.889190634102761e-08,3.87852333005867e-06
1822,1.3124533325026277e-05,5.81485721795616e-08,3.4237477848364506e-06
1823,1.3864421816833783e-05,8.696764730586892e-08,4.452150278666522e-06
1824,1.4117153114057146e-05,1.178955804093107e-07,5.704461727873422e-06
1825,1.4963089597586077e-05,8.277116414490138e-08,5.78341496293433e-06
1826,1.2403403161442839e-05,4.844391454650321e-08,4.264826202415861e-06
1827,1.2244225217727944e-05,6.083400216905233e-08,3.909045517502818e-06
1828,1.0762778401840478e-05,4.219258409321469e-08,3.4276890801265836e-06
1829,1.2425961358530913e-05,4.8009785869052024e-08,4.117696335015353e-06
1830,1.184372104034992e-05,1.7846989486258735e-07,3.980609108111821e-06
1831,1.0276164175593294e-05,9.042899762334855e-08,3.4347426662861835e-06
1832,1.1235286365263164e-05,7.170883620233326e-08,3.833040409517707e-06
1833,1.0977804777212441e-05,6.023486709416659e-08,3.4299123399250675e-06
1834,1.064416574081406e-05,6.814207687000362e-08,3.973709681304172e-06
1835,1.1700097275024746e-05,9.983276072489389e-08,4.9046625463233795e-06
1836,1.2580571819853503e-05,1.229897250709655e-07,4.46325020675431e-06
1837,1.2090031304978766e-05,6.540417185618708e-08,3.90476816392038e-06
1838,1.4148710761219263e-05,1.161437792607245e-07,4.895712663710583e-06
1839,1.132199486164609e-05,7.69062267202969e-08,4.201177489449037e-06
1840,1.1834881661343388e-05,1.006410839110572e-07,4.5632450564880855e-06
1841,1.0721031685534399e-05,5.6500827572136814e-08,3.6365986488817725e-06
1842,1.1138403351651505e-05,1.2410290395337142e-07,4.060512765136082e-06
1843,1.1096132766397204e-05,7.619915548540135e-08,4.112981969228713e-06
1844,1.0532548913033679e-05,8.013299140907648e-08,4.103248556930339e-06
1845,9.8262235042057e-06,8.09133013923713e-08,3.8101795780676184e-06
1846,9.968459380615968e-06,9.19156706302715e-08,3.941835529985838e-06
1847,9.364253855892457e-06,7.280851654911658e-08,3.721863549799309e-06
1848,9.237523954652715e-06,8.045221733254948e-08,3.905955054506194e-06
1849,8.308189535455313e-06,7.206296892547925e-08,2.929443553512101e-06
1850,8.758484000281896e-06,8.214685465190996e-08,3.404681592655834e-06
1851,9.245270121027716e-06,7.739326246536393e-08,3.601366643124493e-06
1852,8.512538443028461e-06,9.63560697897492e-08,3.2917316730163293e-06
1853,9.779038009583019e-06,8.062108047823813e-08,4.011943929072004e-06
1854,1.0469783774169628e-05,9.3521959954046e-08,3.879602445522323e-06
1855,1.0037009815277997e-05,9.870903028286193e-08,3.5264597499917727e-06
1856,8.857135071593802e-06,9.940203238301137e-08,3.4102145036740694e-06
1857,1.0088614544656593e-05,1.0397614647050801e-07,3.9013020796119235e-06
1858,9.790777767193504e-06,9.200110978602183e-08,3.886557351506781e-06
1859,9.234656317858025e-06,7.638260246523032e-08,3.5151272186340066e-06
1860,9.643668818171136e-06,7.186178585527614e-08,3.812336444752873e-06
1861,8.613235877419356e-06,5.6591563268870715e-08,3.527069338815636e-06
1862,9.561414117342792e-06,8.26791513031111e-08,3.6360752346809022e-06
1863,8.48486160975881e-06,5.993545126870004e-08,3.593629799070186e-06
1864,8.143366358126514e-06,8.24693171530555e-08,3.216303412045818e-06
1865,8.091065865301061e-06,5.2245973769515786e-08,3.6962849208066473e-06
1866,8.646680726087652e-06,8.222885927722245e-08,3.6205026390234707e-06
1867,8.525419616489671e-06,1.1258522825130513e-07,3.450834356044652e-06
1868,8.795445864961948e-06,7.261615120324194e-08,3.1136025882005924e-06
1869,7.972344974405132e-06,9.083345453575475e-08,3.014107960552792e-06
1870,9.031699846673291e-06,9.174477977325068e-08,3.1044139632285805e-06
1871,6.658416168647818e-06,6.266494545492662e-08,2.6287414129910758e-06
