year,étaient_VERB égales_ADJ,étaient_VERB légales_ADJ
1800,1.6978488304175698e-07,0.0
1801,5.714838380299625e-08,2.3811825844433088e-09
1802,6.937304419807333e-08,0.0
1803,1.6577882888668682e-07,0.0
1804,1.0134588990240445e-07,0.0
1805,7.391481915419718e-08,5.685755422035754e-09
1806,1.8442682403474464e-07,0.0
1807,1.1672516109229036e-07,1.4234775136401367e-08
1808,1.0650547466184435e-07,0.0
1809,1.197286110254936e-07,2.259030518203531e-09
1810,7.488405628919281e-08,1.4040760554223652e-08
1811,2.6073598746734206e-07,7.521229861140455e-09
1812,1.7603574065105931e-07,8.00162425207418e-09
1813,2.70319702622146e-07,2.8757416448144113e-09
1814,2.2656075771010364e-07,0.0
1815,2.022917726662854e-07,5.394447111228828e-09
1816,1.9004352225238108e-07,2.3176038865813098e-09
1817,2.3353100786493997e-08,6.227493631882908e-09
1818,1.1682753608965868e-07,2.384235475716423e-09
1819,1.738976465048836e-07,0.0
1820,1.1035827185423841e-07,2.3732962262101864e-09
1821,1.6961759286004963e-07,0.0
1822,2.2958660395033803e-07,2.2056354964661296e-08
1823,2.727621506437572e-07,1.1859224713361982e-08
1824,8.926379280183028e-08,3.789500624407083e-08
1825,1.47050897680856e-07,1.0566531649658373e-08
1826,1.761596877258853e-07,1.2331177856594877e-08
1827,1.253549157809175e-07,2.1199728195142598e-08
1828,1.192399139426925e-07,1.559291185060374e-08
1829,1.8432328374728968e-07,1.971830521085849e-08
1830,1.930814619299781e-07,4.174734336004349e-09
1831,8.107426907599802e-08,9.354723218280014e-09
1832,1.3259369779916597e-07,1.3529969367098715e-09
1833,1.3437009727113036e-07,1.853380560135065e-08
1834,1.1388127774125678e-07,1.4001796166951408e-08
1835,1.5731222902104491e-07,2.2689263801112247e-09
1836,1.50544806842845e-07,4.704525213838906e-09
1837,1.8368831433690502e-07,1.3915781860163179e-09
1838,1.9757067093451042e-07,1.7674054220151447e-08
1839,1.9296471975849272e-07,1.3982949909063791e-08
1840,2.1338456690500607e-07,1.1465439264668476e-08
1841,1.7014453135288932e-07,5.778493683550323e-09
1842,2.401558845122054e-07,6.037438549100216e-09
1843,2.398205936060549e-07,2.126487963494128e-08
1844,1.5807056286121224e-07,1.4270259640625227e-08
1845,1.3169338330953906e-07,5.580227835366713e-09
1846,1.779768439291729e-07,1.5807152919933287e-08
1847,1.763584123182227e-07,2.8584086209093584e-08
1848,1.4964112438065058e-07,1.6090443422100975e-09
1849,1.675882970175735e-07,4.1897072478036534e-09
1850,1.4053222230359097e-07,5.431196825611551e-09
1851,1.7413483988093503e-07,5.159551008659946e-09
1852,1.5885730419995525e-07,2.278690836021724e-08
1853,1.9229619852012547e-07,1.0152284346531815e-08
1854,1.0910895298366086e-07,1.0391328908454511e-09
1855,1.3055066006018023e-07,1.0083180512765466e-08
1856,1.1700447544171766e-07,4.659470143053568e-09
1857,1.352178031766016e-07,3.905207268672939e-09
1858,1.7274676622491825e-07,1.8106600663259087e-08
1859,1.8179058258738223e-07,9.165912473463322e-09
1860,1.1580275582900867e-07,1.1442959468865865e-08
1861,1.4006411674927222e-07,4.2443675241088386e-09
1862,1.4593095443160564e-07,3.6143890103090826e-09
1863,1.2336712984506448e-07,1.5982786649715308e-08
1864,1.1842978153708827e-07,5.753673537611803e-09
1865,1.5720860346846166e-07,3.294791106611683e-09
1866,1.4986088103796646e-07,7.784980660119345e-09
1867,1.6645142864035734e-07,6.79393608038481e-09
1868,1.1905096641839918e-07,5.9278488784286765e-09
1869,1.6945811864843563e-07,1.1720445947105418e-08
1870,2.1388001414379687e-07,9.17447806614291e-09
1871,9.665271250014484e-08,8.496941816815706e-09
1872,1.064331698330534e-07,3.688877114882416e-08
1873,1.6581232387125056e-07,5.986004469882289e-10
1874,1.075429665320371e-07,2.7483201492373155e-08
1875,1.647799763304647e-07,1.0298748520654044e-08
1876,9.310862481015647e-08,1.874264654588842e-08
1877,1.224593546567121e-07,6.184816214727107e-09
1878,1.6124366197800555e-07,3.6234530931267273e-09
1879,1.1852090864294951e-07,9.774920428640144e-09
1880,1.4440153961459146e-07,1.9895322722618403e-08
1881,9.900960407094317e-08,9.761510710859511e-09
1882,9.916524135178406e-08,2.4624924321869912e-08
1883,1.383935170906625e-07,3.159669414998234e-09
1884,1.280729264863112e-07,1.1883054540362536e-08
1885,1.1086493145739951e-07,4.511945039809007e-09
1886,1.026100733270141e-07,3.872078213618124e-09
1887,9.597518868531552e-08,7.1818169189441505e-09
1888,1.236419819861112e-07,8.242799331981132e-09
1889,8.833842457534047e-08,5.6386229019267375e-09
1890,7.734175966334078e-08,3.2771931834929546e-09
1891,9.625072294738857e-08,9.561330394092238e-09
1892,8.838602383320904e-08,6.8953633913793055e-09
1893,8.252278149711856e-08,1.23168328869383e-08
1894,7.372801036353849e-08,6.301539290376468e-09
1895,1.4143743953809462e-07,1.8657704714541978e-08
1896,9.965978620130045e-08,4.717623180994224e-09
1897,1.0546351347784366e-07,8.157399200570126e-09
1898,1.1882545436492364e-07,5.092519295146758e-09
1899,8.788849470420246e-08,5.527578395003729e-09
1900,9.395806443990296e-08,5.710158568206225e-09
1901,9.947954993094754e-08,1.1736351446245408e-08
1902,6.972602761834423e-08,5.4013122863239005e-09
1903,6.53426681651581e-08,5.940242076007962e-09
1904,6.71828175313749e-08,9.13686282189019e-09
1905,8.721682576151579e-08,6.708986699521802e-09
1906,7.304741700409068e-08,1.18316245689698e-08
1907,9.154260993682328e-08,2.468564730406797e-08
1908,7.6126532633225e-08,1.1296195090437777e-08
1909,6.546170538967999e-08,6.60118004702781e-09
1910,6.893954207498609e-08,9.619471441624228e-09
1911,6.863282919766789e-08,1.0640748726586935e-08
1912,8.439262444426276e-08,1.3023552902780011e-08
1913,8.749933044782665e-08,1.0075680734189518e-08
1914,9.844212911502837e-08,1.2054139020278853e-08
1915,1.1191723814363286e-07,8.246533234057551e-09
1916,5.6036057571873243e-08,1.3184954461564757e-08
1917,5.15421945124217e-08,0.0
1918,9.418828739171659e-08,1.8378202071289707e-08
1919,6.261336693569319e-08,9.207848372660976e-10
1920,8.253732630691957e-08,3.786115865267448e-09
1921,8.254294669995943e-08,4.543648568500203e-09
1922,6.861480272846165e-08,8.115729421831475e-09
1923,7.537322943562685e-08,1.0615948120573648e-09
1924,8.250639638163193e-08,1.0313299547703991e-08
1925,5.939016034517408e-08,1.0998177923937646e-09
1926,8.582526334066642e-08,2.229227691330493e-09
1927,7.804457169413581e-08,3.3447675740205796e-09
1928,7.198406137831626e-08,9.14083297942625e-09
1929,6.795647777835256e-08,8.912325100141061e-09
1930,4.7266215830177316e-08,6.302162347537887e-09
1931,8.55401722787974e-08,1.1405356659111021e-08
1932,5.8085543486186e-08,3.287861094491973e-09
1933,9.061822936473618e-08,4.588264879146209e-09
1934,6.709684896577528e-08,4.7926320689839486e-09
1935,6.343190506186147e-08,5.98414207075848e-09
1936,9.457277627689109e-08,1.33371855781661e-08
1937,7.932404599841902e-08,1.3850230295986421e-08
1938,7.779128452511941e-08,6.482607339819424e-09
1939,6.72938256229827e-08,1.070583532936098e-08
1940,7.60734906180005e-08,5.0715658339584024e-09
1941,5.312704587367989e-08,1.7709016475464523e-08
1942,7.888950648293758e-08,0.0
1943,5.516146828199453e-08,5.806470415592457e-09
1944,4.4984606262232774e-08,1.2852744646352221e-08
1945,3.703456741277478e-08,8.714016175304096e-09
1946,9.187928640130849e-08,6.960552134671616e-09
1947,6.318061451793255e-08,4.7683483828109274e-09
1948,6.305695166020087e-08,6.523132700664291e-09
1949,6.282885323116716e-08,2.945102384188658e-09
1950,5.211327192000681e-08,3.190608444114673e-09
1951,7.889437370067753e-08,4.264560704569931e-09
1952,6.85412260281737e-08,4.2179215675730575e-09
1953,7.218464048719397e-08,4.3095309543161875e-09
1954,6.449873524161376e-08,6.840775057526116e-09
1955,6.382213513234092e-08,9.385607846468247e-10
1956,6.45364508500279e-08,1.744228317335228e-09
1957,8.216584745923683e-08,3.534015080575159e-09
1958,7.52774127477096e-08,9.099467845885556e-09
1959,6.820658171591276e-08,1.1626121398933265e-08
1960,5.882708364879363e-08,2.7683333403416555e-09
1961,7.017640513140577e-08,5.55852741612739e-09
1962,6.151697817813329e-08,6.341956293454132e-09
1963,6.401392482757728e-08,2.5864212993553792e-09
1964,8.274196972024583e-08,6.6923653285755336e-09
1965,5.964527360902139e-08,7.660860390501512e-09
1966,6.5361085432869e-08,4.431259803538978e-09
1967,7.444806726653042e-08,5.423369309198733e-09
1968,7.904891674570536e-08,9.431973424511852e-09
1969,6.585548817383824e-08,4.995933444718048e-09
1970,6.25426608280577e-08,9.657322941336588e-09
1971,5.498085187127799e-08,6.166076982339064e-09
1972,5.181448159419233e-08,1.5390440033513642e-09
1973,4.2451670623222526e-08,5.513203671370093e-09
1974,4.2754344065087935e-08,3.3753431161187564e-09
1975,6.111283568088766e-08,6.8537762132336866e-09
1976,5.142174330785565e-08,1.199840671262109e-08
1977,5.2891035551283494e-08,1.057820764316375e-08
1978,4.455443658457625e-08,4.752473081737207e-09
1979,5.26677617074256e-08,5.266775904289034e-09
1980,3.979605622816962e-08,1.0801786132219604e-08
1981,4.1748627666038374e-08,2.5302198114474095e-09
1982,4.903926864585628e-08,6.828252629986764e-09
1983,3.8523428003145455e-08,5.68378455412244e-09
1984,6.146949260710244e-08,7.538710988796993e-09
1985,4.1507352221969995e-08,2.4062232206745193e-09
1986,4.435919365164409e-08,7.1933827783254856e-09
1987,4.7053291041265766e-08,1.2221633483022742e-08
1988,5.276967485201567e-08,1.3792074149421296e-08
1989,4.884428861373635e-08,6.585746614717891e-09
1990,2.887784944505256e-08,1.198703181159999e-08
1991,3.3996499837485317e-08,9.96449056600568e-09
1992,3.967159756257388e-08,4.4079553340736766e-09
1993,3.268132431344384e-08,8.308811416668505e-09
