year,est_VERB latin_ADJ
1800,5.0306631749208464e-08
1801,4.7623651688866175e-09
1802,1.7902721083373763e-08
1803,2.9255089017965474e-08
1804,1.0134588990240445e-07
1805,8.528632911009026e-09
1806,8.645007376628655e-09
1807,5.4092147649953404e-08
1808,1.2010191596800723e-07
1809,5.1957702140725814e-08
1810,2.106114038724627e-07
1811,7.52123057168319e-08
1812,2.9339290108509886e-08
1813,6.901780125190271e-08
1814,3.1466771410748606e-09
1815,1.0788894222457657e-08
1816,4.1716869958463576e-08
1817,4.670620157298799e-08
1818,4.530047448270125e-08
1819,6.93520334493769e-08
1820,3.9159388620646496e-08
1821,3.35290586406245e-08
1822,4.110502516141423e-08
1823,3.755420863171821e-08
1824,6.989523626543814e-08
1825,3.6982861217893515e-08
1826,3.2589543508265706e-08
1827,3.410390903013649e-08
1828,3.210305266065916e-08
1829,4.372319750700626e-08
1830,2.0873670791843324e-08
1831,5.3010101197514814e-08
1832,6.494385473843067e-08
1833,5.21263281427764e-08
1834,3.733812548034621e-08
1835,4.310960122211327e-08
1836,4.838939915430274e-08
1837,6.122944284925325e-08
1838,6.185918977053007e-08
1839,4.824117993962318e-08
1840,2.4841785517537573e-08
1841,4.8796167106957e-08
1842,6.439934452373564e-08
1843,4.7255287682901326e-08
1844,4.006649589882727e-08
1845,4.743193926515232e-08
1846,6.966856602730331e-08
1847,3.613459753637471e-08
1848,6.436177102386864e-08
1849,3.603148357456121e-08
1850,3.8018377779280854e-08
1851,4.1921353499674296e-08
1852,3.1250618093281446e-08
1853,7.285756709052293e-08
1854,3.740878540270387e-08
1855,3.874064091746732e-08
1856,3.986435714864456e-08
1857,3.221796163188628e-08
1858,2.1532175153993194e-08
1859,4.0228169240208445e-08
1860,2.9751696217772405e-08
1861,3.678451676591976e-08
1862,2.755971628687348e-08
1863,5.394190338847693e-08
1864,3.308362295229017e-08
1865,3.388927893865912e-08
1866,4.2330832172865485e-08
1867,5.241036404868282e-08
1868,4.1494942593089945e-08
1869,3.41846337903462e-08
1870,5.447346396181274e-08
1871,5.416800519242315e-08
1872,2.237515595027162e-08
1873,2.993002112816612e-08
1874,2.6885741633009275e-08
1875,5.0921592276154115e-08
1876,4.5949711591219966e-08
1877,5.690030846494665e-08
1878,3.563062378475479e-08
1879,3.5434087664043545e-08
1880,2.6954953824542827e-08
1881,3.9046042843438045e-08
1882,5.124646662579835e-08
1883,4.549924170760278e-08
1884,3.630933420595284e-08
1885,3.3517306263775026e-08
1886,1.8069698626277386e-08
1887,5.027272109714431e-08
1888,3.4239320712003973e-08
1889,2.8819629349641218e-08
1890,7.734175966334078e-08
1891,2.995883363610119e-08
1892,4.0745330665004076e-08
1893,1.970693297437265e-08
1894,3.7809236630437226e-08
1895,3.1296796265678495e-08
1896,3.3613066108273415e-08
1897,3.554295346930303e-08
1898,2.8857609635224435e-08
1899,2.7637891975018647e-08
1900,2.803168719367477e-08
1901,2.4031576728589243e-08
1902,2.897067474805226e-08
1903,3.94216073118514e-08
1904,2.741058935384899e-08
1905,2.4771644291377015e-08
1906,3.0865106026567446e-08
1907,3.034277540336916e-08
1908,2.504808449543816e-08
1909,3.190570296851547e-08
1910,2.6186338430989053e-08
1911,3.5646507967612706e-08
1912,2.3963337980603683e-08
1913,1.8030165804816534e-08
1914,2.0759905794420774e-08
1915,3.7698438148936475e-08
1916,3.186363883855847e-08
1917,3.5092558192673096e-08
1918,5.513460621386912e-08
1919,2.301962176431971e-08
1920,3.028892692213958e-08
1921,3.862101038976107e-08
1922,3.467629738906908e-08
1923,3.078624999375279e-08
1924,1.933743654092268e-08
1925,3.409435223034052e-08
1926,2.6750733184144337e-08
1927,3.9022285847067906e-08
1928,3.1992914983902665e-08
1929,3.4535258208734376e-08
1930,5.566909777598994e-08
1931,2.8513390759599133e-08
1932,4.274219378430644e-08
1933,4.588265056781893e-08
1934,2.7557634396657704e-08
1935,4.906996409204112e-08
1936,2.9099314957647948e-08
1937,6.1696475484041e-08
1938,3.3709557811789637e-08
1939,3.8235125288110794e-08
1940,3.0429394115571995e-08
1941,2.6563522936839945e-08
1942,3.944475324146879e-08
1943,2.0322646676618206e-08
1944,4.4984606262232774e-08
1945,3.485606470121638e-08
1946,1.5313215584455975e-08
1947,1.907339353124371e-08
1948,3.913879709216417e-08
1949,2.2579119018928395e-08
1950,1.2762433776458693e-08
1951,1.4925962688039363e-08
1952,3.4797853487589236e-08
1953,1.508335856215126e-08
1954,1.9545073115523337e-08
1955,1.6894095011821264e-08
1956,1.657016923672927e-08
1957,2.297109880089465e-08
1958,1.6544486669545222e-08
1959,2.325224279786653e-08
1960,2.4914999841030294e-08
1961,1.598076693198891e-08
1962,2.029426049432459e-08
1963,2.9743844720542256e-08
1964,3.346182708696688e-08
1965,4.268193976031398e-08
1966,2.99110034518435e-08
1967,3.1554147739143446e-08
1968,2.919420261093819e-08
1969,2.4071315607443466e-08
1970,2.5292987260172595e-08
1971,1.849823050292798e-08
1972,2.975485102751918e-08
1973,2.205281468548037e-08
1974,2.6440186928766707e-08
1975,2.227477224892027e-08
1976,2.285410793945175e-08
1977,2.3507126911681553e-08
1978,2.257424647211792e-08
1979,2.0481905949054635e-08
1980,1.591842213599648e-08
1981,1.4548763971333756e-08
1982,2.7933760193832313e-08
1983,2.273513821648976e-08
1984,1.4497521405587577e-08
1985,2.1656008541981464e-08
1986,1.6784559520033326e-08
1987,1.8332450224534114e-08
1988,2.398621568033832e-08
1989,1.8110803523541108e-08
1990,2.2339468941368068e-08
1991,1.875668864670388e-08
1992,1.7080827419135858e-08
1993,2.2710750613441633e-08
1994,1.8462243289718572e-08
1995,1.4098372247417501e-08
1996,1.4946657245218375e-08
1997,2.013855748828064e-08
1998,2.0979769033147022e-08
1999,1.553868322901053e-08
2000,1.678851901942835e-08
2001,1.796296800193886e-08
2002,3.1544793444027164e-08
2003,1.8334461060476315e-08
2004,2.114299846311951e-08
2005,1.7114247796712334e-08
2006,8.64756888319107e-09
2007,1.6377365241737607e-08
2008,1.4475294740634581e-08
2009,1.4781396551200032e-08
2010,1.795041271179798e-08
2011,7.265546830836911e-09
2012,9.872333173177594e-09
2013,1.1435412616833673e-08
2014,1.147685946278898e-08
2015,8.422986752520956e-09
2016,1.0978101983027955e-08
2017,8.804639684001359e-09
2018,1.0067719991013746e-08
2019,1.3265136544760026e-08
