year,fut_VERB en_ADP,fut_VERB lent_ADJ
1800,1.2982254702365026e-05,9.432493897065797e-09
1801,1.0805806596181355e-05,9.524730337773235e-09
1802,1.123171932704281e-05,1.1189200677108602e-08
1803,1.0128111171070486e-05,1.950339267864365e-08
1804,1.0624014976201579e-05,2.9662210465630778e-08
1805,1.1840586012112908e-05,1.421438877713399e-08
1806,1.1947399798373226e-05,1.152667650217154e-08
1807,1.0986399502144195e-05,4.27043254092041e-08
1808,1.1529784387676045e-05,1.3596443970698147e-08
1809,1.2210060049255844e-05,2.4849335034105025e-08
1810,9.877675438474398e-06,1.1700633351097167e-08
1811,1.4335464584291913e-05,3.5099073869560016e-08
1812,1.1629027540038805e-05,4.5342538612658245e-08
1813,1.2707901987596415e-05,3.738464116054274e-08
1814,1.4122287211648654e-05,3.1466771410748606e-09
1815,1.2102442269679159e-05,1.3486118000116676e-08
1816,1.1048017768189311e-05,5.5622493277951435e-08
1817,1.214828353113262e-05,2.80237220096069e-08
1818,1.4556949281541165e-05,2.1458118837358597e-08
1819,1.3572296666097827e-05,6.210630232317271e-09
1820,1.4288430065789726e-05,3.322614716694261e-08
1821,1.374296971334843e-05,1.577838126820552e-08
1822,1.4299535905593075e-05,1.4035862250239006e-08
1823,1.6023788703023456e-05,3.656594316225892e-08
1824,1.6504538507433608e-05,1.8526447931321854e-08
1825,1.677084765105974e-05,4.138558296062911e-08
1826,1.454726680094609e-05,4.051672775062798e-08
1827,1.263688136532437e-05,3.7790819362726324e-08
1828,1.2108354894735385e-05,2.659967357487858e-08
1829,1.3613346709462348e-05,4.8009784592295546e-08
1830,1.2673449418798555e-05,6.157733167810875e-08
1831,1.1712114428519271e-05,2.6505050598757407e-08
1832,1.1978081602137536e-05,2.3000948701223933e-08
1833,1.250684363185428e-05,4.170106393530659e-08
1834,1.2726699424092658e-05,3.267085801894609e-08
1835,1.3611289432446938e-05,5.067268915581735e-08
1836,1.4981896129029337e-05,3.763620171071125e-08
1837,1.4022237337485421e-05,4.244313345225237e-08
1838,1.5849838746362366e-05,3.5348108440302894e-08
1839,1.26517734315712e-05,6.082583325905944e-08
1840,1.301199972658651e-05,2.4204817705708592e-08
1841,1.3120390576659702e-05,4.365973182984817e-08
1842,1.3340726582100615e-05,4.695785449371215e-08
1843,1.3051911082584411e-05,4.134837894298471e-08
1844,1.2379999134282116e-05,5.598332464273881e-08
1845,1.1347951840434689e-05,5.022205229465726e-08
1846,1.1853609066747595e-05,3.33706573485415e-08
1847,1.180468825623393e-05,4.7460368080010085e-08
1848,1.084334962797584e-05,2.252662056889676e-08
1849,1.000502106762724e-05,4.273501730267526e-08
