year,est_VERB à_ADP,est_VERB a_ADP,est_VERB las_ADJ
1800,0.00011396338231861591,7.640319665824791e-07,3.458580977167003e-07
1801,0.00010067639959743246,6.64349954604404e-07,4.500435011323134e-07
1802,0.00010387382644694299,8.749954645281832e-07,2.8196785706313676e-07
1803,0.0001070580183295533,7.879370400587504e-07,2.2233867014165298e-07
1804,0.00010655902588041499,6.57512330803911e-07,1.507829097135982e-07
1805,0.00011435760097810999,7.306195470846433e-07,1.9331568523739406e-07
1806,9.416430111741647e-05,9.941758776221832e-07,1.6425514104412287e-07
1807,0.00010379998275311664,8.910969597764051e-07,1.4519470425966574e-07
1808,0.00011067731975344941,9.086956538340019e-07,2.492681403509778e-07
1809,9.663680975791067e-05,9.962324796219946e-07,2.4849336455190496e-07
1810,8.921499102143571e-05,8.635067487716697e-07,2.6443433398526395e-07
1811,9.191946446662769e-05,7.77193818635169e-07,1.6797415014480066e-07
1812,9.32642724364996e-05,6.988085345938089e-07,3.9741402702020423e-07
1813,9.501737804384902e-05,9.144858097442921e-07,2.9620139230246423e-07
1814,8.645180787425488e-05,1.1170703686502748e-06,2.3285410577500443e-07
1815,8.160719880834222e-05,6.797003209157992e-07,2.4814457333377504e-07
1816,8.719752804609016e-05,7.972557369839706e-07,3.1519414278591285e-07
1817,9.97535462374799e-05,8.407116141029292e-07,2.693390968033782e-07
1818,8.549153426429257e-05,7.105021921915977e-07,2.527289666431898e-07
1819,8.470678585581481e-05,1.0661581768545147e-06,2.1219652523996047e-07
1820,8.33976300782524e-05,8.152272741313027e-07,3.571810793800978e-07
1821,8.739842451177537e-05,9.713565987112815e-07,4.0432101400256215e-07
1822,8.985357999335974e-05,8.321261191213125e-07,2.636737121974875e-07
1823,8.166261977748945e-05,9.092071806549029e-07,2.648559984663734e-07
1824,8.360396168427542e-05,7.40215796213306e-07,3.376866288817837e-07
1825,8.641397289466113e-05,7.141214126704654e-07,2.659243705238623e-07
1826,8.447385334875435e-05,7.046387722198233e-07,2.422195564122376e-07
1827,8.382372470805421e-05,5.972792855857278e-07,1.6959782556114078e-07
1828,8.365505345864221e-05,6.714124261009147e-07,2.7058288765147154e-07
1829,8.588864875491709e-05,7.853029302395953e-07,2.7434163030193304e-07
1830,8.951987547334284e-05,9.26791038580177e-07,2.421346039227501e-07
1831,9.272401803173125e-05,1.014987546454904e-06,3.055876334201457e-07
1832,8.875930507201701e-05,8.266811022394904e-07,3.5989717162010493e-07
1833,8.984262240119278e-05,7.483023978238634e-07,2.7800709290204395e-07
1834,8.567045733798295e-05,9.57722868122346e-07,3.808488600043347e-07
1835,8.645289926789701e-05,9.66562623716527e-07,3.221875317649392e-07
1836,8.296362648252398e-05,9.509861413903309e-07,2.5740473574842326e-07
1837,8.72352538863197e-05,8.88522677655601e-07,3.249334952215577e-07
1838,8.178983989637345e-05,1.020676599239323e-06,2.670044523256365e-07
1839,8.767589315539226e-05,1.0046749565617574e-06,2.3631186252259795e-07
1840,8.148806227836758e-05,1.1089627633964483e-06,2.2612394445786776e-07
1841,8.429410081589594e-05,1.1075446622044183e-06,2.2857152259803115e-07
1842,8.188108040485531e-05,1.1041804270917055e-06,2.1063952715394407e-07
1843,8.260401955340058e-05,1.1612987691478338e-06,2.008349753168659e-07
1844,7.825370994396508e-05,1.2321820435090558e-06,2.1624931889618892e-07
1845,7.828725210856646e-05,1.206445332968542e-06,2.438559647544025e-07
1846,8.180845907190815e-05,1.2985283817101845e-06,1.9905304782241728e-07
1847,7.781612657709047e-05,1.3105533156476668e-06,2.2867268967274867e-07
1848,8.649176743347198e-05,1.143226043609502e-06,2.43770216457051e-07
1849,8.691464609000832e-05,1.5284052352626532e-06,2.555721607677697e-07
1850,8.522634016117081e-05,1.3394688664902787e-06,2.2607356697790237e-07
1851,8.128098852466792e-05,1.3576068695897447e-06,3.269865374022629e-07
1852,7.897877367213368e-05,1.462919563266496e-06,2.109416783468987e-07
1853,8.383278327528387e-05,1.3795162132623773e-06,2.006569133072844e-07
1854,8.199278090614825e-05,1.6381929839326403e-06,2.3432446027982223e-07
1855,8.042132685659453e-05,1.3691897464696012e-06,2.435884027818247e-07
1856,8.219046867452562e-05,1.5205404579887727e-06,2.034635429026821e-07
1857,8.457848889520392e-05,1.466405308292451e-06,2.7482894893182674e-07
1858,8.552971121389419e-05,1.3349947849405908e-06,3.024291856945638e-07
1859,8.333698497153819e-05,1.3300757331080604e-06,2.673390895324701e-07
1860,8.035475184442475e-05,1.29763169098851e-06,2.096350186775453e-07
1861,8.25524766696617e-05,1.2346392708195708e-06,2.2778104380449804e-07
1862,8.597185660619289e-05,1.3404864844801523e-06,2.6656118734535994e-07
1863,8.520323899574578e-05,1.3715228277533242e-06,2.492315900326503e-07
1864,8.606776100350544e-05,1.49595509668643e-06,3.0206786050257506e-07
1865,8.571351645514369e-05,1.3847535669242461e-06,2.51345483093246e-07
1866,8.616027480456978e-05,1.665985870147324e-06,2.5155219418593333e-07
1867,9.100088936975226e-05,1.4956364822182877e-06,2.3196439258299506e-07
1868,9.194785525323823e-05,1.3732849382108725e-06,2.4057186465142877e-07
1869,8.62341548781842e-05,1.5231695869033501e-06,2.856858714039845e-07
1870,8.560247079003602e-05,1.6261761857094825e-06,2.339491942393579e-07
1871,9.144090290647e-05,1.6345992293054223e-06,3.005793303145765e-07
1872,8.848769357427955e-05,1.458618207550444e-06,2.6245453454976087e-07
1873,8.836480265017599e-05,1.4138942745489658e-06,2.2387656883893214e-07
1874,8.881674875738099e-05,1.3132191369891189e-06,1.7804335072924005e-07
1875,9.01701205293648e-05,1.5436679632330197e-06,2.9408650448203844e-07
1876,9.331116598332301e-05,1.494574888738498e-06,2.436543979911221e-07
1877,9.176349703921005e-05,1.386635702260719e-06,2.1585007914382004e-07
