year,eût_VERB eu_VERB,eût_VERB lu_VERB
1800,3.851601377391489e-06,4.7162465932615305e-08
1801,3.540818397596013e-06,5.000483582762172e-08
1802,4.1735720515134744e-06,9.398928568771225e-08
1803,3.3877392979775323e-06,3.705644502360883e-08
1804,4.189787432551384e-06,7.662737999680758e-08
1805,3.644569233074435e-06,5.1171799242411e-08
1806,3.855673185171327e-06,8.35684019762084e-08
1807,3.985737293987768e-06,4.839823830593559e-08
1808,4.22622815676732e-06,2.4926814390369145e-08
1809,3.9781525629223324e-06,1.0165637576164954e-07
1810,3.8144066820677835e-06,1.591286178381779e-07
1811,3.4021031751763076e-06,4.763445815569867e-08
1812,4.3342133722035214e-06,2.9339290108509886e-08
1813,3.7557185805781046e-06,4.3136125782439194e-08
1814,4.301507487980416e-06,6.293354459785405e-08
1815,3.5441516956780106e-06,6.74305908887618e-08
1816,3.0777780466451077e-06,1.0429217667251578e-07
1817,4.0712238842388615e-06,7.005930058312515e-08
1818,3.90895411328529e-06,7.391130196765516e-08
1819,4.315352725825505e-06,5.4860564091541164e-08
1820,3.838806605926948e-06,2.4919611263385377e-08
1821,4.521492428466445e-06,8.57949515875589e-08
1822,4.339086444815621e-06,3.408709403629473e-08
1823,6.3427082750422414e-06,7.906149335212831e-08
1824,4.589506261254428e-06,7.747424035642325e-08
1825,5.403019713412505e-06,6.868245350233337e-08
1826,4.455959242477547e-06,5.19671061738336e-08
1827,4.209528469800716e-06,4.516463647519231e-08
1828,4.219258698867634e-06,8.988855171310206e-08
1829,4.006245035270695e-06,6.001223340490469e-08
1830,4.699707005784148e-06,6.053365098068753e-08
1831,3.063672011194285e-06,1.2472964883158966e-08
1832,2.9684752007597126e-06,5.276687886635045e-08
1833,2.8009212655888405e-06,4.170106393530659e-08
1834,3.1858753573033027e-06,3.827157613045529e-08
1835,3.392801318113925e-06,3.479020449503878e-08
1836,3.4134689030906884e-06,5.779845224651581e-08
1837,3.3279591207246995e-06,3.6181031504156635e-08
1838,3.925533292203909e-06,4.102905393210676e-08
1839,3.2223708785750205e-06,4.334714631681891e-08
1840,3.218603751520277e-06,3.567025785855549e-08
1841,3.1049771678226534e-06,3.274479709602929e-08
1842,3.3360201996401884e-06,3.6895457355967665e-08
1843,2.8110989660490304e-06,5.316219997553162e-08
1844,3.1015858894534176e-06,6.696044607679141e-08
1845,2.6154527859034715e-06,7.14269177137794e-08
1846,2.890952828238369e-06,5.444686124178588e-08
1847,2.6189493382844375e-06,3.721324404182269e-08
1848,2.549530790929566e-06,2.976732105253177e-08
1849,2.5532076506351586e-06,4.692472543865733e-08
1850,2.8595252388186054e-06,4.277067588986938e-08
1851,2.870000344046275e-06,3.5471913406581734e-08
1852,2.616588290038635e-06,3.711010876372711e-08
1853,2.6581069505482446e-06,2.448492075757258e-08
1854,2.890867790483753e-06,3.948704829781491e-08
1855,2.5802328309509903e-06,5.253867740862006e-08
1856,2.664181465661386e-06,6.212626857404757e-08
1857,3.049478664252092e-06,5.906625943907784e-08
1858,2.8172892143629724e-06,4.7468656561022726e-08
1859,3.016094296981464e-06,4.6338776371612767e-08
1860,2.8451775051507866e-06,4.439868561689764e-08
1861,2.7196963401365792e-06,4.904602235455968e-08
1862,3.0265989607869415e-06,5.0601446588416366e-08
1863,2.6970951694238465e-06,5.793760138317339e-08
1864,2.771352683339501e-06,4.2193605054308136e-08
1865,2.5162789825117216e-06,3.153585836912498e-08
1866,2.520873977118754e-06,3.113992264047738e-08
1867,2.442905270072515e-06,2.426405742994575e-08
1868,2.7119908736494835e-06,3.309715523869272e-08
1869,2.6136594897252508e-06,2.3440891894210836e-08
1870,2.557959078330896e-06,4.3578772590535664e-08
1871,2.54377187047794e-06,2.973929724703339e-08
1872,2.3953512027219404e-06,3.0236694925633856e-08
1873,2.211230139437248e-06,3.292302608315367e-08
1874,2.1819273570145015e-06,4.002988163165355e-08
1875,2.2416943465941586e-06,2.345826111138649e-08
1876,2.07801531360019e-06,2.9020871039620033e-08
1877,1.9506910575728398e-06,3.64904160221613e-08
1878,1.9005011608896893e-06,3.804625947623208e-08
1879,2.094276624120539e-06,3.29903571127943e-08
1880,1.8637425682754838e-06,1.7969970400599777e-08
1881,1.8930358010038617e-06,3.2073533162702006e-08
1882,1.868832100626605e-06,2.7952617998039386e-08
1883,1.7991158074437408e-06,3.222862687835004e-08
1884,1.929676045619999e-06,3.1027976632458376e-08
1885,1.739677031764586e-06,2.8360796378024133e-08
1886,1.7159760545837344e-06,1.355227396970804e-08
1887,1.5956692323015886e-06,3.1991731930247624e-08
1888,1.5921283420539112e-06,3.867775077992519e-08
1889,1.6991050415526843e-06,2.6313573542324775e-08
1890,1.6707131180737633e-06,2.2284913470116408e-08
1891,1.463520902689197e-06,3.059625441892422e-08
1892,1.2342700301815057e-06,3.322311670217459e-08
1893,1.3794852975479444e-06,2.586534897375259e-08
1894,1.359241991849558e-06,1.0082462864602348e-08
1895,1.3674292631549179e-06,1.625025980445116e-08
1896,1.4353367987496313e-06,2.6536630670648265e-08
1897,1.1956416301472927e-06,8.157399200570126e-09
1898,1.2980266319573275e-06,1.640922953072277e-08
1899,1.2680264944719966e-06,1.9899282222013426e-08
1900,1.125939434132306e-06,2.1283318218934255e-08
1901,9.852947187027894e-07,3.129693837422565e-08
1902,1.0061171451525297e-06,1.7677022512430085e-08
1903,1.0282019502483308e-06,2.754112315983548e-08
1904,9.29810141769849e-07,2.364835083312755e-08
1905,1.0527948006711085e-06,2.115911179600971e-08
1906,1.0128899248229573e-06,2.211999294843281e-08
1907,1.0049116099253297e-06,1.491424583832668e-08
1908,1.0210777645625058e-06,1.8663278922304016e-08
1909,1.1898627008122276e-06,2.2003934674330594e-08
1910,9.373640068588429e-07,3.366815093386322e-08
1911,1.030024463943846e-06,2.500575924102577e-08
1912,1.0246931196888909e-06,1.614920641657136e-08
1913,9.190081300403108e-07,2.0151361468379037e-08
1914,9.429015221940062e-07,3.080502253283157e-08
1915,7.704618383286288e-07,7.068456930880984e-09
1916,8.943794114202319e-07,2.6369908923129515e-08
1917,8.970534963737009e-07,1.4256351654751143e-08
1918,7.891140398896823e-07,1.378365155346728e-08
1919,8.738248311601637e-07,3.867296172188617e-08
1920,8.639916586616891e-07,3.028892692213958e-08
1921,9.428070484318596e-07,2.2718241510233383e-08
1922,8.46249179176084e-07,2.3609393551282665e-08
1923,9.787904673430603e-07,2.866305948145964e-08
1924,1.0738723403846961e-06,3.480738541838946e-08
1925,9.865365200312226e-07,2.859526304632709e-08
1926,8.582526334066642e-07,2.7865345586519652e-08
1927,1.104888156078232e-06,3.4562596340492746e-08
1928,9.312223596680269e-07,3.427812345080383e-08
1929,1.0984440450556576e-06,4.67897081080082e-08
1930,8.665472819302522e-07,3.7812974085227324e-08
1931,8.325910130224656e-07,2.6232321204133768e-08
1932,8.899143608687154e-07,2.082311922890767e-08
1933,7.04298656728497e-07,2.6382522833046096e-08
1934,7.428579920087941e-07,9.585264137967897e-09
1935,7.887099400250008e-07,1.795242710045386e-08
1936,5.504620617102773e-07,1.9399543305098632e-08
1937,7.239892738652998e-07,7.554670666820584e-09
1938,6.171442237246083e-07,2.3337385357535823e-08
1939,6.331736699394241e-07,2.4470480752825097e-08
1940,5.249070795798616e-07,1.7750480196809804e-08
1941,6.345730412249395e-07,8.854508237732261e-09
1942,7.706897804382606e-07,2.730790527039062e-08
1943,5.980664354865439e-07,2.9032352077962287e-09
1944,7.069009484439448e-07,3.855823393905666e-08
1945,6.557297069775814e-07,1.5249527862692958e-08
1946,5.693731850442418e-07,1.5313215584455975e-08
1947,7.426702381962969e-07,1.6689218895749036e-08
1948,6.403541874533403e-07,1.522064252412747e-08
1949,5.595694574367371e-07,1.3743811422273211e-08
