year,fut_VERB également_ADV,fut_VERB egalement_ADV,fut_VERB légalement_ADV
1800,1.4683248537039617e-06,0.0,3.772997558826319e-08
1801,1.4072788871999364e-06,4.7623651688866175e-09,0.0
1802,1.0383578228356782e-06,2.2378401354217203e-09,2.2378401354217203e-08
1803,1.2131109770052717e-06,3.900678446910888e-09,2.5354410126965377e-08
1804,1.3521024584406405e-06,2.4718509461507665e-09,1.9774807569206132e-08
1805,1.2906664323963923e-06,1.1371510844071508e-08,1.421438877713399e-08
1806,1.674249801908445e-06,1.729001475325731e-08,2.881669125542885e-09
1807,1.958705070137512e-06,1.1387820464392462e-08,2.8469551160981155e-09
1808,1.5522606418016949e-06,4.5321479902327155e-09,1.1330369531492579e-08
1809,1.9630974747997243e-06,1.129515236897305e-08,6.325285539787728e-08
1810,1.2192060694360407e-06,0.0,1.1700633351097167e-08
1811,1.8727863562162383e-06,2.2563691359778204e-08,5.0141535368197765e-09
1812,1.6776739357737824e-06,5.3344164641089264e-09,3.7340914360584065e-08
1813,1.6046637938416097e-06,5.751483289628823e-09,1.1502966579257645e-08
1814,2.0862469227722613e-06,2.5173417128598885e-08,9.440030979135372e-09
1815,2.4922346710809506e-06,8.091670444798638e-09,3.776112933451259e-08
1816,1.805413376132492e-06,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.4650179309683153e-06,6.227493631882908e-09,4.826307531402563e-08
1818,2.0373292954900535e-06,2.384235475716423e-09,3.695565098382758e-08
1819,1.7596785255591385e-06,3.1053151161586356e-09,4.140419918030602e-08
1820,1.9496628738124855e-06,4.746592452420373e-09,1.4239777357261119e-08
1821,1.9407409581617685e-06,2.9584463767662328e-09,3.35290586406245e-08
1822,1.7123752513725776e-06,1.0025615893027862e-09,1.9048670196752937e-08
1823,2.0723994111904176e-06,9.882686669016039e-09,4.5460360809101985e-08
1824,2.0951729311491363e-06,9.263223965660927e-09,5.4737231636181605e-08
1825,2.012043751165038e-06,7.924898959288385e-09,2.3774695989686734e-08
1826,1.99060445993382e-06,8.807984341885344e-10,2.3781558056157337e-08
1827,2.0324087017797865e-06,1.1060727445055818e-08,1.3825909306319772e-08
1828,1.8188673038821435e-06,3.668920500743411e-09,4.219258542548232e-08
1829,1.8106547940988094e-06,5.143905745796928e-09,2.6576845613135447e-08
1830,1.962125224963529e-06,6.262101504006523e-09,4.696576283436116e-08
1831,1.8865359834308038e-06,3.1182412207897414e-09,5.6128342862393765e-08
1832,1.9293736386316596e-06,6.764984572527055e-09,5.276687886635045e-08
1833,2.0676777694461634e-06,3.4750886612755494e-09,2.89590715851773e-08
1834,1.884641847027524e-06,4.667265685043276e-09,8.494423298088805e-08
1835,1.730434519231494e-06,2.2689263801112247e-09,3.554651328840919e-08
1836,1.72656064023613e-06,2.688300027031687e-09,3.024337402735e-08
1837,2.154162984879804e-06,2.7831563720326358e-09,2.7831564608504777e-08
1838,1.7522561392979696e-06,3.787297142565649e-09,4.292270006089893e-08
1839,2.01983721126453e-06,2.7965900706306e-09,4.194885150354821e-08
1840,1.9707815681613283e-06,2.5478754661634184e-09,4.8409635411417185e-08
1841,1.901766495393531e-06,1.926164561183441e-09,6.22793194793303e-08
1842,2.29355578085233e-06,2.683306021822318e-09,4.293289634915709e-08
1843,2.2026870283298194e-06,5.31621990873532e-09,3.4260082770742883e-08
1844,2.2278070446191123e-06,3.841992946007622e-09,4.665277231197251e-08
1845,1.8570998463474098e-06,0.0,4.408380149811819e-08
1846,1.9694541606440907e-06,1.7563503984519002e-09,2.86870562860031e-08
1847,2.011672449953039e-06,2.1572894581822766e-09,4.0988499705463255e-08
1848,1.7514447563371505e-06,6.43617736884039e-09,5.551202875153649e-08
1849,1.969162440218497e-06,0.0,3.5193544078993e-08
1850,1.5037626326375175e-06,1.3577992064028876e-09,2.7834882843080777e-08
1851,1.5336764818130177e-06,1.2898877521649865e-09,4.385618268543112e-08
1852,1.346380827271787e-06,3.2552727180501506e-09,3.906327350478023e-08
1853,1.7008061377055128e-06,5.971931837933653e-10,6.091370607919089e-08
1854,1.629879989195615e-06,4.1565315633818045e-09,5.819144277552368e-08
1855,1.8515903548177448e-06,6.8990182455763716e-09,5.1477289986223695e-08
1856,1.559887095936574e-06,7.765783571755946e-09,4.038207634948776e-08
1857,1.5938127262415946e-06,9.763018171682347e-10,4.4421732070532016e-08
1858,1.80478775746451e-06,4.404308473482388e-09,4.208561321661364e-08
1859,1.6656498473821557e-06,3.055304009791371e-09,3.258990943777462e-08
1860,1.7214788385899737e-06,1.8308735638683515e-09,3.3871160098897235e-08
1861,1.6373826383642154e-06,9.431927461278633e-10,4.998921454557603e-08
1862,1.6486131926285452e-06,1.8071945051545413e-09,4.382446761042047e-08
1863,1.5328491826949175e-06,1.4983863039219614e-09,4.2454278315062766e-08
1864,1.671442191764072e-06,9.589455896019672e-10,1.965838514195184e-08
