year,étaient_VERB également_ADV,étaient_VERB egalement_ADV,étaient_VERB légalement_ADV,etaient_VERB également_ADV,etaient_VERB egalement_ADV
1800,9.432493470740155e-07,6.288328968651058e-09,3.144164484325529e-09,3.144164484325529e-09,0.0
1801,8.119832841657626e-07,0.0,1.1905912700171939e-08,4.7623651688866175e-09,0.0
1802,6.892547617098899e-07,0.0,8.951360541686881e-09,4.475680270843441e-09,0.0
1803,7.157744903452112e-07,0.0,1.3652374342143503e-08,0.0,0.0
1804,1.1172766107847565e-06,0.0,2.4718509461507665e-09,0.0,0.0
1805,9.608926347937086e-07,0.0,0.0,1.7057265822018053e-08,0.0
1806,9.682407835498452e-07,2.881669125542885e-09,0.0,5.76333825108577e-09,0.0
1807,1.2128028856750461e-06,2.8469551160981155e-09,4.555128185756985e-08,1.7081730252499483e-08,0.0
1808,7.092811529219034e-07,2.2660739951163578e-09,2.7192887941396293e-08,0.0,0.0
1809,1.0549672424531309e-06,4.518061036407062e-09,6.551188391767937e-08,1.581321384946932e-08,0.0
1810,6.950176612008363e-07,0.0,3.2761775514700275e-08,0.0,0.0
1811,1.2560454933918663e-06,2.5070767684098882e-09,2.2563691359778204e-08,5.0141535368197765e-09,0.0
1812,1.3976170976093272e-06,0.0,7.468182872116813e-08,1.0668832928217853e-08,2.6672082320544632e-09
1813,1.8203444369646604e-06,5.751483289628823e-09,3.738464116054274e-08,5.751483289628823e-09,0.0
1814,1.3247511105873855e-06,3.1466771410748606e-09,6.293354282149721e-09,3.1466771410748606e-09,0.0
1815,1.259603436665202e-06,1.0788894222457657e-08,3.236668177919455e-08,2.697223555614414e-09,0.0
1816,9.270415830542333e-07,2.3176038865813098e-09,3.476405652236281e-08,2.3176038865813098e-09,0.0
1817,1.4276529327617027e-06,3.113746815941454e-09,1.71256075987003e-08,4.670620334934483e-09,0.0
1818,1.410275331181765e-06,9.536941902865692e-09,3.2187177367859476e-08,3.5763532135746345e-09,0.0
1819,1.28767067053559e-06,0.0,1.8631890696951814e-08,4.140420006848444e-09,2.070210003424222e-09
1820,1.6945334664342226e-06,1.1866481131050932e-09,2.3732962262101864e-08,1.7799721696576398e-08,2.3732962262101864e-09
1821,1.4959878171794116e-06,1.97229765852569e-09,3.550135829755163e-08,3.94459531705138e-09,9.86148829262845e-10
1822,1.6020934481275617e-06,1.0025615893027862e-09,3.0076847679083585e-08,4.010246357211145e-09,4.010246357211145e-09
1823,2.1129185370227788e-06,3.9530747564242574e-09,5.435477845594505e-08,1.9765373782121287e-09,9.882686891060644e-10
1824,1.7734863604346174e-06,8.421112696055388e-10,7.57900142644985e-09,5.894778887238772e-09,8.421112696055388e-10
1825,1.5330276710301405e-06,3.522177216552791e-09,3.874394849390228e-08,1.7610886082763955e-09,0.0
1826,1.7087489823097712e-06,7.0463874735082754e-09,3.8755132436563144e-08,7.0463874735082754e-09,0.0
1827,1.833315650401346e-06,8.295545583791863e-09,7.097300169789378e-08,1.198245475064752e-08,9.217273055917019e-10
1828,1.5886425899225287e-06,3.668920500743411e-09,6.145441489024961e-08,2.7516904310687096e-09,0.0
1829,1.9529695691744564e-06,4.286587973467704e-09,3.3435387791769244e-08,3.429270423183084e-09,4.286587973467704e-09
1830,1.8243589465782861e-06,1.0436835840010872e-09,5.740259823028282e-08,1.0436835395921662e-08,0.0
1831,1.5450884802703513e-06,3.1182412207897414e-09,6.548306430431694e-08,0.0,1.5591206103948707e-09
1832,1.675010253165965e-06,8.117981842303834e-09,2.1647950987357945e-08,6.764984572527055e-09,1.3529969367098715e-09
1833,1.8499055158827105e-06,1.1583628500844156e-09,4.170106393530659e-08,1.1583628500844156e-09,0.0
1834,1.8613054635352455e-06,4.667265685043276e-09,4.29388435918554e-08,2.8003592777992026e-09,9.334530925997342e-10
1835,1.7705189065964078e-06,4.5378527602224494e-09,2.193295500774184e-08,1.5126175867408165e-09,7.563087933704082e-10
1836,1.6351584690710297e-06,1.3441500135158435e-09,2.8899226123257904e-08,0.0,0.0
1837,2.0671893707913114e-06,9.045257876039159e-09,4.5922078584226256e-08,2.087367279024477e-09,0.0
1838,1.9832812085951446e-06,1.8936485712828244e-09,2.9035945203759184e-08,3.787297142565649e-09,0.0
1839,1.8051988490697113e-06,6.9914751765765e-10,3.775396706373613e-08,4.194885327990505e-09,0.0
1840,1.9726926439034287e-06,0.0,5.7327198987877637e-08,8.917564464638872e-09,0.0
1841,1.7637246401136508e-06,1.926164561183441e-09,3.980740004294603e-08,3.2102742686390684e-09,0.0
1842,1.915880602609832e-06,2.683306021822318e-09,3.5553803456878086e-08,8.049918065466954e-09,6.708265054555795e-10
1843,1.8199192481915816e-06,1.1813822142769936e-09,3.485077471054865e-08,4.134837805480629e-09,0.0
1844,1.8584267991172965e-06,1.6465684371524958e-09,3.787107161201675e-08,2.195424508855126e-09,1.097712254427563e-09
1845,1.7795347275750828e-06,1.674068439427856e-09,5.022205229465726e-08,3.348136878855712e-09,0.0
1846,1.8289462104803533e-06,4.0981511517657054e-09,4.6836010625384006e-08,4.0981509297211005e-09,0.0
1847,1.8763024627332925e-06,1.0786447290911383e-09,5.123562374365065e-08,1.6179670936367074e-09,1.6179670936367074e-09
1848,1.5366373418146395e-06,4.02261068899179e-09,8.527935335678194e-08,1.6090443422100975e-09,0.0
1849,1.91637218449614e-06,2.513824481908955e-09,6.284561493430374e-08,2.513824481908955e-09,0.0
1850,1.6578728718741331e-06,6.788996032014438e-10,3.394497838371535e-08,2.7155984128057753e-09,0.0
1851,1.771015831764089e-06,1.9348316282474798e-09,3.4826967976187007e-08,1.0964045893402385e-08,0.0
1852,1.6289384348056046e-06,1.3021090872200602e-09,5.338647213193326e-08,3.2552727180501506e-09,0.0
1853,1.6661689414831926e-06,1.7915795513800958e-09,4.777545470346922e-08,7.763511389313749e-09,1.1943863675867306e-09
1854,1.5810406921445974e-06,4.1565315633818045e-09,5.403490987987425e-08,6.234797345072707e-09,0.0
1855,1.7555347540110233e-06,3.714855978387277e-09,4.5108965451845506e-08,2.1227748447927297e-09,0.0
1856,1.4868887774355244e-06,1.0354378465748937e-09,5.7466799319172424e-08,4.1417513307884235e-09,5.177189232874468e-10
