year,est_VERB égale_ADJ,est_VERB egale_ADJ,est_VERB légale_ADJ
1800,8.49867683427874e-06,5.0306631749208464e-08,2.5153315874604232e-08
1801,5.793417130917078e-06,2.3811825400343878e-08,1.4287095950749062e-08
1802,5.9146113926544785e-06,3.1329761895904085e-08,3.8043282302169246e-08
1803,6.2761914705333766e-06,2.9255089017965474e-08,3.315576790896557e-08
1804,8.577322660130449e-06,1.9774807569206132e-08,6.179627121127851e-08
1805,6.00984367338242e-06,5.401467717547348e-08,9.665784261869703e-08
1806,6.325263711914886e-06,3.1698359492793315e-08,6.916005901302924e-08
1807,9.39210531214485e-06,5.693910232196231e-09,1.1103124819555887e-07
1808,6.057215614418965e-06,6.798221985349073e-09,1.0650547466184435e-07
1809,7.262783128680894e-06,4.0662548883574345e-08,6.777091243748146e-08
1810,7.158447715482907e-06,4.914266327205041e-08,7.956430891908894e-08
1811,1.0050870514533017e-05,3.5099073869560016e-08,8.774768645025688e-08
1812,7.209464001789456e-06,6.401299401659344e-08,1.0935553973467904e-07
1813,7.3935316322604194e-06,1.1502966579257645e-08,5.463909147351842e-08
1814,5.280124241835438e-06,9.440030979135372e-09,7.237357380063258e-08
1815,5.065385721536586e-06,2.697223555614414e-09,5.3944472000466703e-08
1816,6.531007784360554e-06,1.622322720606917e-08,4.6352077731626196e-08
1817,4.164636266068555e-06,1.8682481339737933e-08,8.874178158979618e-08
1818,2.855121920219972e-06,4.768470951432846e-09,6.556647491606782e-08
1819,4.838080712943338e-06,2.2772310259711048e-08,1.0972112818308233e-07
1820,3.1268177735910285e-06,1.3053129244156025e-08,7.001224133773576e-08
1821,3.343044454595656e-06,1.3806083387635226e-08,7.691961201317099e-08
1822,4.350114522821968e-06,6.015369535816717e-09,8.120748873352568e-08
1823,3.816693606495392e-06,4.941343334508019e-09,6.81905376609393e-08
1824,3.4678141673794016e-06,1.0947446504872005e-08,6.484256687144807e-08
1825,3.3848123166535515e-06,9.68598712347557e-09,9.950150570148253e-08
1826,3.987374384450959e-06,1.4092774947016551e-08,9.160303449107232e-08
1827,3.713639216584852e-06,1.474763688946723e-08,1.253549157809175e-07
1828,3.7927466109977104e-06,1.0089530988466322e-08,1.3024667566696735e-07
1829,3.5604400636657374e-06,1.2002446148073886e-08,1.2774032143170189e-07
1830,4.768590315507026e-06,2.7135772739939057e-08,9.914994336668315e-08
1831,4.374892341729719e-06,6.548306430431694e-08,1.091384405071949e-07
1832,3.9561632547702175e-06,1.2176972319366541e-08,1.4477066656581883e-07
1833,4.640401584765641e-06,1.6217079235048004e-08,1.4363698908059774e-07
1834,3.850494067592081e-06,1.213489042584115e-08,1.5682011689222008e-07
1835,4.097681085113436e-06,7.563087933704082e-09,1.2554725969948777e-07
1836,3.281070121374796e-06,1.9490174807401672e-08,1.2971047169685335e-07
1837,4.084281954419566e-06,6.957891152126194e-09,1.0436836106464398e-07
1838,4.616715159500018e-06,7.574594285131298e-09,1.357114789435343e-07
1839,3.4936401789309457e-06,1.4682098203877558e-08,1.1885507911202353e-07
1840,3.683590875880327e-06,1.9746034141121527e-08,1.2930468162863917e-07
1841,3.108829560005688e-06,1.3483152372373297e-08,1.194221965761244e-07
1842,3.6620419905375456e-06,1.0733224087289273e-08,1.5227761318570288e-07
1843,3.9783044485375285e-06,8.860366662588604e-09,1.3585895974888018e-07
1844,4.252537110005505e-06,1.5367971784030487e-08,1.1361321949898695e-07
1845,4.466972313821316e-06,1.5066614622583074e-08,1.4843406859199604e-07
1846,3.4980646432813955e-06,8.781752214304106e-09,1.6392603741088863e-07
1847,4.559970420814352e-06,2.6966118227278457e-09,2.475489768727357e-07
1848,4.2108690649911296e-06,9.65426583121598e-09,1.93889839295025e-07
1849,3.4531569781393046e-06,1.005529792763582e-08,1.9607831180934454e-07
1850,3.971562819060637e-06,1.2899092460827433e-08,1.5750470172548603e-07
1851,4.128930868319003e-06,3.8696632564949596e-09,2.0444721116064102e-07
1852,3.5593152460933197e-06,5.859490670445666e-09,2.460986223695727e-07
1853,4.023887868243037e-06,2.20961471342207e-08,1.1346670802936387e-07
1854,4.078596703038784e-06,1.2989160858012383e-08,1.7873085589314996e-07
1855,4.0698901102587115e-06,6.368324534378189e-09,1.3373482232736933e-07
1856,4.832388640352292e-06,7.765783571755946e-09,1.0975641262511715e-07
1857,3.8500461414514575e-06,1.0739319655783675e-08,1.2301402829706376e-07
1858,5.50391723663779e-06,1.468102794888182e-08,1.1157581347731593e-07
1859,3.981570444011595e-06,7.129042689513199e-09,1.0642642322977736e-07
1860,4.3034683585574385e-06,1.373155189554609e-08,8.788193284203771e-08
1861,4.8899828470894136e-06,1.0375120318428799e-08,1.1082514417282141e-07
1862,3.7982711091899546e-06,6.776979422085105e-09,1.084316711974509e-07
1863,4.1690100260893814e-06,3.995696662428827e-09,1.2736282783976094e-07
1864,4.519030881056096e-06,1.3904711160250827e-08,8.3428264407992e-08
1865,4.536927463050233e-06,2.8241067262513297e-09,1.0449194665085315e-07
1866,4.4179764699947555e-06,8.271541673821048e-09,1.1823439471925212e-07
1867,4.298620297049638e-06,5.82337378318698e-09,1.2568782459254635e-07
1868,5.346425496099982e-06,1.0373735648272486e-08,8.79297585854033e-08
1869,5.545724434341537e-06,3.41846337903462e-08,9.962379188266368e-08
1870,5.172112196305534e-06,1.6055336615750093e-08,1.3475014348784953e-07
1871,4.763598099088995e-06,1.4869648623516696e-08,2.899581312831856e-07
1872,5.248485649644863e-06,6.047339518033823e-09,1.4090301192482002e-07
1873,6.378087618941208e-06,1.616221290134945e-08,1.2271309079991966e-07
1874,5.062286163592944e-06,1.0156835372754358e-08,1.2964902040835113e-07
1875,5.29756198375253e-06,1.3159512590732447e-08,8.58229043387837e-08
1876,5.053258973930497e-06,1.0278225381910033e-08,1.5417337051459867e-07
1877,4.911980795441195e-06,4.9478527941460015e-09,1.0761579916085395e-07
