year,veut_VERB imiter_VERB,veut_VERB limiter_VERB
1800,3.3328143445032765e-07,6.288328968651058e-09
1801,4.1670693917694734e-07,0.0
1802,1.4993528907325526e-07,4.475680270843441e-09
1803,1.7553053055507917e-07,1.1702034896643454e-08
1804,1.5819846055364906e-07,2.4718509461507665e-09
1805,1.6204403152642044e-07,2.2743021688143017e-08
1806,2.2765186713513685e-07,1.152667650217154e-08
1807,1.5658253005312872e-07,1.4234775136401367e-08
1808,2.039466551195801e-07,1.3596443970698147e-08
1809,1.581321384946932e-07,1.8072244145628247e-08
1810,2.0125089861267043e-07,0.0
1811,1.4791753244480788e-07,2.0056614147279106e-08
1812,2.507175622668001e-07,2.6672082320544632e-09
1813,1.35159851311073e-07,1.1502966579257645e-08
1814,6.922689976818219e-08,2.5173417128598885e-08
1815,6.47333635583891e-08,1.6183340889597275e-08
1816,6.257530316133852e-08,0.0
1817,1.479029805295795e-07,1.556873407970727e-09
1818,1.585516571367407e-07,3.457141417584353e-08
1819,1.490551255756145e-07,6.210630232317271e-09
1820,1.7087732828713342e-07,7.119888678630559e-09
1821,1.8736827200882544e-07,6.903041693817613e-09
1822,2.2056354964661296e-07,0.0
1823,1.630643282624078e-07,2.9648061783404955e-09
1824,1.3221146843989118e-07,8.421112696055388e-10
1825,1.6290069027036225e-07,7.924898959288385e-09
1826,1.4268934478423034e-07,1.5854372037438225e-08
1827,1.9171928045125242e-07,3.871254605769536e-08
1828,2.1004569816795993e-07,1.7427371545863934e-08
1829,2.5376601797688636e-07,2.571952872898464e-09
1830,1.8577567573174747e-07,1.3567886369969528e-08
1831,2.385454536124598e-07,1.5591206103948707e-09
1832,2.0294953628763324e-07,5.411987746839486e-09
1833,1.1236119945579048e-07,4.6334514003376626e-09
1834,1.6895501175895333e-07,5.600718555598405e-09
1835,7.411826175030001e-08,1.285724948729694e-08
1836,1.3105461960094544e-07,1.008112526790228e-08
1837,1.509862386228633e-07,2.7831563720326358e-09
1838,1.180374269438289e-07,4.418513555037862e-09
1839,1.5241415951550152e-07,3.425822825420255e-08
1840,1.1529136401122742e-07,2.165694112932215e-08
1841,1.2199042487281986e-07,3.9165346521485844e-08
1842,9.257405508833472e-08,3.957876515414682e-08
1843,1.0927785609737839e-07,2.539971788451112e-08
1844,1.3666517872934492e-07,1.5367971784030487e-08
1845,1.0714038012338278e-07,1.3392547515422848e-08
1846,1.0596647115335145e-07,2.3418005312692003e-09
