year,seront_VERB en_ADP,seront_VERB lents_ADJ
1800,2.854901367754792e-06,3.144164484325529e-09
1801,2.338321337447269e-06,3.095537337571841e-08
1802,2.304975396327791e-06,1.5664880947952042e-08
1803,2.5276397082052426e-06,3.1205427575287104e-08
1804,2.770945002339431e-06,4.943701892301533e-09
1805,3.908956841769395e-06,2.842877711017877e-09
1806,4.81526922158082e-06,2.881669125542885e-09
1807,4.002818968729116e-06,0.0
1808,3.49428614754288e-06,3.3991110370834576e-08
1809,3.2236364404525375e-06,2.259030518203531e-09
1810,3.2785176244942704e-06,7.020380277111826e-09
1811,3.3895678370754467e-06,0.0
1812,3.1713104817754356e-06,3.200649700829672e-08
1813,2.706072791625047e-06,8.627225156487839e-09
1814,2.523634975659661e-06,0.0
1815,3.1395682071888587e-06,0.0
1816,3.4787233289534925e-06,6.952811659743929e-09
1817,2.951831902464619e-06,1.8682481339737933e-08
1818,3.3117030397988856e-06,1.668964877410417e-08
1819,3.416881554585416e-06,1.9666995143552413e-08
1820,2.748276983766118e-06,2.4919611263385377e-08
1821,2.4762196062511066e-06,2.1695274909916407e-08
1822,2.904420853155898e-06,5.012807946513931e-09
1823,2.1534374354814645e-06,9.882686669016039e-09
1824,2.6324398731958354e-06,1.0947446504872005e-08
1825,2.667168701009359e-06,8.805443041381977e-10
1826,2.819435849232832e-06,6.1655889282974385e-09
1827,3.735760856216075e-06,1.8434546333878643e-08
1828,2.506789996914449e-06,1.834460228167245e-08
1829,2.7931407657888485e-06,1.8860987438529264e-08
1830,2.4568312255723868e-06,7.305785310052215e-09
1831,2.9498562525986927e-06,2.182768810143898e-08
1832,2.448924533382524e-06,9.470978667991403e-09
1833,2.519439249226707e-06,3.4750886612755494e-09
1834,3.5751254472415894e-06,1.8669061851994684e-09
1835,2.7612834401224973e-06,1.0588323107185715e-08
1836,3.3711282867443515e-06,6.048674894287842e-09
1837,2.8485605980677065e-06,1.461157062010443e-08
1838,2.7603084618021967e-06,8.2058102535143e-09
1839,3.114702167295036e-06,0.0
1840,2.7695407425198937e-06,8.280594876453051e-09
1841,2.6972725208906922e-06,7.0626033910059505e-09
1842,2.5122453735093586e-06,9.391571076378114e-09
1843,2.6226684894936625e-06,2.2446261738195972e-08
1844,2.240430603706045e-06,1.756339607084101e-08
1845,2.6706970857048873e-06,5.022205318283568e-09
1846,2.844116806954844e-06,1.8148954339380907e-08
1847,3.315753929200582e-06,3.775256551818984e-09
1848,2.525395075281267e-06,1.206783295515379e-08
1849,2.238141632915358e-06,6.703531951757213e-09
1850,2.5390845621586777e-06,1.3577992064028876e-08
1851,2.4978676265163813e-06,5.159551008659946e-09
1852,2.5371596166223753e-06,2.148479971708639e-08
1853,2.314123548785574e-06,5.971931837933653e-09
1854,2.280896751472028e-06,1.6626126253527218e-08
1855,2.119590590154985e-06,1.4859423913549108e-08
1856,2.229297706435318e-06,8.801221973442352e-09
1857,2.1156461116333958e-06,2.636014961865385e-08
1858,2.2109627479949268e-06,7.34051397444091e-09
1859,2.1494063275895314e-06,4.582956236731661e-09
1860,2.4959383608802455e-06,5.950338888283113e-09
1861,2.2504577827930916e-06,1.8863854478468056e-08
1862,2.2196866211743327e-06,8.584174260306554e-09
1863,2.2705546598444926e-06,1.897955925755923e-08
1864,2.4409960133198183e-06,1.1507347075223606e-08
1865,2.3656600660615368e-06,8.001635798393636e-09
1866,2.0824822968279477e-06,1.8002767276925624e-08
1867,2.0726358798128786e-06,1.455843445796745e-08
1868,2.0564696114888648e-06,9.87974813071446e-10
1869,2.063775127680856e-06,4.883519366671862e-09
1870,2.0206787212373456e-06,1.1468097582678638e-08
1871,2.257000232930295e-06,6.37270636261178e-09
1872,2.1976031803205842e-06,2.4794090336399677e-08
1873,2.0974960079911398e-06,1.616221290134945e-08
1874,2.200448534495081e-06,2.3898436563030145e-09
1875,2.230823383797542e-06,2.2886108563824337e-09
1876,2.2829751742392546e-06,6.650616057868319e-09
1877,2.2562207959708758e-06,7.421779191219002e-09
1878,2.086505219267565e-06,9.662541877730746e-09
1879,2.215852191511658e-06,2.443730107160036e-09
1880,2.646077973622596e-06,7.059631101924424e-09
1881,2.2918632112123305e-06,2.091752326904839e-09
1882,2.1789730908494676e-06,2.6621540527571597e-09
1883,2.091069291054737e-06,5.0554711528150165e-09
1884,2.0537879663606873e-06,9.902545450302114e-09
1885,2.356524419155903e-06,2.2559724754955823e-08
1886,2.2309625364869135e-06,5.162771099520569e-09
1887,2.5155945877486374e-06,5.223139698529167e-09
1888,2.1684902549168328e-06,0.0
1889,2.211593255196931e-06,2.5060546970934183e-09
1890,2.2691285721521126e-06,7.865263995654459e-09
1891,2.332327085241559e-06,3.824531802365527e-09
1892,2.3814077394490596e-06,3.761107425503951e-09
1893,2.2779981918574777e-06,3.695050043717174e-09
1894,2.294390469614882e-06,9.452309157609307e-09
1895,2.312953483851743e-06,1.8055843042930064e-08
1896,2.196643208662863e-06,2.948514543632541e-09
1897,2.281158458572463e-06,6.409385022720926e-09
1898,2.7001669877790846e-06,1.2448380992680086e-08
1899,2.5023348371178145e-06,4.9748205555033564e-09
1900,2.0634436168620596e-06,5.710158568206225e-09
1901,2.622236252136645e-06,6.147612641171918e-09
1902,2.4433572889392963e-06,1.0311596021495006e-08
1903,2.4003979888220783e-06,1.4040573148577096e-08
1904,2.323450416952255e-06,1.1824175416563776e-08
1905,2.3455650079995394e-06,9.805441791854719e-09
1906,2.8035806280968245e-06,1.2860461140462576e-08
1907,2.427422032269533e-06,1.0799970695529737e-08
1908,2.367780780332396e-06,1.3260750719723546e-08
