year,aurait_VERB assez_ADV,aurait_VERB lassé_VERB
1800,7.231578535993322e-08,0.0
1801,1.0000967165524344e-07,0.0
1802,6.937304419807333e-08,0.0
1803,1.5797748176282767e-07,0.0
1804,9.88740396223875e-08,0.0
1805,8.24434565060983e-08,0.0
1806,5.4751712497136396e-08,0.0
1807,2.0213381901612593e-07,0.0
1808,4.5321478125970316e-08,0.0
1809,4.0662548883574345e-08,2.259030518203531e-09
1810,1.8721013361755467e-07,0.0
1811,1.3036799373367103e-07,0.0
1812,1.4669645054254943e-07,0.0
1813,1.581657897986588e-07,0.0
1814,1.6677388714469998e-07,0.0
1815,1.7531952778426785e-07,0.0
1816,1.1588019788177917e-07,0.0
1817,1.8371106591530406e-07,0.0
1818,1.513989502655022e-07,0.0
1819,2.0495079411375627e-07,1.035105001712111e-09
1820,2.183432457059098e-07,0.0
1821,2.169527419937367e-07,0.0
1822,1.87479017199621e-07,0.0
1823,1.8678278479455912e-07,0.0
1824,1.658959263295401e-07,9.263223965660927e-09
1825,1.6906450639453396e-07,7.044354433105582e-09
1826,1.9994124045297212e-07,4.403992281964975e-09
1827,2.0001482425868744e-07,2.7651818612639545e-09
1828,2.008734014680158e-07,9.172301251858528e-10
1829,1.9546841656392644e-07,9.430493719264632e-09
1830,1.8264462653405644e-07,1.0436835840010872e-09
1831,1.683850285871813e-07,0.0
1832,1.8130158707663213e-07,0.0
1833,1.7259606011066353e-07,0.0
1834,1.8575715898805356e-07,0.0
1835,2.518508210869186e-07,0.0
1836,1.901972268569807e-07,6.720750067579218e-10
1837,1.5168201628057432e-07,2.0873671680021744e-09
1838,1.7042836475411605e-07,6.312161904276081e-10
1839,2.1393914551026683e-07,6.9914751765765e-10
1840,1.9172762222297024e-07,0.0
1841,2.1187810261835693e-07,7.0626033910059505e-09
1842,2.2003109734214377e-07,2.0124795163667386e-09
1843,1.8843046234451322e-07,6.497602011990011e-09
1844,1.8222023356884165e-07,5.488561161115513e-09
1845,2.031202939178911e-07,0.0
1846,1.6919508993851196e-07,1.1709002656346001e-09
1847,1.9685266750002484e-07,0.0
1848,1.359642425313723e-07,1.6090443422100975e-09
1849,1.508294644736452e-07,8.379414939696517e-10
1850,1.5411021081490617e-07,8.82569484161877e-09
1851,1.4446743534790585e-07,0.0
