year,est_VERB à_ADP,est_VERB a_ADP,est_VERB là_ADV
1800,0.00011396338231861591,7.640319665824791e-07,4.2100364225916564e-06
1801,0.00010067639959743246,6.64349954604404e-07,3.438427711444092e-06
1802,0.00010387382644694299,8.749954645281832e-07,2.9002408155065496e-06
1803,0.0001070580183295533,7.879370400587504e-07,3.4774548112181947e-06
1804,0.00010655902588041499,6.57512330803911e-07,4.172484295850154e-06
1805,0.00011435760097810999,7.306195470846433e-07,3.3432240797992563e-06
1806,9.416430111741647e-05,9.941758776221832e-07,2.7491123546496965e-06
1807,0.00010379998275311664,8.910969597764051e-07,2.81563870885293e-06
1808,0.00011067731975344941,9.086956538340019e-07,2.6581049041851657e-06
1809,9.663680975791067e-05,9.962324796219946e-07,2.7966798370471224e-06
1810,8.921499102143571e-05,8.635067487716697e-07,3.6459175589698134e-06
1811,9.191946446662769e-05,7.77193818635169e-07,2.682572130652261e-06
1812,9.32642724364996e-05,6.988085345938089e-07,3.7954373510729056e-06
1813,9.501737804384902e-05,9.144858097442921e-07,3.6665705920313485e-06
1814,8.645180787425488e-05,1.1170703686502748e-06,3.2473708415636793e-06
1815,8.160719880834222e-05,6.797003209157992e-07,3.525271267790231e-06
1816,8.719752804609016e-05,7.972557369839706e-07,3.506534767439007e-06
1817,9.97535462374799e-05,8.407116141029292e-07,3.801884759013774e-06
1818,8.549153426429257e-05,7.105021921915977e-07,3.962599294027314e-06
1819,8.470678585581481e-05,1.0661581768545147e-06,3.245054131184588e-06
1820,8.33976300782524e-05,8.152272741313027e-07,4.301599346945295e-06
1821,8.739842451177537e-05,9.713565987112815e-07,4.903131866740296e-06
1822,8.985357999335974e-05,8.321261191213125e-07,4.600755346473306e-06
1823,8.166261977748945e-05,9.092071806549029e-07,4.0627724047226366e-06
1824,8.360396168427542e-05,7.40215796213306e-07,3.994975941168377e-06
1825,8.641397289466113e-05,7.141214126704654e-07,4.5233559831103776e-06
1826,8.447385334875435e-05,7.046387722198233e-07,4.118613560422091e-06
1827,8.382372470805421e-05,5.972792855857278e-07,3.995688075519865e-06
1828,8.365505345864221e-05,6.714124261009147e-07,5.489622253662674e-06
1829,8.588864875491709e-05,7.853029302395953e-07,4.970727331965463e-06
1830,8.951987547334284e-05,9.26791038580177e-07,5.957345820206683e-06
1831,9.272401803173125e-05,1.014987546454904e-06,6.9677098508691415e-06
1832,8.875930507201701e-05,8.266811022394904e-07,7.262887720571598e-06
1833,8.984262240119278e-05,7.483023978238634e-07,7.970695151016116e-06
1834,8.567045733798295e-05,9.57722868122346e-07,7.294002443813952e-06
1835,8.645289926789701e-05,9.66562623716527e-07,7.2582956818223465e-06
1836,8.296362648252398e-05,9.509861413903309e-07,6.54466657579178e-06
1837,8.72352538863197e-05,8.88522677655601e-07,6.751241471647518e-06
1838,8.178983989637345e-05,1.020676599239323e-06,5.345138561096974e-06
1839,8.767589315539226e-05,1.0046749565617574e-06,5.923177923250478e-06
1840,8.148806227836758e-05,1.1089627633964483e-06,7.467822797480039e-06
1841,8.429410081589594e-05,1.1075446622044183e-06,7.610918146383483e-06
1842,8.188108040485531e-05,1.1041804270917055e-06,7.048374300211435e-06
1843,8.260401955340058e-05,1.1612987691478338e-06,7.010912668192759e-06
1844,7.825370994396508e-05,1.2321820435090558e-06,6.659820428467356e-06
1845,7.828725210856646e-05,1.206445332968542e-06,7.298938271560473e-06
1846,8.180845907190815e-05,1.2985283817101845e-06,7.088044640113367e-06
