year,premier_ADJ artisan_NOUN,premier_ADJ partisan_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,1.4287095950749062e-08
1802,4.475680270843441e-09,4.475680270843441e-09
1803,0.0,1.755305234496518e-08
1804,9.887403784603066e-09,0.0
1805,2.55858996212055e-08,0.0
1806,2.881669125542885e-09,0.0
1807,8.540865792383556e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,2.710836710662079e-08,2.259030518203531e-09
1810,2.574139479349924e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,6.13457871168066e-08,0.0
1813,4.026038169513413e-08,1.4378708002027452e-08
1814,2.2026739543434815e-08,4.090680150170556e-08
1815,4.315557688983063e-08,1.8880564667256294e-08
1816,0.0,2.3176038865813098e-09
1817,1.401186100480345e-08,1.0898113522728181e-08
1818,0.0,1.0729059418679299e-08
1819,1.2421260464634543e-08,3.1053151161586356e-09
1820,1.3053129244156025e-08,0.0
1821,4.536284592404627e-08,2.9584463767662328e-09
1822,3.0076847679083585e-08,2.0051231786055723e-09
1823,2.075364236020505e-08,1.9765373782121287e-09
1824,3.3684450784221553e-09,9.263223965660927e-09
1825,1.2327619813845558e-08,9.68598712347557e-09
1826,2.554315514657901e-08,1.0569580766173203e-08
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,2.935136400594729e-08,9.172301251858528e-10
1829,1.1145129263923081e-08,6.858540846366168e-09
1830,8.349468672008697e-09,4.174734336004349e-09
1831,2.3386808933878456e-08,1.091384405071949e-08
1832,1.7588959622116818e-08,0.0
1833,1.1583628278799551e-08,0.0
1834,5.600718555598405e-09,2.8003592777992026e-09
1835,1.285724948729694e-08,8.31939672707449e-09
1836,5.376600054063374e-09,4.032449929525228e-09
1837,1.2524203896191466e-08,0.0
1838,8.2058102535143e-09,3.1560809521380406e-09
1839,1.677954131196202e-08,8.38977065598101e-09
1840,3.1848443882154243e-09,5.095750932326837e-09
1841,1.4125206782011901e-08,9.630822361827995e-09
1842,6.708265054555795e-09,3.3541325272778977e-09
1843,2.3627644285539873e-09,3.5441467538532834e-09
1844,7.683985892015244e-09,6.586273748609983e-09
1845,5.022205318283568e-09,1.674068439427856e-09
1846,3.5127007969038004e-09,8.781752214304106e-09
1847,7.011190739092399e-09,2.6966118227278457e-09
1848,4.02261068899179e-09,0.0
