year,dernier_ADJ air_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,2.2378401354217203e-09
1803,3.900678446910888e-09
1804,3.213406074564773e-08
1805,5.685755422035754e-09
1806,2.5935023018064385e-08
1807,3.4163463169534225e-08
1808,4.5321479902327155e-09
1809,1.581321384946932e-08
1810,9.360507036149102e-09
1811,2.0056614147279106e-08
1812,5.3344164641089264e-09
1813,3.163315653864629e-08
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,4.6352077731626196e-09
1817,3.113746815941454e-09
1818,0.0
1819,1.8631890696951814e-08
1820,2.3732962262101864e-09
1821,7.88919063410276e-09
1822,1.604098542884458e-08
1823,0.0
1824,5.052667617633233e-09
1825,3.522177216552791e-09
1826,9.688783109140786e-09
1827,9.217273166939322e-09
1828,6.420610709767516e-09
1829,2.2290258527846163e-08
1830,2.6092090266160994e-08
1831,1.5591206103948707e-09
1832,4.058990921151917e-09
1833,9.266902800675325e-09
1834,7.467624740797874e-09
1835,1.5126175867408165e-08
1836,8.064899859050456e-09
1837,9.74104708006962e-09
1838,1.4517972601879592e-08
1839,1.1885507689157748e-08
1840,7.64362617644565e-09
1841,1.1556987367100646e-08
1842,4.024959032733477e-09
1843,1.8311423488626133e-08
1844,1.3721403568922597e-08
1845,8.928364714222425e-09
1846,9.367202125076801e-09
1847,3.074137566727586e-08
1848,2.091757700384278e-08
1849,2.76520690789539e-08
1850,4.752297222410107e-09
1851,5.159551008659946e-09
1852,1.3021090872200602e-09
1853,1.0749477752369785e-08
1854,7.79349651480743e-09
1855,1.2736649068756378e-08
1856,6.212626857404757e-09
1857,8.78671624349181e-09
1858,1.565976326389773e-08
1859,1.171199848215565e-08
1860,1.0069804545764782e-08
1861,9.903524222920623e-09
1862,2.0782737308877586e-08
1863,1.548332484446746e-08
1864,1.726102105692462e-08
1865,1.3179164426446732e-08
1866,3.4059290943133647e-09
1867,1.261730986357179e-08
1868,7.903798504571569e-09
1869,1.70923168951731e-08
1870,1.8922360567330543e-08
1871,1.1683295220166201e-08
1872,1.3304146229131675e-08
1873,7.781805422268917e-09
1874,7.169530746864439e-09
1875,1.1443054281912168e-09
1876,3.02300739996042e-09
1877,1.2369631985365004e-09
1878,1.4493812372506909e-08
1879,1.3440515367335593e-08
1880,1.7328185109022343e-08
1881,9.064259565150223e-09
1882,9.317538740560849e-09
1883,1.2006744043446815e-08
1884,3.300848483434038e-09
1885,5.80107206715752e-09
1886,2.5168509054651622e-08
1887,1.7628095927424425e-08
1888,1.0779045211961602e-08
1889,1.8168896165349224e-08
1890,1.1797895993481688e-08
1891,4.461953917456185e-09
1892,1.3163876211308434e-08
1893,1.0469308087124318e-08
1894,3.150769645188234e-09
1895,1.625025980445116e-08
1896,4.717623180994224e-09
1897,1.3401440845939305e-08
1898,7.355861253444118e-09
1899,7.185851913504848e-09
1900,3.633737311048435e-09
1901,6.706486921359556e-09
1902,6.38336894454028e-09
1903,9.1803746826713e-09
1904,7.524475265086039e-09
1905,0.0
1906,1.0288369267641428e-08
1907,7.199980611716228e-09
1908,4.4202499438483756e-09
1909,6.601180380094718e-09
1910,8.016225794271747e-09
1911,3.7242617878519013e-09
1912,6.251305251225858e-09
1913,3.71209285532359e-09
1914,1.1384464038144415e-08
1915,2.3561523843085297e-09
1916,5.493730803607377e-09
1917,0.0
1918,0.0
1919,1.2890987832747669e-08
1920,1.1358347151713133e-08
1921,9.087297137000405e-09
