year,dernier_ADJ anneau_NOUN,dernier_ADJ panneau_NOUN
1800,7.200136451501749e-07,3.144164484325529e-09
1801,6.691123317636993e-07,0.0
1802,7.183466834703722e-07,0.0
1803,1.8996304333995795e-06,0.0
1804,6.080753109927173e-07,0.0
1805,3.8378848898901197e-07,0.0
1806,2.0748018414451508e-07,0.0
1807,2.6761378535411495e-07,0.0
1808,4.1922369131697224e-07,0.0
1809,5.602395845016872e-07,0.0
1810,1.4508785284306214e-07,0.0
1811,2.1560860608005328e-07,0.0
1812,1.2802598803318688e-07,0.0
1813,1.35159851311073e-07,0.0
1814,3.366944554272777e-07,0.0
1815,2.1308066777692147e-07,0.0
1816,6.790579618609627e-07,0.0
1817,1.1520862699399004e-06,0.0
1818,4.49428388726858e-07,0.0
1819,3.6642717304857797e-07,0.0
1820,1.8393045309039735e-07,0.0
1821,3.195122246779647e-07,0.0
1822,2.245737960038241e-07,0.0
1823,3.073515699725249e-07,0.0
1824,1.717907025522436e-07,5.052667617633233e-09
1825,3.1435431524506896e-07,0.0
1826,3.285378227246838e-07,0.0
1827,3.364304745900881e-07,0.0
1828,7.787283493598807e-07,4.586150570418113e-09
1829,3.5407217069405306e-07,8.57317605795771e-10
1830,5.114049486110162e-07,0.0
1831,4.1940344974733534e-07,0.0
1832,1.4937085808242045e-06,2.976593194148336e-08
1833,4.1816897944357834e-07,0.0
1834,7.355610227577358e-07,2.8003592777992026e-09
1835,2.6924593043986533e-07,0.0
1836,3.635925773792792e-07,9.409050427677812e-09
1837,5.879418001342174e-07,5.5663127440652715e-09
1838,4.437449678817984e-07,5.049729523420865e-09
1839,4.523484369300945e-07,2.7965900706306e-09
1840,6.78371836926317e-07,1.2739377330817092e-09
1841,3.370787906575856e-07,2.5682194149112547e-09
1842,3.045552432467957e-07,7.379091560011375e-09
1843,3.1365698749397097e-07,5.31621990873532e-09
1844,3.309602454315552e-07,3.841992946007622e-09
1845,3.141668365458372e-07,5.022205318283568e-09
1846,3.8639708677123963e-07,5.854501328173001e-10
1847,2.432343908509438e-07,4.314578916364553e-09
1848,3.097410399277578e-07,0.0
1849,3.251213058774738e-07,1.005529792763582e-08
1850,2.9735803241948133e-07,1.1541293254424545e-08
1851,3.0054384936306633e-07,5.8044946626978344e-09
1852,4.811293179418641e-07,7.161600201754936e-09
1853,3.045685332825343e-07,8.360704129017904e-09
1854,2.8732023338307044e-07,1.0391328686409906e-08
1855,2.30851757265782e-07,1.326734277995456e-08
1856,2.2469001770275554e-07,6.212626857404757e-09
1857,3.724591515208431e-07,1.3668225662399891e-08
1858,1.9232146364345226e-07,1.0276719919488642e-08
1859,2.5715474727405763e-07,2.036869339860914e-09
1860,3.3825389045283316e-07,2.197048232233101e-08
1861,2.952193300931327e-07,3.772770984511453e-09
1862,1.9156261291120025e-07,1.7168348520613108e-08
1863,2.072767710803447e-07,1.1487627737949424e-08
1864,3.102188905756975e-07,1.1507347075223606e-08
1865,3.652511306739825e-07,9.41368871743009e-10
1866,3.770850098838707e-07,1.9462451650298362e-09
1867,2.9019811975672383e-07,3.88224918879132e-09
1868,3.2701966679038463e-07,9.87974813071446e-10
1869,2.9740631424246544e-07,5.860222973552709e-09
1870,3.1250564802576264e-07,4.587239033071455e-09
1871,1.720630646850907e-07,1.0621177271019633e-09
1872,4.0819539393055493e-07,9.675742873582749e-09
1873,3.2863165166929775e-07,1.496501056408306e-08
1874,2.9813299295966544e-07,1.0156835372754358e-08
1875,1.8709393145854847e-07,1.6592428764283795e-08
1876,2.1886573686735744e-07,1.5115036333668286e-08
1877,2.9316027205794626e-07,1.7317484335421796e-08
1878,3.3214987915641814e-07,1.3889904282304855e-08
1879,2.0344053708321042e-07,9.774920428640144e-09
1880,3.00355200266722e-07,1.3477476912271413e-08
1881,2.782030415482417e-07,1.6036766581351003e-08
1882,3.207895751256018e-07,1.9966154951589488e-08
1883,2.3823907879805262e-07,2.6541224329434954e-08
1884,3.0961959751607537e-07,1.9805090900604227e-08
1885,2.3462114562278202e-07,2.191516135230387e-08
1886,2.4200489612269394e-07,1.4842966855610484e-08
1887,2.121900530838161e-07,1.1099172247952538e-08
1888,2.0924028376612114e-07,2.028996703984376e-08
1889,1.8294198811386053e-07,3.257871128425904e-08
1890,2.7659511836475303e-07,9.176140736144589e-09
1891,1.988756705983974e-07,2.8683990294098294e-08
1892,2.632775164546075e-07,1.5044429702015805e-08
1893,2.5619013488409337e-07,1.4164357686752282e-08
1894,1.9030648390483407e-07,1.7014155417882648e-08
1895,2.1907757030703578e-07,1.5648398132839247e-08
1896,1.4742572140846733e-07,2.7716035688740703e-08
1897,1.94029561195741e-07,1.4566784223291052e-08
1898,2.037007760247178e-07,2.1501747937691107e-08
1899,1.7577698585569124e-07,3.371822998587959e-08
1900,1.8220597031159969e-07,2.5436159845071415e-08
1901,1.9895910347011991e-07,1.117747761014698e-08
1902,1.9837547426959645e-07,3.437198614619774e-08
1903,1.7226703152850575e-07,1.6200660368781428e-08
1904,1.5640158679275373e-07,3.439760121182189e-08
1905,1.408887277953852e-07,1.5482276793932215e-08
1906,1.2757577283473154e-07,1.9547901075611662e-08
1907,1.8205665364146029e-07,1.6457098794830927e-08
1908,1.3948345634062775e-07,2.3083527977973972e-08
1909,1.1827114576590247e-07,3.135560788791736e-08
1910,1.5979009893030138e-07,1.60324518105881e-08
1911,1.4471417286721078e-07,2.7665945978583295e-08
1912,2.1514909409603433e-07,1.8753915753677575e-08
1913,1.8295314418992348e-07,2.6514948459066545e-08
1914,1.6273087261042818e-07,3.147469485043075e-08
1915,1.3547875710173685e-07,1.6493066468115103e-08
1916,1.582194499860634e-07,1.2086208478478966e-08
