year,dernier_ADJ achat_NOUN,dernier_ADJ pacha_NOUN
1800,0.0,0.0
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,2.2378401354217203e-08,2.2378401354217203e-08
1803,3.900678446910888e-09,3.900678446910888e-09
1804,9.887403784603066e-09,4.943701892301533e-09
1805,0.0,2.2743021688143017e-08
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,2.0331274441787173e-08,0.0
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.776012391654149e-08
1815,0.0,1.6183340889597275e-08
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,3.5763532135746345e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,4.0369094733705424e-08
1820,0.0,7.119888678630559e-09
1821,9.86148829262845e-10,0.0
1822,5.012807946513931e-09,4.010246357211145e-09
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,4.210556348027694e-09,0.0
1825,5.283265824829186e-09,8.805443041381977e-10
1826,1.0569580766173203e-08,8.80798456392995e-09
1827,0.0,0.0
1828,2.7516904310687096e-09,1.4675682002973645e-08
1829,8.57317605795771e-10,1.714635211591542e-09
1830,0.0,4.174734336004349e-09
1831,1.5591206103948707e-09,1.870944643656003e-08
1832,0.0,1.3529969367098715e-09
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,1.4935249481595747e-08,5.600718555598405e-09
1835,3.781543966852041e-09,1.1344631900556124e-08
1836,6.720750067579218e-10,1.6129799718100912e-08
1837,6.957891152126194e-09,6.957890930081589e-10
1838,1.2624323808552163e-09,5.680945491803868e-09
1839,6.9914751765765e-10,6.9914749545318955e-09
1840,1.2739377330817092e-09,4.649872664685972e-08
1841,3.2102742686390684e-09,7.0626033910059505e-09
1842,1.341653010911159e-09,1.9453969102301016e-08
1843,1.2404512972352677e-08,1.1223130869097986e-08
1844,5.488561272137815e-10,2.085653250105679e-08
1845,5.580227946389016e-10,1.3392547515422848e-08
1846,3.1614305839866574e-08,2.9272506640865004e-09
1847,3.775256551818984e-09,5.9325460100012606e-09
1848,4.02261068899179e-09,3.218088684420195e-09
1849,8.379414939696517e-10,7.54147322368226e-09
1850,4.073397619208663e-09,2.0366988096043315e-09
1851,1.9348316282474798e-09,5.159551008659946e-09
1852,1.3021090872200602e-09,7.812654523320361e-09
1853,6.569124799682413e-09,4.777545470346922e-09
1854,5.195664454227256e-10,5.195664343204953e-09
1855,3.1841622671890946e-09,1.0083180512765466e-08
1856,1.3978411317339123e-08,2.2779632402603056e-08
1857,4.393358121745905e-09,3.4170564155999728e-09
