year,premier_ADJ air_NOUN
1800,8.174827570428533e-08
1801,7.619784270218588e-08
1802,6.713520406265161e-09
1803,5.070882025393075e-08
1804,6.426812149129546e-08
1805,2.842877711017877e-08
1806,7.204172902675055e-08
1807,6.263301344233696e-08
1808,2.2660739062985158e-08
1809,2.484933525614963e-08
1810,1.8721014516387413e-08
1811,4.763445815569867e-08
1812,1.6536691305191198e-07
1813,3.3358602458122277e-07
1814,1.0069366851439554e-07
1815,4.5852800667489646e-08
1816,8.57513455798653e-08
1817,3.736496234640896e-08
1818,2.98029441125891e-08
1819,3.2088255608186955e-08
1820,1.0086508694939766e-07
1821,1.972297603014539e-08
1822,3.8097340393505874e-08
1823,1.3835761869529506e-08
1824,7.747423858006641e-08
1825,6.780191341704267e-08
1826,1.8496766784892316e-08
1827,2.5808365222701468e-08
1828,1.4675682002973645e-08
1829,9.859152783064928e-08
1830,9.810625845041443e-08
1831,1.5591206548037917e-08
1832,3.111892987739395e-08
1833,3.70676112027013e-08
1834,3.267085801894609e-08
1835,6.126101226300307e-08
1836,5.309392392405243e-08
1837,4.1051556820548285e-08
1838,2.7773513266993177e-08
1839,3.146163785050504e-08
1840,4.968357031343018e-08
1841,4.237562123421412e-08
1842,2.884553929050071e-08
1843,2.9534556134080958e-08
1844,3.3480223038395707e-08
1845,2.3436957263811564e-08
1846,5.093416177714971e-08
1847,2.1033572217277197e-08
1848,3.6203496367459564e-08
1849,1.508294689145373e-08
1850,2.5798184033476446e-08
1851,2.8377531435808123e-08
1852,3.6459056218518526e-08
1853,2.6873692604567623e-08
1854,6.182840506241405e-08
1855,4.7231740296638236e-08
1856,7.972871429728912e-08
1857,3.3194261561675376e-08
1858,2.838332058274773e-08
1859,4.786642904264227e-08
1860,5.767251759491998e-08
1861,4.480165421982818e-08
1862,3.9758280279134084e-08
1863,3.945750420841776e-08
1864,3.4522040670559306e-08
1865,1.97687466396701e-08
1866,3.941146431429843e-08
1867,3.979305596146787e-08
1868,3.2109181424822e-08
1869,8.839169585161955e-08
1870,4.243196061182175e-08
1871,1.274541272522356e-08
1872,3.5679303067581714e-08
1873,2.8732820567256567e-08
1874,3.4055272379873713e-08
1875,4.0622842589765895e-08
1876,4.353130833578689e-08
1877,4.886004523196874e-08
1878,7.669642321239678e-08
1879,6.781351258311474e-08
1880,6.096954163758994e-08
1881,5.9266313190420306e-08
1882,6.92160078141768e-08
1883,7.393626894058869e-08
1884,3.366865364284877e-08
1885,3.674012205578947e-08
1886,6.19532544710033e-08
1887,3.1991731541669566e-08
