year,premier_ADJ or_NOUN,premier_ADJ port_NOUN
1800,2.829747991484055e-08,3.018398047061055e-07
1801,1.4287095284615248e-08,1.976381582835529e-07
1802,1.1189200677108602e-08,2.2602185367759375e-07
1803,5.851017448321727e-09,4.212732775954464e-07
1804,7.4155526164076946e-09,3.18868758508728e-07
1805,8.528632911009026e-09,2.8713066058116965e-07
1806,2.881669125542885e-08,3.6885366050398716e-07
1807,2.2775641372874134e-08,5.693910338777641e-07
1808,1.1330369975581789e-08,3.739021998683256e-07
1809,1.1295152591017654e-08,2.4623432581805105e-07
1810,3.7442028144596406e-08,4.7504572542322876e-07
1811,1.504245972228091e-08,3.133846071534663e-07
1812,1.0668832928217853e-08,2.0804223765935603e-07
1813,2.8757416448144113e-09,3.4796474324139126e-07
1814,3.4613449884091096e-08,6.922689976818219e-08
1815,4.045835311217161e-08,1.5913618467422452e-07
1816,1.622322720606917e-08,1.7845549393769033e-07
1817,1.8682481339737933e-08,1.370048607896024e-07
1818,1.3113294894395722e-08,1.3232506756999385e-07
1819,2.0702100145264524e-08,1.9666994433009677e-07
1820,2.4919610375206958e-08,1.3409123766905395e-07
1821,1.1833785507064931e-08,1.2622705014564417e-07
1822,2.8071724500478012e-08,1.1729970594842598e-07
1823,2.569498569471307e-08,2.0654815102716384e-07
1824,1.9368560089105813e-08,1.8442236182636407e-07
1825,4.050503643604486e-08,2.192555257352069e-07
1826,8.80798456392995e-09,2.615971372854631e-07
1827,2.7651818612639545e-08,3.1430900548912177e-07
1828,3.760643585426493e-08,2.0912847276122193e-07
1829,1.2002446148073886e-08,2.880587198217377e-07
1830,1.5655253093882493e-08,2.2126091470120457e-07
1831,4.677361831184612e-09,2.0112655874093832e-07
1832,2.705993829010822e-08,1.0823975582496814e-07
1833,1.3900354645102198e-08,3.0812452678219415e-07
1834,2.9870498963191494e-08,3.108398800577561e-07
1835,4.159698363537245e-08,2.2386740283764084e-07
1836,3.2931674442959746e-08,2.385866366694245e-07
1837,1.7394727436226276e-08,3.2493349344520084e-07
1838,1.7042836919500814e-08,3.0109012527645973e-07
1839,2.027527834513876e-08,2.5798542524491097e-07
1840,7.0066574764382494e-09,3.05745068707175e-07
1841,1.2841097074556274e-08,2.0995193494854902e-07
1842,1.542900918138912e-08,1.8514811017666943e-07
1843,1.6539350389255247e-08,2.4159266148737757e-07
1844,2.4698525058486354e-08,2.206401596982488e-07
1845,1.7298706467272496e-08,3.035643927340459e-07
1846,2.6345256864956923e-08,2.3769275969698356e-07
1847,1.240441438454809e-08,2.006279231636654e-07
1848,1.287235473768078e-08,2.260707318013644e-07
1849,1.1731180693530519e-08,1.6004682379389124e-07
1850,9.504594444820214e-09,3.184039103487635e-07
1851,2.3862924081186065e-08,3.192472191049234e-07
1852,1.4974254725075298e-08,2.0247796328476397e-07
1853,1.5527023000672102e-08,1.899074391076283e-07
1854,1.922395914677466e-08,1.776917207263473e-07
1855,1.1144567935161831e-08,1.9582597232670196e-07
1856,2.640366475459288e-08,1.8379022037606774e-07
1857,1.903788510171367e-08,2.6604225522586233e-07
1858,1.9574704523961373e-08,2.3293897966070176e-07
1859,1.0693563812225193e-08,2.6122850460552627e-07
1860,1.739329860694916e-08,2.160430767617072e-07
1861,1.7920662287451705e-08,2.584347985057356e-07
1862,1.1746764477793548e-08,1.938216130092929e-07
1863,1.4983863039219614e-08,1.8979558547016495e-07
1864,2.349416661218129e-08,1.903507040879049e-07
1865,2.541695881541628e-08,2.2498716056862378e-07
1866,2.2868380966656332e-08,1.6689052984020236e-07
1867,3.1543274658929477e-08,2.0430336356014323e-07
1868,1.778354707937524e-08,1.5758197691173592e-07
1869,2.002242827092715e-08,1.7287657827491643e-07
1870,2.5229815125982213e-08,1.6514060696692923e-07
1871,9.559059321873065e-09,1.317025919433945e-07
1872,1.5723082169571967e-08,1.638828943661963e-07
1873,2.693702005895915e-08,1.508473133071675e-07
1874,1.6131444624534197e-08,1.2128457171911577e-07
1875,1.3731665304828056e-08,1.962483793249703e-07
1876,1.813804395567331e-08,2.0193688965441936e-07
1877,3.2779525871440285e-08,2.121391922127458e-07
1878,1.9928992622819663e-08,2.1680328643469693e-07
1879,1.893890888560179e-08,2.413183403104924e-07
1880,1.1552123257985158e-08,3.035641407134193e-07
1881,1.5339516323820135e-08,2.3845976215852716e-07
1882,2.9283694580328756e-08,2.9549909186243895e-07
1883,2.0221884611260066e-08,2.3950294958385854e-07
1884,2.5086449362277108e-08,3.069789134002576e-07
1885,1.1602144189826191e-08,3.3968501100822834e-07
1886,8.38950331427668e-09,5.220852047904678e-07
1887,1.762809609395788e-08,3.5256193431365546e-07
1888,8.242799331981132e-09,3.3985694170013403e-07
1889,1.5662842023367318e-08,3.270401395805145e-07
1890,1.376421138177264e-08,3.178877534537605e-07
1891,1.4660706204594476e-08,3.8309061523023047e-07
1892,1.0656471038927862e-08,2.3068125765135505e-07
1893,1.7243566630131824e-08,2.931406302142392e-07
1894,2.3315696040526745e-08,3.270498893925833e-07
1895,1.2037228769301578e-08,2.4134644149853557e-07
1896,2.0639602027472392e-08,2.6359720095570083e-07
1897,1.3401440845939305e-08,3.6533495428869855e-07
1898,2.0370077402631637e-08,3.1120951193841506e-07
1899,1.9346524382513053e-08,2.907506164717688e-07
1900,1.8168686111152965e-08,2.668201308786422e-07
1901,1.4530721570427119e-08,3.1241050330033104e-07
