year,dernier_ADJ acte_NOUN,dernier_ADJ pacte_NOUN
1800,7.388786529283209e-07,3.144164484325529e-09
1801,9.953342896551476e-07,4.7623651688866175e-09
1802,8.168116494289279e-07,0.0
1803,7.996390909426054e-07,1.950339223455444e-09
1804,9.516626207073386e-07,7.4155526164076946e-09
1805,1.0660791323058305e-06,2.842877711017877e-09
1806,6.973639017360256e-07,0.0
1807,1.7992755836360175e-06,0.0
1808,1.2531389286252193e-06,0.0
1809,1.490960130468011e-06,0.0
1810,1.060077426728867e-06,1.6380887757350138e-08
1811,1.0980996663079168e-06,1.0028307073639553e-08
1812,1.6269970757321062e-06,0.0
1813,1.8979895379800382e-06,0.0
1814,1.645712153219847e-06,2.5173417128598885e-08
1815,1.596756325383808e-06,8.091670666843243e-09
1816,1.1008617910590601e-06,1.1588019432906549e-08
1817,1.105380128763045e-06,1.556873407970727e-09
1818,1.2207286204102274e-06,0.0
1819,1.273179137228908e-06,4.140420006848444e-09
1820,1.479750181943018e-06,1.1866481131050932e-09
1821,1.7425250007363502e-06,7.88919063410276e-09
1822,1.6221446799136174e-06,6.015369535816717e-09
1823,1.503156696003316e-06,0.0
1824,1.3061146084680786e-06,1.7684335773537896e-08
1825,1.3965432170692793e-06,1.0566532093747583e-08
1826,1.3132704665963502e-06,0.0
1827,1.6701699081522747e-06,5.530363722527909e-09
1828,1.4116171520583976e-06,0.0
1829,1.5225960616760403e-06,0.0
1830,1.6469326524770622e-06,1.2524203008013046e-08
1831,1.418799733698961e-06,2.3386808933878456e-08
1832,1.718306087639121e-06,0.0
1833,1.3216919576564123e-06,3.4750886612755494e-09
1834,1.6260753348262824e-06,1.8669061851994684e-09
1835,1.3439607542409249e-06,6.050470346963266e-09
1836,1.3730492858243792e-06,1.3441500135158435e-09
1837,1.2454624442881368e-06,8.349468672008697e-09
1838,1.3419656692548187e-06,2.5248647617104325e-09
1839,1.315795664424968e-06,2.586845759822154e-08
1840,1.3217104530838242e-06,1.3376346252869098e-08
1841,1.4799363814432809e-06,2.5682194149112547e-09
1842,1.6542581455780692e-06,0.0
1843,1.3934403677584584e-06,2.1855571574747046e-08
1844,1.6487638276885264e-06,2.195424508855126e-09
1845,1.376084217685758e-06,6.696273757711424e-09
1846,1.5678354170489683e-06,4.6836010625384006e-09
1847,1.401698837888432e-06,6.47186837454683e-09
1848,1.6251348231577367e-06,8.84974404868899e-09
1849,1.8267124666238033e-06,8.379414495607307e-09
1850,1.5472122196769078e-06,6.788996032014438e-10
1851,1.6175192663059335e-06,1.096404567135778e-08
1852,1.5963857382672586e-06,3.2552727180501506e-09
1853,1.4953717406562816e-06,2.388772735173461e-09
1854,1.4475121741241992e-06,5.195664454227256e-10
1855,1.619677149733434e-06,6.8990182455763716e-09
1856,1.5987160368879927e-06,8.801221973442352e-09
1857,1.522542666609894e-06,1.4644527812635033e-09
1858,1.5023585020479402e-06,2.936205500958522e-09
1859,1.640189052132257e-06,6.619825576592575e-09
1860,1.4701914174963804e-06,1.373155145145688e-09
1861,1.6284222823514938e-06,3.3011746669586728e-09
1862,1.583554222861494e-06,3.162590411776023e-09
1863,1.5473335039928315e-06,2.9967726078439227e-09
1864,1.5669171142818072e-06,4.315255264231155e-09
1865,1.5838531339795736e-06,4.23615986733239e-09
1866,1.5253696661332583e-06,8.271541673821048e-09
1867,1.533973748024664e-06,1.455843445796745e-09
1868,1.4552869422868042e-06,4.44588676984381e-09
1869,1.678953836403707e-06,3.906815315701806e-09
1870,1.5206697416836334e-06,5.160643912205387e-09
1871,1.413678651029926e-06,1.3807530230280918e-08
1872,1.4701082335921711e-06,4.23313739617015e-09
