year,premier_ADJ an_NOUN,premier_ADJ pan_NOUN
1800,1.2576658381391326e-08,3.144164484325529e-09
1801,5.238601819002042e-08,0.0
1802,4.923248297927785e-08,0.0
1803,1.755305234496518e-08,0.0
1804,5.6852570651244605e-08,4.943701892301533e-09
1805,1.1371510844071508e-08,5.685755422035754e-09
1806,8.645007376628655e-09,2.881669125542885e-09
1807,8.540865348294346e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,2.2590304959990704e-08,0.0
1810,2.574139479349924e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.1337665856435706e-08,0.0
1813,4.026038169513413e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,4.315557688983063e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,0.0
1817,7.784366928831332e-09,1.556873407970727e-09
1818,1.3113295338484932e-08,1.1921177378582115e-09
1819,1.3456364911235141e-08,2.070210003424222e-09
1820,7.238553223487543e-08,0.0
1821,1.577838115718322e-08,0.0
1822,2.8071724500478012e-08,9.023054303725075e-09
1823,4.249555285440465e-08,1.087095569118901e-08
1824,7.242157096243318e-08,0.0
1825,1.1447076175841175e-08,8.805443041381977e-10
1826,1.1362299801032094e-07,4.403992281964975e-09
1827,4.7929820112813104e-08,0.0
1828,3.0268594741755805e-08,9.172301251858528e-10
1829,6.772809124644397e-08,8.57317605795771e-10
1830,1.5655253982060913e-08,0.0
1831,1.4032085493553836e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,2.7800709290204395e-08,3.4750886612755494e-09
1834,1.4935249481595747e-08,0.0
1835,4.9916380362446944e-08,7.563087933704082e-10
1836,7.661655132551459e-08,0.0
1837,6.818733033764346e-08,3.061472142462662e-08
1838,4.8603647551104245e-08,1.8936485712828244e-09
1839,2.4470162784950844e-08,4.194885327990505e-09
1840,4.0766007458614695e-08,1.0191501864653674e-08
1841,9.630822361827995e-09,2.0545755319290038e-08
1842,3.8237111255057243e-08,0.0
1843,3.8394921131335025e-08,4.134837805480629e-09
1844,3.402907916560949e-08,7.135129875823765e-09
1845,2.566904894196753e-08,6.696273757711424e-09
1846,2.1076203893244383e-08,7.610851504580296e-09
1847,2.6426795862732888e-08,0.0
1848,4.666228597960398e-08,0.0
1849,5.1952373070207614e-08,2.513824481908955e-09
1850,3.055048125588655e-08,8.82569484161877e-09
1851,2.257303499675345e-08,1.0319102017319892e-08
1852,2.7344290387532055e-08,0.0
1853,2.9859659633757474e-08,5.971931837933653e-10
1854,1.1274591571464043e-07,4.1565315633818045e-09
1855,3.502578493908004e-08,2.653468555990912e-09
1856,2.1226476576430287e-08,1.501384794266869e-08
1857,5.174399508867111e-08,9.763018171682347e-10
1858,3.1808895073481835e-08,9.787352039936081e-10
1859,2.8516170758052795e-08,1.5276520048956854e-09
1860,5.53839250017063e-08,4.57718396518203e-09
1861,1.7920662287451705e-08,6.6023493339173456e-09
1862,2.8463313594961903e-08,9.035972525772706e-10
1863,2.6471489888990618e-08,1.1487627737949424e-08
1864,2.3014694150447212e-08,3.835782247385566e-09
1865,2.9653119071326728e-08,1.4591217123438582e-08
1866,2.8220555337021835e-08,4.379051787850585e-09
1867,6.454239098729886e-08,3.88224918879132e-09
1868,2.321740844024589e-08,4.44588676984381e-09
1869,6.641585770239544e-08,1.953407657850903e-09
1870,2.6376625328339287e-08,1.6055336615750093e-08
1871,4.885741633486873e-08,6.37270636261178e-09
1872,5.1402382683640724e-08,9.071008832961525e-09
1873,1.9155214303623325e-08,1.1972009161809183e-08
1874,5.0784177918483664e-08,7.766991494406739e-09
1875,2.345826111138649e-08,7.4379850611983045e-09
1876,2.2974857127877613e-08,1.5115036333668286e-08
1877,3.277952487223956e-08,1.2369631985365004e-09
1878,7.005343150012777e-08,4.831270938865373e-09
1879,3.848874796652524e-08,2.443730107160036e-09
1880,2.9522093214495726e-08,5.776061406947974e-09
1881,3.834879080955034e-08,2.7890030285249168e-09
1882,4.4591080827771634e-08,2.6621540527571597e-09
1883,2.0853818505361943e-08,1.8958017378167824e-09
1884,2.3766109080725073e-08,1.3203393933736152e-09
1885,4.060750313783501e-08,3.2228177904158883e-09
1886,3.549404986591398e-08,1.1616235084943582e-08
1887,1.958677409152898e-08,3.9173548849191775e-09
1888,1.1413106459912115e-08,1.014498351992188e-08
1889,2.3181005281980305e-08,1.8795409673089125e-09
1890,2.4906668727453507e-08,3.2771931834929546e-09
1891,2.677172439291553e-08,8.286486163910922e-09
1892,3.384996816180319e-08,1.1283322498556458e-08
1893,2.0938616174248637e-08,1.847525021858587e-09
1894,2.5836310868498913e-08,8.192000855444803e-09
1895,3.1898657715245804e-08,7.824199066419624e-09
1896,3.125425251937486e-08,4.1279202278587945e-09
1897,3.088158351260972e-08,5.826713556089658e-10
1898,1.0750873968845553e-08,6.224190496340043e-09
1899,2.5979618456517528e-08,9.949641111006713e-09
1900,3.166542283938867e-08,8.30568502863116e-09
1901,1.117747761014698e-08,3.912117296778206e-09
1902,1.178468167495339e-08,7.365425602756659e-09
