year,dernier_ADJ an_NOUN,dernier_ADJ pan_NOUN
1800,3.144164484325529e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,8.951360541686881e-09,0.0
1803,5.851017448321727e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,5.685755422035754e-09,1.7057265822018053e-08
1806,5.76333825108577e-09,0.0
1807,1.1387820464392462e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,0.0
1810,1.1700633795186377e-08,0.0
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,4.140420117870747e-09,0.0
1820,2.254631326081835e-08,0.0
1821,5.916893086599373e-09,0.0
1822,8.02049271442229e-09,0.0
1823,9.882686891060644e-10,2.9648061783404955e-09
1824,1.3473780313688621e-08,5.052667617633233e-09
1825,9.685987789609385e-09,4.4027217427355936e-09
1826,7.927186018719112e-09,4.403992281964975e-09
1827,2.3964910056406552e-08,5.530363722527909e-09
1828,1.8344602503717056e-09,0.0
1829,7.715858285628485e-09,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,4.677361609140007e-09,1.5591206103948707e-09
1832,6.764984572527055e-09,2.841293600397421e-08
1833,8.108539617524002e-09,1.1583628500844156e-09
1834,6.534171426153534e-09,9.334530925997342e-10
1835,1.8907719834260206e-08,2.2689263801112247e-09
1836,3.36037508930076e-09,0.0
1837,2.2265250976261086e-08,6.957890930081589e-10
1838,1.7674054220151447e-08,1.2624323808552163e-09
1839,1.6779539646627484e-08,6.9914751765765e-10
1840,8.91756390952736e-09,3.1848443882154243e-09
1841,8.988767952189392e-09,5.1364388298225094e-09
1842,6.037438549100216e-09,6.708265054555795e-09
1843,2.953455480181333e-09,5.906910960362666e-09
1844,1.0977122322231025e-08,1.6465684371524958e-09
1845,5.022205318283568e-09,5.022205318283568e-09
1846,9.367202347121406e-09,7.610851504580296e-09
1847,3.775256551818984e-09,1.6179670936367074e-09
1848,2.413566457803995e-09,0.0
1849,1.508294644736452e-08,1.6758829879393033e-09
1850,8.146795238417326e-09,6.788996032014438e-10
1851,1.6123596680017727e-08,8.384270167027807e-09
1852,7.812654523320361e-09,1.4323200403509873e-08
1853,4.777545470346922e-09,1.1346670270029335e-08
1854,9.352196350675968e-09,8.313063126763609e-09
1855,4.2455496895854594e-09,7.960405667972736e-09
1856,9.3189408967298e-09,4.659470143053568e-09
1857,1.4156376515472857e-08,6.8341128311999455e-09
1858,6.361778659424999e-09,2.2510910469009104e-08
1859,5.601390462572908e-09,1.5276520048956854e-09
1860,8.696649511641397e-09,5.492620580582752e-09
1861,2.357981809808507e-09,1.1789909493131745e-08
1862,9.939570166928036e-09,9.939570055905733e-09
1863,3.995696662428827e-09,3.496234635136375e-09
1864,5.753673426589501e-09,8.63051052846231e-09
1865,1.6003271596787272e-08,6.589582213223366e-09
1866,9.731225603104576e-09,0.0
1867,9.7056229719783e-09,1.261730986357179e-08
1868,1.975949626142892e-09,6.421836395986702e-09
1869,2.9301114867763545e-09,3.4184632902167778e-09
