year,dernier_ADJ paiement_NOUN
1800,4.7162465932615305e-08
1801,2.1430643926123594e-08
1802,9.175144555229053e-08
1803,6.241085515057421e-08
1804,1.9774807569206132e-08
1805,4.8328921309348516e-08
1806,9.797675204481493e-08
1807,1.0818429529990681e-07
1808,6.118399653587403e-08
1809,1.0843346842648316e-07
1810,1.2168659679900884e-07
1811,8.022645658911642e-08
1812,6.13457871168066e-08
1813,3.738464116054274e-08
1814,4.405347908686963e-08
1815,1.2407228666688752e-07
1816,7.879853036740769e-08
1817,4.203558034987509e-08
1818,1.9073883095188648e-07
1819,9.729986771844779e-08
1820,7.713212824000948e-08
1821,5.029358973729359e-08
1822,1.443688688596012e-07
1823,7.510841726343642e-08
1824,8.757957203897604e-08
1825,7.836844417852262e-08
1826,9.953022583886195e-08
1827,1.115290046982409e-07
1828,1.0272977135628025e-07
1829,1.0287811136322489e-07
1830,3.444155893816969e-08
1831,5.456922025359745e-08
1832,8.659180394943178e-08
1833,1.1467792404573629e-07
1834,1.5682012133311218e-07
1835,9.983276072489389e-08
1836,7.123995260371885e-08
1837,8.419048214136637e-08
1838,8.710783561127755e-08
1839,9.857979677008188e-08
1840,6.879263736436769e-08
1841,5.521671653241356e-08
1842,1.1001554867107188e-07
1843,5.729703644874462e-08
1844,5.762989374602512e-08
1845,3.794555070157912e-08
1846,3.571245699163228e-08
1847,4.7999691332734074e-08
1848,2.011305433313737e-08
1849,1.75967720394965e-08
1850,4.1412874907109654e-08
1851,4.321124080775007e-08
1852,3.5156944022674e-08
1853,5.5538965426649156e-08
1854,3.53305187883457e-08
1855,1.9104973603134567e-08
1856,4.866558001026533e-08
1857,1.8061583395567737e-08
1858,2.5936483183386372e-08
1859,4.226503946824778e-08
1860,4.851814949802247e-08
1861,1.744906619194353e-08
1862,4.066187764273366e-08
1863,3.1965573299430616e-08
1864,1.2945765348604255e-08
1865,2.8241066596379483e-08
1866,1.8489329178805747e-08
1867,2.038180824115443e-08
1868,2.5687345583946808e-08
1869,2.6859355628516823e-08
1870,2.121598008386627e-08
1871,2.9739295692721157e-08
1872,2.8422494580127022e-08
1873,4.130343067565434e-08
1874,5.675878611555163e-08
1875,3.718992758194872e-08
1876,2.9625472519612117e-08
1877,5.009700965175057e-08
1878,2.717589886458427e-08
1879,2.1993571408529533e-08
1880,3.8507078414795615e-08
1881,4.462404845639867e-08
1882,3.261138870058744e-08
1883,3.4124429504345244e-08
1884,3.4328824227713994e-08
1885,2.707166935067562e-08
1886,4.323820945728585e-08
1887,3.982643903555072e-08
1888,3.6775563927449184e-08
1889,3.195219733242993e-08
1890,5.636772321127026e-08
1891,4.84440718651058e-08
1892,5.829716442917743e-08
1893,4.249307417047987e-08
1894,4.348062176973144e-08
1895,3.8519132772307785e-08
1896,4.4817420663534335e-08
1897,5.010973680441566e-08
1898,5.035935757291554e-08
1899,4.9748205555033564e-08
1900,3.114631752509922e-08
1901,4.8622027348788066e-08
1902,4.0264328760031276e-08
1903,4.5361851164216205e-08
1904,5.482117870769798e-08
1905,6.399341467844266e-08
1906,7.716276628766394e-08
1907,4.5771305579034305e-08
1908,6.483033843096564e-08
1909,6.546170538967999e-08
1910,7.107720234600379e-08
1911,5.9056153078884677e-08
1912,5.261515312326992e-08
1913,6.204498137485359e-08
1914,5.0895250958138405e-08
1915,3.6520361734737605e-08
1916,3.735737053034427e-08
1917,3.728584374584898e-08
1918,6.547234487896958e-08
1919,3.4069039145379065e-08
1920,4.46761680983343e-08
1921,5.14946840723951e-08
1922,3.6151885041135756e-08
1923,7.537323343242974e-08
1924,5.672314873361728e-08
1925,5.49908882874206e-08
1926,4.6813780962828844e-08
1927,4.7941668412931904e-08
1928,5.3702393643106916e-08
1929,5.3473950600846365e-08
1930,6.092090387710414e-08
1931,5.1324104077821175e-08
1932,5.370172928564898e-08
1933,4.01473165823063e-08
1934,5.511526879331541e-08
1935,4.906996409204112e-08
1936,7.1535815493462e-08
1937,7.932404766375356e-08
1938,2.5930429359277696e-08
1939,3.8235125288110794e-08
1940,2.5357829613881222e-08
1941,8.854507882460894e-08
1942,3.3376331032286544e-08
1943,5.2258233740332116e-08
1944,7.390327816381159e-08
1945,2.6142048525912287e-08
1946,5.290019799986112e-08
1947,3.695470129905232e-08
1948,4.566192757238241e-08
1949,4.712163814701853e-08
1950,3.722376651360548e-08
1951,2.6653504292539765e-08
1952,3.796129277588989e-08
1953,4.8482224457302436e-08
1954,3.811289217559022e-08
1955,2.1586897602787758e-08
1956,5.6687419203171885e-08
1957,5.9194753987412696e-08
1958,5.21151335419745e-08
1959,3.255313940631055e-08
1960,6.782416761552668e-08
1961,4.863711566827078e-08
1962,4.883306559122502e-08
1963,3.2330266463986845e-08
1964,2.981144575642247e-08
1965,2.7360217202954118e-08
1966,2.6033651678858405e-08
1967,3.4019315364730573e-08
1968,4.311759127517689e-08
1969,6.585549150450731e-08
1970,3.403056614281752e-08
1971,3.083038535578453e-08
1972,4.10411743478889e-08
1973,3.8592428031059e-08
1974,2.7565301152776556e-08
1975,3.4268879289811593e-08
1976,4.513686291396368e-08
1977,2.938390863960194e-08
1978,3.683166727164178e-08
1979,5.6764141498355514e-08
1980,4.377566042990111e-08
1981,2.5302197670384885e-08
1982,3.41412622617554e-08
1983,3.410270821291306e-08
1984,7.132780499574665e-08
1985,3.729645858818742e-08
1986,3.776525869803038e-08
1987,2.6276512354872494e-08
1988,3.717863328311921e-08
1989,4.116091467665228e-08
1990,3.8685422643069955e-08
1991,2.8135033858234237e-08
1992,4.738552000782548e-08
1993,2.1602909072715448e-08
1994,2.004472132721702e-08
1995,2.277429267394382e-08
1996,3.576521812043154e-08
1997,3.2605284028264236e-08
1998,3.480734278582531e-08
1999,4.067479153491149e-08
2000,2.0322945104567225e-08
2001,2.7163512855699068e-08
2002,2.9792305511477934e-08
2003,3.250200020232796e-08
2004,2.5547789661573006e-08
2005,2.3419498673682426e-08
2006,2.2648395159308166e-08
2007,2.716246005896039e-08
2008,1.6604014163590364e-08
2009,2.0980046810947783e-08
2010,3.779034296602646e-08
2011,2.60030094678676e-08
2012,1.7702113552786614e-08
2013,1.812931316180766e-08
2014,2.273717392142771e-08
2015,1.9062549053150413e-08
2016,1.9470596246407013e-08
2017,1.9118645611104768e-08
2018,1.9619147195726327e-08
2019,1.5305926637232403e-08
