year,premier_ADJ allié_NOUN,premier_ADJ palier_NOUN
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,2.6854081625060644e-08,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,1.730295728918918e-08,2.4718509905596875e-08
1805,5.970043304159844e-08,8.24434565060983e-08
1806,5.76333825108577e-09,1.729001475325731e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,6.345007363961486e-08
1809,4.518061036407062e-09,6.551188391767937e-08
1810,0.0,7.020380277111826e-09
1811,1.504245972228091e-08,2.5070768572277302e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,2.0130190847567064e-08,4.601186631703058e-08
1814,5.349351184236184e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,7.282503844407984e-08
1816,6.952811659743929e-09,3.9399267848239106e-08
1817,3.113746815941454e-09,2.0239355080775567e-08
1818,2.741870730460505e-08,2.384235386898581e-08
1819,2.173720581311045e-08,4.0369094733705424e-08
1820,6.170570543417853e-08,3.441279616822612e-08
1821,1.676452932031225e-08,4.339054981983281e-08
1822,1.0025615893027862e-08,1.7043547018147365e-08
1823,4.941343334508019e-09,1.8777104315859106e-08
1824,0.0,3.9579230559638745e-08
1825,1.7610886970942374e-08,6.251864448358901e-08
1826,4.932471142637951e-08,5.372870504061211e-08
1827,1.474763688946723e-08,2.1199728195142598e-08
1828,2.7516904310687096e-09,3.393751413227619e-08
1829,1.714635211591542e-09,1.0287811491593857e-08
1830,1.0436835840010872e-09,2.6092090266160994e-08
1831,6.236482441579483e-09,4.053713453799901e-08
1832,2.705993873419743e-09,3.788391467196561e-08
1833,6.950177322551099e-09,2.7800709290204395e-08
1834,9.334531370086552e-09,1.3068342852307069e-08
1835,6.806779140333674e-09,3.554651328840919e-08
1836,1.2769425516978572e-08,2.9571300075303952e-08
1837,1.87863058442872e-08,2.922314124020886e-08
1838,2.840472923537618e-08,4.102905393210676e-08
1839,2.307186797168015e-08,2.23727205650448e-08
1840,1.0828470564661075e-08,2.5478755105723394e-08
1841,7.704658244733764e-09,1.2841097074556274e-08
1842,3.3541326160957396e-08,3.287049921141261e-08
1843,7.088293507706567e-09,2.658109998776581e-08
1844,1.0428266250528395e-08,2.305195678786731e-08
1845,5.580227835366713e-09,4.3525776760589e-08
1846,4.6836010625384006e-09,3.6297908678761814e-08
1847,7.011190739092399e-09,1.0786447290911383e-08
1848,2.413566457803995e-09,2.976732105253177e-08
1849,0.0,6.368355087715827e-08
1850,1.425689166723032e-08,2.7155984128057753e-08
1851,7.094382858952031e-09,2.7087642351375507e-08
1852,5.208436348880241e-09,1.6276363368206148e-08
1853,7.166318205520383e-09,6.330247970254277e-08
1854,1.0391328686409906e-08,4.052618152172727e-08
1855,6.368324534378189e-09,4.8823821430232783e-08
1856,3.1063134287023786e-09,1.7602443946884705e-08
1857,7.322263684272912e-09,4.539803555303479e-08
1858,1.1744822003834088e-08,2.495774786837046e-08
1859,1.5276519604867644e-08,3.208069188076479e-08
1860,1.785101666484934e-08,5.355305177090486e-08
1861,7.545541969022906e-09,2.5937801240161207e-08
1862,1.536115412648087e-08,9.668490719150213e-08
1863,5.9935452156878455e-09,4.195481650981492e-08
1864,2.1576274988888144e-08,2.3973639073915365e-08
1865,1.4120533631256649e-09,3.247722446531043e-08
1866,7.298419202328432e-09,2.238181906477621e-08
1867,4.85281148598915e-09,3.202855580752839e-08
1868,6.915823469455518e-09,5.0386717020955984e-08
1869,5.371870948067681e-09,7.911300770047092e-08
1870,5.734048791339319e-09,5.963410387721524e-08
1871,2.1242354542039266e-09,4.991953161948004e-08
1872,1.0280476914203973e-08,2.963196266136947e-08
1873,1.0176207432266438e-08,5.3874039451784483e-08
1874,8.961913877669758e-09,3.1067965977626955e-08
1875,5.721527251978387e-09,6.122034079680816e-08
1876,1.0882827083946722e-08,4.232210315535667e-08
1877,4.329371083855449e-09,4.0201303619369355e-08
1878,3.6234530931267273e-09,4.589707458535486e-08
1879,9.163987790827832e-09,3.9099681714560575e-08
1880,8.984985200299889e-09,3.529815373326528e-08
1881,4.8807553554297556e-09,2.5798277292210514e-08
1882,9.317538740560849e-09,2.5290463057103807e-08
1883,1.8958017378167824e-09,3.4756364897248204e-08
1884,1.9805090900604227e-09,3.3668655419205606e-08
1885,1.160214413431504e-08,4.060750313783501e-08
1886,3.2267319927115068e-09,3.613939725255477e-08
