year,premier_ADJ acte_NOUN,premier_ADJ pacte_NOUN
1800,3.750988174289205e-06,4.0874138740321087e-08
1801,4.343277169027715e-06,7.143547975374531e-09
1802,2.407915985713771e-06,4.475680270843441e-09
1803,2.5061858650587965e-06,1.950339267864365e-08
1804,4.244168167133466e-06,2.9662210465630778e-08
1805,2.9224781741277184e-06,1.7057265822018053e-08
1806,2.6050287829093577e-06,4.3225035994964855e-08
1807,4.88537519061083e-06,1.7081731584767113e-08
1808,4.065336611347448e-06,2.2660739951163578e-09
1809,4.289899095510918e-06,0.0
1810,4.289452135708416e-06,2.574139479349924e-08
1811,4.09405629397952e-06,5.264861258069686e-08
1812,5.059694046849472e-06,4.5342539944925875e-08
1813,9.018326181831071e-06,3.738464116054274e-08
1814,4.00886680296253e-06,3.461344810773426e-08
1815,3.2096959330374375e-06,2.6972236000233352e-08
1816,3.1009539753767967e-06,0.0
1817,4.8558883349869575e-06,1.5568733857662664e-08
1818,3.928028064592581e-06,2.5034472272977837e-08
1819,3.981013918519238e-06,1.8631890696951814e-08
1820,4.275493154182186e-06,2.254631326081835e-08
1821,5.663452554927062e-06,2.465372084259343e-08
1822,4.689983029493305e-06,2.105379337535851e-08
1823,4.27920338097465e-06,2.668325471688604e-08
1824,4.849718663990643e-06,2.189489300974401e-08
1825,4.504864563159572e-06,2.4655239627691117e-08
1826,3.6042271176484064e-06,5.284790383086602e-09
1827,3.850054838494543e-06,7.373818444733615e-09
1828,3.8936418889079505e-06,2.935136400594729e-08
1829,4.1957122931535196e-06,1.3717081692732336e-08
1830,5.037860830725549e-06,2.5048406016026092e-08
1831,4.2688723169703735e-06,1.2472964883158966e-08
1832,5.15356529717792e-06,3.5177919244233635e-08
1833,3.7264533432335156e-06,4.6334514003376626e-09
1834,4.211740559867394e-06,4.667265329771908e-08
1835,3.5584328514914887e-06,2.117664621437143e-08
1836,3.6070266631327286e-06,1.1425274948351216e-08
1837,3.6995106142967416e-06,7.653680356156656e-09
1838,3.341027301928534e-06,2.7773513266993177e-08
1839,3.5285974249177343e-06,7.131304613494649e-08
1840,3.849839888658835e-06,2.5478755105723394e-08
1841,3.571751264530576e-06,1.926164472365599e-08
1842,3.285037323053075e-06,3.4212153110502186e-08
1843,3.628615367290422e-06,2.0674189471492355e-08
1844,3.6433070818020497e-06,1.4270259640625227e-08
1845,3.5953408072941784e-06,2.622707206967334e-08
1846,3.2697389329428006e-06,1.0538101946622191e-08
1847,3.2790799231463552e-06,2.3190860787281053e-08
1848,3.7611410448334937e-06,3.137636639394259e-08
1849,4.036363982606872e-06,3.0165893116773645e-08
