year,dernier_ADJ arc_NOUN,dernier_ADJ parc_NOUN
1800,5.345079756580162e-08,0.0
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,0.0
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,2.3311596919484145e-07,0.0
1806,6.916005901302924e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,9.064295980465431e-09,0.0
1809,2.710836710662079e-08,0.0
1810,6.786367379163494e-08,7.020380277111826e-09
1811,3.008491944456182e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,8.627225156487839e-09,0.0
1814,7.237357380063258e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,9.270415546325239e-09,0.0
1817,1.556873407970727e-09,0.0
1818,2.384235475716423e-09,0.0
1819,1.0351049795076506e-08,0.0
1820,1.1866481131050932e-09,0.0
1821,1.2819934447350079e-08,0.0
1822,1.804610860745015e-08,0.0
1823,7.906149512848515e-09,8.894418535021487e-09
1824,5.052667617633233e-09,8.421112696055388e-10
1825,4.4027217427355936e-09,8.805443041381977e-10
1826,1.9377566218281572e-08,0.0
1827,3.594736597278825e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,2.4004892296147773e-08,8.57317605795771e-10
1830,2.7135772739939057e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,2.1647950987357945e-08,0.0
1833,2.548398292390175e-08,0.0
1834,3.9205030333278046e-08,0.0
1835,3.1764969321557146e-08,0.0
1836,1.1425274948351216e-08,0.0
1837,1.948209416013924e-08,1.3915781860163179e-09
1838,3.28232410140572e-08,0.0
1839,2.6567605004856887e-08,0.0
1840,5.7327198987877637e-08,0.0
1841,2.953452238330101e-08,0.0
1842,3.085801836277824e-08,4.695785538189057e-09
1843,1.2995204023980023e-08,1.1813822142769936e-09
1844,2.140538946093784e-08,1.6465684371524958e-09
1845,3.961961780873935e-08,1.674068439427856e-09
1846,1.0538101946622191e-08,0.0
1847,5.716817241818717e-08,0.0
1848,1.448139919091318e-08,8.84974404868899e-09
1849,7.54147322368226e-09,6.703531951757213e-09
1850,2.3761487000228954e-08,4.073397619208663e-09
1851,3.1602251482354404e-08,6.449438760824933e-10
1852,2.669323606596663e-08,1.9531636308300904e-09
1853,1.6124216628554677e-08,0.0
1854,3.896748168585873e-08,0.0
1855,2.9718847827098216e-08,0.0
1856,2.1226476576430287e-08,5.177189232874468e-10
1857,7.322263684272912e-09,0.0
1858,2.1532175153993194e-08,9.787352039936081e-10
1859,2.1387128512628806e-08,0.0
1860,1.0527522853465143e-08,4.577183909670879e-10
1861,2.357981898626349e-08,1.8863854922557266e-09
1862,1.400575744270327e-08,3.162590411776023e-09
1863,3.2465035104678464e-08,2.9967726078439227e-09
1864,2.2535221688713136e-08,1.4384183844029508e-09
1865,2.6829013677343028e-08,3.765475486972036e-09
1866,3.065336073859726e-08,1.9462451650298362e-09
1867,3.154327288257264e-08,3.396968040192405e-09
1868,2.1735445443482604e-08,7.409810987013543e-09
1869,3.955650385023546e-08,5.371870948067681e-09
1870,4.0711746862598375e-08,2.2936195165357276e-09
1871,1.1683295220166201e-08,0.0
1872,7.256807155187062e-09,4.23313739617015e-09
1873,1.7359413462259e-08,4.190203295451056e-09
1874,5.078417686377179e-08,2.9873046258899194e-09
1875,3.94785359958405e-08,5.721527140956084e-10
1876,2.9020871039620033e-08,0.0
1877,1.9791411176584006e-08,1.2369631985365004e-09
1878,1.8117265909722846e-08,3.0195443923020093e-09
1879,1.221865097988939e-08,0.0
1880,2.2462462112571302e-08,1.2835692508872398e-09
1881,5.5780060570498335e-09,6.972507571312292e-10
1882,1.1314154946262533e-08,2.6621540527571597e-09
1883,1.3270612164717477e-08,0.0
1884,2.772712726084592e-08,6.601696966868076e-10
1885,1.2246707647989297e-08,0.0
1886,3.9366128135043255e-08,1.2906927748801422e-09
1887,1.566941953967671e-08,1.3057849246322917e-09
1888,1.3315291091942072e-08,0.0
1889,2.8193115397812107e-08,6.265136742733546e-10
1890,3.0150179242127706e-08,1.3108772956016423e-09
1891,1.6572972327821844e-08,0.0
1892,1.3163876211308434e-08,6.268512375839919e-10
1893,1.23168328869383e-08,4.310891643655168e-09
1894,1.449354058991048e-08,3.150769645188234e-09
1895,3.611168697403855e-09,3.0093072478365457e-09
1896,1.7101383420481397e-08,0.0
1897,3.029891004757701e-08,3.4960281336537946e-09
1898,1.0750873968845553e-08,0.0
1899,1.5477219506010442e-08,5.527578395003729e-10
