year,premier_ADJ air_NOUN,premier_ADJ père_NOUN
1800,8.174827570428533e-08,2.9869563888951234e-07
1801,7.619784270218588e-08,2.6907362560280035e-07
1802,6.713520406265161e-09,4.2295178559470514e-07
1803,5.070882025393075e-08,4.271242843856271e-07
1804,6.426812149129546e-08,3.7572134203855967e-07
1805,2.842877711017877e-08,7.277767108959665e-07
1806,7.204172902675055e-08,3.8902534527096577e-07
1807,6.263301344233696e-08,3.330937445866766e-07
1808,2.2660739062985158e-08,6.934186291829292e-07
1809,2.484933525614963e-08,4.9246864719521e-07
1810,1.8721014516387413e-08,4.142024252473675e-07
1811,4.763445815569867e-08,4.262030515178594e-07
1812,1.6536691305191198e-07,3.013945288898867e-07
1813,3.3358602458122277e-07,2.01301915581098e-07
1814,1.0069366851439554e-07,1.98240659443627e-07
1815,4.5852800667489646e-08,6.068753108934288e-07
1816,8.57513455798653e-08,6.929635780750232e-07
1817,3.736496234640896e-08,4.826307531402563e-07
1818,2.98029441125891e-08,4.005515474858612e-07
1819,3.2088255608186955e-08,3.912696957542039e-07
1820,1.0086508694939766e-07,4.058336653400829e-07
1821,1.972297603014539e-08,5.266034666107089e-07
1822,3.8097340393505874e-08,4.702013853830067e-07
1823,1.3835761869529506e-08,5.573835615280132e-07
1824,7.747423858006641e-08,5.423196398623986e-07
1825,6.780191341704267e-08,4.3674997396436765e-07
1826,1.8496766784892316e-08,5.064591199754886e-07
1827,2.5808365222701468e-08,4.295249294017367e-07
1828,1.4675682002973645e-08,5.94365113570916e-07
1829,9.859152783064928e-08,4.089405107876587e-07
1830,9.810625845041443e-08,6.439527768797859e-07
1831,1.5591206548037917e-08,5.581651674191335e-07
1832,3.111892987739395e-08,3.490732209954217e-07
1833,3.70676112027013e-08,4.007935405780927e-07
1834,3.267085801894609e-08,5.460700762682791e-07
1835,6.126101226300307e-08,4.968948559280761e-07
1836,5.309392392405243e-08,7.278572304869613e-07
1837,4.1051556820548285e-08,4.988807909001025e-07
1838,2.7773513266993177e-08,3.793609395508213e-07
1839,3.146163785050504e-08,4.1319619459301293e-07
1840,4.968357031343018e-08,4.554327315275941e-07
1841,4.237562123421412e-08,5.611559572571423e-07
1842,2.884553929050071e-08,5.426986700030056e-07
1843,2.9534556134080958e-08,7.27140772482926e-07
1844,3.3480223038395707e-08,5.900203525754932e-07
1845,2.3436957263811564e-08,6.344719025719314e-07
1846,5.093416177714971e-08,6.012572644209513e-07
1847,2.1033572217277197e-08,5.128955837818694e-07
1848,3.6203496367459564e-08,4.996082623165421e-07
1849,1.508294689145373e-08,5.094684514261871e-07
1850,2.5798184033476446e-08,6.062573181253583e-07
1851,2.8377531435808123e-08,6.37204525588686e-07
1852,3.6459056218518526e-08,7.43504317668453e-07
1853,2.6873692604567623e-08,6.56315290115117e-07
1854,6.182840506241405e-08,8.068867174415573e-07
1855,4.7231740296638236e-08,7.541157387436215e-07
1856,7.972871429728912e-08,8.594134079942251e-07
1857,3.3194261561675376e-08,6.609563207859992e-07
1858,2.838332058274773e-08,6.14645720986573e-07
1859,4.786642904264227e-08,6.181898495327687e-07
1860,5.767251759491998e-08,5.396499709320324e-07
1861,4.480165421982818e-08,5.715748123691355e-07
1862,3.9758280279134084e-08,5.670072713570562e-07
1863,3.945750420841776e-08,5.62394280478884e-07
1864,3.4522040670559306e-08,5.09679580318334e-07
1865,1.97687466396701e-08,5.53524891699908e-07
1866,3.941146431429843e-08,6.446937241832984e-07
1867,3.979305596146787e-08,4.037539120815836e-07
1868,3.2109181424822e-08,4.7274596148838555e-07
1869,8.839169585161955e-08,4.356099143620895e-07
1870,4.243196061182175e-08,4.415217453868081e-07
1871,1.274541272522356e-08,3.037656739479644e-07
1872,3.5679303067581714e-08,4.432699665102291e-07
1873,2.8732820567256567e-08,3.6993507990246144e-07
1874,3.4055272379873713e-08,2.9873045814809984e-07
1875,4.0622842589765895e-08,3.953575173909485e-07
1876,4.353130833578689e-08,3.2890321222112107e-07
1877,4.886004523196874e-08,3.6181174500882207e-07
1878,7.669642321239678e-08,3.436241460264e-07
1879,6.781351258311474e-08,3.409003586085646e-07
1880,6.096954163758994e-08,2.804598908667799e-07
1881,5.9266313190420306e-08,2.2521199927183488e-07
1882,6.92160078141768e-08,3.294415504839776e-07
1883,7.393626894058869e-08,2.3507941282474576e-07
1884,3.366865364284877e-08,3.1688144996877554e-07
1885,3.674012205578947e-08,2.11416851136903e-07
1886,6.19532544710033e-08,2.2264450638687094e-07
1887,3.1991731541669566e-08,1.5277684095593713e-07
1888,3.804368731152863e-08,1.9592499711507116e-07
1889,6.390439410974835e-08,2.574971258439973e-07
1890,4.7847022621727575e-08,2.4054598490863555e-07
1891,3.952016314201501e-08,1.6509230249539542e-07
1892,1.7551835096440982e-08,1.817868531261979e-07
1893,3.0176241949675386e-08,1.798257631691058e-07
1894,1.071261657159539e-08,2.098412643647407e-07
1895,1.3842813118003505e-08,1.6972492655753513e-07
1896,2.240870955461105e-08,1.6216829656912068e-07
1897,1.3984112534615178e-08,1.4450250240827245e-07
1898,1.810673611046809e-08,2.0879329376555233e-07
1899,2.7085134135518274e-08,1.8296284132190976e-07
1900,1.3496738504592543e-08,2.003746537582174e-07
1901,1.5089595351014395e-08,1.7660414464160112e-07
1902,9.329539141234022e-09,1.448533737402613e-07
1903,2.700110068865058e-08,1.9062777933953612e-07
1904,1.7198801494089366e-08,1.6822576931474487e-07
1905,2.0126959654476195e-08,2.028178283097759e-07
1906,2.36632491379396e-08,1.2140275096328423e-07
1907,3.39427645434931e-08,1.1828539570046814e-07
1908,3.290630568031361e-08,1.650226728600046e-07
1909,5.005895076237721e-08,1.3422400435558757e-07
