year,dernier_ADJ allié_NOUN,dernier_ADJ palier_NOUN
1800,0.0,6.288328968651058e-09
1801,9.524730337773235e-09,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.3596443970698147e-08,1.8128591960930862e-08
1809,9.036122072814123e-09,2.4849335034105025e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,4.5852800667489646e-08
1816,0.0,0.0
1817,7.784366928831332e-09,3.113746815941454e-09
1818,0.0,4.768470951432846e-09
1819,1.2421260464634543e-08,3.1053151161586356e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,3.4515210245444905e-08
1822,2.0051231786055723e-09,2.4061478143266868e-08
1823,0.0,0.0
1824,0.0,0.0
1825,8.805443041381977e-10,0.0
1826,1.9377566218281572e-08,2.642395191543301e-09
1827,6.452091305675367e-09,5.530363722527909e-09
1828,3.668920500743411e-09,2.7516904310687096e-09
1829,1.714635211591542e-09,0.0
1830,1.461157062010443e-08,1.0436835840010872e-09
1831,4.053713453799901e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,1.352996914505411e-08
1833,0.0,0.0
1834,1.213489042584115e-08,4.667265685043276e-09
1835,0.0,9.075705520444899e-09
1836,2.688300027031687e-09,6.720750067579218e-10
1837,5.5663127440652715e-09,2.7831563720326358e-09
1838,1.199310784016916e-08,4.418513555037862e-09
1839,3.0063343814390464e-08,1.3982950353153e-09
1840,1.0828470564661075e-08,0.0
1841,3.2102742686390684e-09,2.5682194149112547e-09
1842,1.6770663080478698e-08,0.0
1843,5.906910960362666e-09,1.7720733769266417e-09
1844,2.4698525891153622e-08,4.9397050894128824e-09
1845,2.0088821273134272e-08,2.7901139176833567e-09
1846,1.1709002656346001e-08,8.196302303531411e-09
1847,9.707802561820245e-09,3.775256551818984e-09
1848,5.63165514222419e-09,6.43617736884039e-09
1849,1.4245005175439474e-08,1.3407063903514427e-08
1850,2.0366988096043315e-09,3.394498016007219e-09
1851,2.579775504329973e-09,7.094382858952031e-09
1852,1.3021090872200602e-08,4.557382027314816e-09
1853,2.388772735173461e-08,8.360704129017904e-09
1854,2.234135720868835e-08,1.2469595134234623e-08
1855,3.714855978387277e-09,1.2736649068756378e-08
1856,8.28350277259915e-09,6.73034605824796e-09
1857,5.857811125054013e-09,2.0990489346672803e-08
1858,1.0276719919488642e-08,1.1744822003834088e-08
1859,2.7497735644033128e-08,5.601390462572908e-09
1860,1.0069804545764782e-08,9.15436793036406e-09
1861,1.4147891747029462e-09,7.073945429425521e-09
1862,1.3553959066214816e-09,2.710791813242963e-09
1863,7.491931519609807e-09,1.6981710260211003e-08
1864,1.8699438442126848e-08,4.315255264231155e-09
1865,1.1767110841276462e-08,1.882737743486018e-09
1866,6.811858188626729e-09,4.379051787850585e-09
1867,0.0,1.552899675516528e-08
1868,2.4699371437009177e-09,2.9639244392143382e-09
1869,0.0,6.8369265804335555e-09
1870,3.4404292748035914e-09,3.4404292748035914e-09
1871,9.559059321873065e-09,1.3807530230280918e-08
1872,1.8142017887967654e-09,1.6327815544059376e-08
1873,7.183205141814142e-09,4.788803575905831e-09
