year,dernier_ADJ art_NOUN,dernier_ADJ part_NOUN
1800,7.231578535993322e-08,2.5153315874604232e-08
1801,4.524246932646747e-08,7.143547975374531e-09
1802,4.699464284385613e-08,0.0
1803,4.290746247193056e-08,1.950339223455444e-09
1804,6.673997243744623e-08,2.4718509461507665e-09
1805,6.538618890772341e-08,0.0
1806,1.123850950079941e-07,0.0
1807,6.832692633906845e-08,0.0
1808,7.024829162816104e-08,0.0
1809,9.262025457701384e-08,0.0
1810,8.658468830802235e-08,0.0
1811,1.178326058948187e-07,2.5070767684098882e-09
1812,2.9339290108509886e-08,0.0
1813,1.0927818472339368e-07,0.0
1814,2.8320094713762956e-08,9.440030979135372e-09
1815,3.5063905334808965e-08,2.697223555614414e-09
1816,3.0128852301913867e-08,0.0
1817,2.023935474770866e-08,4.670620334934483e-09
1818,5.841376804482934e-08,2.1458118837358597e-08
1819,3.8298885840504227e-08,3.1053151161586356e-09
1820,4.390598107306687e-08,0.0
1821,3.254291136567389e-08,0.0
1822,6.717162648328667e-08,0.0
1823,4.15072847204101e-08,6.917880934764753e-09
1824,5.894779064874456e-08,0.0
1825,5.987701134912982e-08,4.4027217427355936e-09
1826,4.4039921931471326e-08,1.4092774947016551e-08
1827,4.792982133405843e-08,5.530363722527909e-09
1828,4.494427674472945e-08,5.503380862137419e-09
1829,4.8009784592295546e-08,1.3717081692732336e-08
1830,5.114049561605327e-08,4.174734336004349e-09
1831,9.666548095310645e-08,1.5591206103948707e-09
1832,4.329590197471589e-08,2.705993873419743e-09
1833,2.895907214028881e-08,1.1583628500844156e-09
1834,3.827157613045529e-08,9.334530925997342e-10
1835,2.7227116561334697e-08,1.5126175867408165e-09
1836,4.166865003041309e-08,6.720750067579218e-10
1837,3.7572609690172953e-08,7.653680356156656e-09
1838,5.112851297894849e-08,1.8936485712828244e-09
1839,4.055055669027752e-08,3.4957374772659477e-09
1840,4.522478957991183e-08,0.0
1841,4.044945534076305e-08,8.346713542550788e-09
1842,2.0795621225033756e-08,2.683306021822318e-09
1843,5.2571508035725856e-08,2.953455480181333e-09
1844,1.920996517412732e-08,5.488561272137815e-10
1845,4.0177642546268544e-08,5.022205318283568e-09
1846,5.0348710534109387e-08,5.854501328173001e-10
1847,4.260646768727838e-08,5.393223645455691e-10
1848,1.850401076808339e-08,8.045221711050488e-10
1849,3.1841775438579134e-08,2.513824481908955e-09
1850,2.3761487000228954e-08,2.0366988096043315e-09
1851,2.7732586449502605e-08,3.2247193804124663e-09
1852,3.255272873481374e-08,6.510545436100301e-10
1853,2.7470885788360988e-08,2.388772735173461e-09
1854,5.4034910601519215e-08,4.676098175337984e-09
1855,2.3350523292720027e-08,1.5920811335945473e-09
1856,3.831120043429337e-08,1.0354378465748937e-09
1857,5.2232147496056314e-08,2.4407544874094356e-09
1858,2.2510910357986802e-08,3.4255731584664773e-09
1859,3.9718952349332426e-08,2.036869339860914e-09
1860,2.6089947979812678e-08,9.154367819341758e-10
1861,2.5466203645851948e-08,0.0
1862,2.394532752636458e-08,1.0843167252971853e-08
1863,4.79483587279006e-08,2.9967726078439227e-09
1864,1.5343129544653777e-08,1.9178911792039344e-09
1865,3.435996337453062e-08,4.706844358715045e-10
1866,3.600553633020809e-08,2.432806400776144e-09
1867,1.747012134956094e-08,1.455843445796745e-09
1868,1.0373735426227881e-08,1.4819622196071691e-09
1869,5.469541375369147e-08,5.371870948067681e-09
1870,3.7271317587794783e-08,5.160643912205387e-09
1871,1.6993883855676017e-08,5.3105884134652115e-09
1872,2.9027229397904364e-08,3.0236697590169115e-09
1873,2.1549615758509333e-08,3.591602570907071e-09
1874,2.3300975704465543e-08,5.974609140757536e-10
1875,8.010137975134057e-08,5.149374260327022e-09
1876,6.348315650939185e-08,2.418405919968336e-09
1877,6.92699426707577e-08,4.329371083855449e-09
1878,9.602150802257015e-08,3.0195443923020093e-09
1879,7.392283463136806e-08,3.0546627449723474e-09
1880,5.904418487467922e-08,1.4119262203848848e-08
1881,3.9046041566681566e-08,1.2550513517339823e-08
1882,2.3959386696859042e-08,5.324308105514319e-09
1883,1.7062215640351042e-08,3.791603475633565e-09
1884,3.828984329601326e-08,1.3203393933736152e-09
1885,7.283568265181728e-08,3.2228177904158883e-09
1886,1.0325542587619196e-08,5.808117542471791e-09
1887,3.068594506272504e-08,1.4363633837888301e-08
1888,1.7119659911912777e-08,1.1413106904001324e-08
1889,1.1903759755682586e-08,1.0650732740202784e-08
1890,1.2453334363726754e-08,1.3108772956016423e-09
1891,2.42220359325529e-08,6.3742202627281586e-09
1892,6.080457004564721e-08,5.641661360300532e-09
1893,2.771287377356657e-08,1.847525021858587e-09
1894,2.7726773099701063e-08,1.8904617871129403e-09
1895,3.731540831886093e-08,9.629783193076946e-09
1896,2.4177819302195758e-08,1.7691087705884456e-08
1897,2.6802881913923216e-08,6.409385022720926e-09
1898,4.187182522930044e-08,2.8291773368493978e-09
1899,2.8743407654019393e-08,1.1055156790007459e-09
1900,2.5436160733249835e-08,6.22926377147337e-09
1901,1.1009815992224503e-07,7.265360757457984e-09
1902,1.3257766440233354e-08,6.874397495693074e-09
1903,4.050165181013199e-08,7.020286574288548e-09
1904,1.488771212976303e-07,2.1498500757388683e-09
1905,1.186974607492175e-08,1.0321518084666081e-09
1906,1.7490226600358483e-08,1.0288369045596824e-09
1907,1.6457098794830927e-08,5.65712765521198e-09
1908,3.0450612031884816e-08,3.929111258571538e-09
1909,1.3752458449811655e-08,4.950885035270858e-09
1910,2.2445433622841904e-08,0.0
1911,1.7025198029152477e-08,3.1922244847493175e-09
1912,3.0735585632157836e-08,2.0837684910901544e-09
1913,1.272717498057574e-08,4.242391771214216e-09
1914,2.4108277596468497e-08,2.678697486047099e-09
1915,9.424609537234119e-09,5.890381071793627e-09
1916,7.691223435912775e-09,3.2962386153911893e-09
1917,6.57985488317081e-09,4.386569774084137e-09
1918,3.2161854512935406e-08,4.594550517822427e-09
