year,dernier_ADJ or_NOUN,dernier_ADJ port_NOUN
1800,0.0,1.1633408547595536e-07
1801,2.3811825844433088e-09,2.1906879510424915e-07
1802,4.475680270843441e-09,1.6112448975036386e-07
1803,0.0,1.4237475909339992e-07
1804,0.0,8.404293083685843e-08
1805,2.842877711017877e-09,1.6772978028711805e-07
1806,2.881669125542885e-09,1.7866348400730203e-07
1807,0.0,1.508886242618246e-07
1808,4.5321479902327155e-09,1.359644414833383e-07
1809,0.0,1.6265019553429738e-07
1810,0.0,1.4508785284306214e-07
1811,5.0141535368197765e-09,4.262030586232868e-07
1812,0.0,6.668020802180763e-08
1813,1.1502966579257645e-08,2.386865673997818e-07
1814,0.0,2.8320094713762956e-08
1815,2.697223555614414e-09,7.012781111370714e-08
1816,4.6352077731626196e-09,1.5296186006708012e-07
1817,0.0,8.56280379935015e-08
1818,1.1921177378582115e-09,1.1086694939876907e-07
1819,4.140420006848444e-09,1.2835302243274782e-07
1820,2.3732962262101864e-09,1.293446416639199e-07
1821,9.861488070583846e-09,6.212737702071536e-08
1822,0.0,5.6143449000956025e-08
1823,6.917880934764753e-09,8.597937295462543e-08
1824,8.421112696055388e-10,1.2631669221718766e-07
1825,2.641632912414593e-09,1.8579484617475828e-07
1826,1.7615968683770689e-09,1.6030531924116076e-07
1827,9.217273055917019e-10,1.649891885335819e-07
1828,0.0,1.2841221064263664e-07
1829,4.286588028978855e-09,2.297611132462407e-07
1830,1.0436835840010872e-09,1.0958677876260481e-07
1831,3.1182412207897414e-09,1.559120619276655e-07
1832,1.3529969367098715e-09,1.1229874274931717e-07
1833,4.6334514003376626e-09,1.8302132787084702e-07
1834,9.334530925997342e-10,1.894909757993446e-07
1835,1.5126175867408165e-09,9.907645193152348e-08
1836,2.016224964762614e-09,1.0215540413582858e-07
1837,6.957890930081589e-10,1.3985361135837593e-07
1838,1.8936485712828244e-09,1.2624323630916479e-07
1839,4.894032734625853e-09,1.4891841715325427e-07
1840,1.9109065441114126e-09,1.363113426577911e-07
1841,6.420548537278137e-09,1.6372398192743276e-07
1842,4.024959032733477e-09,1.247737344556299e-07
1843,5.906911071384968e-10,1.4708209050695586e-07
1844,1.097712254427563e-09,1.8935536161279742e-07
1845,1.6740683839167048e-09,1.9028577469271113e-07
1846,1.2294452567118697e-08,1.3523897735012724e-07
1847,1.0786447290911383e-09,1.493922923145874e-07
1848,4.02261068899179e-09,1.263099846937621e-07
1849,2.513824481908955e-09,1.3658446107456257e-07
1850,1.425689166723032e-08,1.3102761897698656e-07
1851,6.449438760824933e-10,1.9412810559060745e-07
1852,4.557382027314816e-09,1.3021090694564919e-07
1853,6.569124799682413e-09,7.10659904257227e-08
1854,3.6369650624479277e-09,1.4651773483365105e-07
1855,1.0083180512765466e-08,1.2259025083949382e-07
1856,1.0354378465748937e-09,1.5272708253633027e-07
1857,1.4644527812635033e-09,1.366822601767126e-07
1858,1.468102750479261e-09,1.2234190194249095e-07
1859,5.092173349652285e-10,1.41053206448305e-07
1860,1.830873536112776e-09,1.1580275582900867e-07
1861,2.357981809808507e-09,1.5232562589062582e-07
1862,3.1625904395315985e-09,1.2831081619424367e-07
1863,9.989241656072068e-10,1.2836176210839767e-07
1864,1.102787416940032e-08,1.0596348687386126e-07
1865,5.177528850097701e-09,1.5767928118748387e-07
1866,1.9462452205409875e-09,1.1677470723725492e-07
1867,4.85281148598915e-10,1.499518731407079e-07
1868,4.93987406535723e-10,1.649917891199948e-07
1869,2.441759683335931e-09,1.1378599396039135e-07
1870,1.7202146374017957e-09,1.2672248317358026e-07
1871,5.3105884134652115e-09,1.2957836759142083e-07
1872,1.8142017887967654e-09,2.068190099180356e-07
1873,2.3944017879529156e-09,1.6700953153758746e-07
1874,3.5847653734322193e-09,1.7386112460826553e-07
1875,5.721527140956084e-10,9.612165285943775e-08
1876,0.0,1.1124667054218662e-07
1877,1.2369631985365004e-09,1.2493327972151747e-07
1878,4.831270938865373e-09,1.8056874750982388e-07
1879,0.0,1.7289390541463945e-07
1880,1.9253538763308597e-09,1.6365507349291875e-07
1881,0.0,1.7500994431429717e-07
1882,1.9966155395678697e-09,2.1696556018468982e-07
1883,1.2638677882037541e-09,1.6999021568153694e-07
1884,3.300848483434038e-09,1.4985852203608374e-07
1885,6.445635691854079e-10,1.6307458849951217e-07
1886,1.2906927748801422e-09,1.664993618533117e-07
1887,2.6115699047757346e-09,1.8803302737069316e-07
1888,5.07249175996094e-09,1.0779044856690234e-07
1889,1.2530273485467092e-09,1.4535116577008012e-07
1890,2.6217545912032847e-09,1.8090106834733888e-07
1891,0.0,1.7082909664623003e-07
1892,1.2537024751679837e-09,1.585933659953298e-07
1893,1.2316833108982905e-09,1.6135051339460915e-07
1894,5.671385361338821e-09,1.512369465217489e-07
1895,7.22233739480771e-09,1.5828956634322822e-07
1896,4.1279202278587945e-09,1.7278294706102315e-07
1897,1.7480140668268973e-09,2.1209237388575275e-07
1898,1.6975064687230201e-09,1.8785738120641327e-07
1899,2.2110313580014918e-09,1.7798802787183376e-07
1900,3.114631885736685e-09,1.8895433129273442e-07
1901,5.588738916095792e-10,2.2913829411663755e-07
1902,1.9641135384773634e-09,1.9493826641792111e-07
1903,1.6200660812870638e-09,1.8684761471376987e-07
1904,1.0749250378694342e-09,2.3594604670051922e-07
1905,5.676834835544042e-09,1.4450125718212803e-07
1906,2.0576737536082135e-09,2.1348365919493517e-07
1907,3.5999904168804164e-09,2.1908512337631691e-07
1908,4.911389073214423e-10,2.4998971070999687e-07
