year,dernier_ADJ artisan_NOUN,dernier_ADJ partisan_NOUN
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,7.143547975374531e-08
1802,0.0,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,2.562259560079383e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,9.036122072814123e-09,0.0
1810,2.106114038724627e-08,0.0
1811,3.008491944456182e-08,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,1.1502966579257645e-08
1814,9.440030979135372e-09,0.0
1815,3.236668177919455e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,9.341240669868967e-09,4.670620334934483e-09
1818,0.0,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,4.746592452420373e-09
1821,1.97229765852569e-09,1.7750679148775816e-08
1822,2.8071724500478012e-08,9.023054303725075e-09
1823,2.075364236020505e-08,1.3835761869529506e-08
1824,1.6842225392110777e-09,2.5263338088166165e-09
1825,1.2327619813845558e-08,3.522177216552791e-09
1826,4.403992281964975e-09,6.1655889282974385e-09
1827,8.295545583791863e-09,1.8434546111834038e-09
1828,8.255071293206129e-09,1.1923991571904935e-08
1829,2.3147574523818548e-08,0.0
1830,1.1480519646056564e-08,1.0436835840010872e-09
1831,2.8064171431196883e-08,3.1182412207897414e-09
1832,0.0,1.3529969367098715e-09
1833,3.4750886612755494e-09,0.0
1834,2.14694217959277e-08,5.600718555598405e-09
1835,1.5126175867408165e-09,1.5126175867408165e-09
1836,6.048674894287842e-09,6.720750067579218e-10
1837,1.1828414692161004e-08,1.2524203896191466e-08
1838,6.312161904276081e-09,6.312161904276081e-10
1839,2.7965900706306e-09,7.690622361167243e-09
1840,3.1848443882154243e-09,1.0191501864653674e-08
1841,6.420548537278137e-09,4.494383976094696e-09
1842,1.2745703159566801e-08,0.0
1843,1.2404512972352677e-08,4.7255288571079745e-09
1844,3.2931368743049916e-09,5.488561161115513e-09
1845,2.17628883802945e-08,2.7901139176833567e-09
1846,2.9272506640865004e-09,0.0
1847,4.314578916364553e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,7.24069959545659e-09
1849,8.379414939696517e-10,8.379414939696517e-10
1850,6.788996032014438e-10,1.6293590476834652e-08
1851,1.4188765717904062e-08,3.2247193804124663e-09
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,6.569124799682413e-09,7.166318205520383e-09
1854,1.4028294081924741e-08,6.234797567117312e-09
1855,8.491099379170919e-09,0.0
1856,2.0708757375587084e-08,2.5885946719483854e-09
1857,1.4644527368545823e-08,4.393358121745905e-09
1858,4.404308473482388e-09,4.893676019968041e-10
1859,6.619825576592575e-09,8.656694916453489e-09
1860,7.323494255473406e-09,1.373155145145688e-09
1861,4.715963730639317e-10,6.13075279431996e-09
1862,1.2650361647104091e-08,5.873382225018986e-09
1863,2.9967726078439227e-09,2.4973103585068657e-09
1864,6.233146443435089e-09,9.109982990196386e-09
1865,2.3534221238463715e-09,3.765475486972036e-09
1866,1.2650593461671633e-08,3.8924903300596725e-09
1867,1.261730986357179e-08,4.367530337390235e-09
1868,3.951899252285784e-09,1.3831646938911035e-08
1869,6.348574999037737e-09,1.3185501579471293e-08
1870,1.7202146374017957e-09,3.4404292748035914e-09
1871,1.0621177271019633e-09,2.1242354542039266e-09
1872,7.861540751719076e-09,6.047339295989218e-10
1873,5.9860045809045914e-09,1.1972008939764578e-09
1874,1.7923826867161097e-09,4.182226565063729e-09
1875,3.432916173551348e-09,1.716458086775674e-09
1876,6.04601479992084e-10,1.269663130187837e-08
1877,3.710889595609501e-09,1.2369631985365004e-09
1878,4.831270938865373e-09,7.850815109122777e-09
1879,4.27652757650776e-09,6.10932526790009e-10
1880,2.4387816210946767e-08,3.2089231272180996e-09
1881,1.324776466304911e-08,4.8807553554297556e-09
1882,1.1979693681496428e-08,2.6621540527571597e-09
1883,3.159669414998234e-09,6.319338829996468e-09
1884,1.1222884843675729e-08,1.9805090900604227e-09
1885,0.0,4.511945039809007e-09
1886,4.5174246565693466e-09,3.2267319927115068e-09
1887,1.3057849246322917e-09,6.528924512139156e-09
