year,dernier_ADJ hommage_NOUN,dernier_ADJ dommage_NOUN
1800,1.320549074534938e-07,0.0
1801,1.166779455274991e-07,0.0
1802,1.9469209178168967e-07,0.0
1803,1.5407680109547073e-07,1.950339223455444e-09
1804,2.3729768372504623e-07,0.0
1805,2.1890159018767008e-07,0.0
1806,1.671368039524168e-07,0.0
1807,1.679703558465917e-07,0.0
1808,9.290903335568146e-08,0.0
1809,1.3780086760561971e-07,0.0
1810,1.6848912309797015e-07,0.0
1811,1.1532553401139012e-07,0.0
1812,1.8670458246106136e-07,0.0
1813,2.6169249167651287e-07,0.0
1814,2.454408161156607e-07,0.0
1815,1.9689731800554e-07,0.0
1816,1.7845549393769033e-07,0.0
1817,1.2454987086130132e-07,0.0
1818,1.5974377731708955e-07,0.0
1819,2.1633694302636286e-07,0.0
1820,2.456361585245759e-07,0.0
1821,1.962436186886407e-07,0.0
1822,2.2357123441452131e-07,1.0025615893027862e-09
1823,1.9765374226210497e-07,0.0
1824,1.3894836570216285e-07,0.0
1825,3.169959370552533e-07,0.0
1826,1.9994124045297212e-07,8.807984341885344e-10
1827,1.6314572803821648e-07,9.217273055917019e-10
1828,2.4306598334078444e-07,0.0
1829,2.220452586243482e-07,0.0
1830,1.6177095574221312e-07,3.1310507520032616e-09
1831,2.1515864090382308e-07,0.0
1832,3.5854418456438e-07,0.0
1833,2.664234557414602e-07,0.0
1834,1.7642263006045766e-07,3.733812370398937e-09
1835,1.8983350713597247e-07,1.1344631900556124e-08
1836,1.586097084782523e-07,0.0
1837,2.1639040426180145e-07,2.0873671680021744e-09
1838,2.3102512458628155e-07,0.0
1839,2.0275278700410126e-07,0.0
1840,2.465069428581046e-07,0.0
1841,2.8635646165398043e-07,0.0
1842,2.42839195419009e-07,2.0124795163667386e-09
1843,2.445461246836089e-07,0.0
1844,2.5302268857885224e-07,6.037417232818143e-09
1845,2.7677930880543045e-07,0.0
1846,2.412054538325492e-07,0.0
1847,1.7581908817732028e-07,0.0
1848,1.8021295944414817e-07,8.045221711050488e-10
1849,3.427180610415803e-07,0.0
1850,3.0686262153523103e-07,0.0
1851,2.27665182706005e-07,5.8044946626978344e-09
1852,2.9362560116652503e-07,0.0
1853,2.2573902547229352e-07,1.7915795513800958e-09
1854,2.3900055889924943e-07,0.0
1855,2.3509730695536746e-07,0.0
1856,2.1330019706056191e-07,1.5531567143511893e-09
1857,2.826393767918489e-07,1.9526036343364694e-09
1858,2.6034356892523647e-07,0.0
1859,3.243714414846721e-07,5.601390462572908e-09
1860,2.448793452458631e-07,5.034902272882391e-09
1861,3.027648694531315e-07,3.772770984511453e-09
1862,2.6565758307062204e-07,1.3553959066214816e-09
1863,2.417396558485052e-07,4.495158911765884e-09
1864,3.0014997154381717e-07,4.315255264231155e-09
1865,3.134758290723738e-07,0.0
1866,3.055604858026584e-07,0.0
1867,3.0718296883947005e-07,4.85281148598915e-10
1868,2.5983738605184215e-07,3.457911734727759e-09
1869,2.7982565597994835e-07,0.0
1870,2.809683983251432e-07,5.160643912205387e-09
1871,3.1757321039549424e-07,2.1242354542039266e-09
1872,3.059953584960695e-07,0.0
1873,2.9211702035070175e-07,2.9930022904522957e-09
1874,2.933533220783602e-07,6.572069999322139e-09
1875,3.2669921290473525e-07,0.0
1876,3.458320350091526e-07,3.627608879952504e-09
1877,2.937787477730325e-07,8.658742167710898e-09
1878,3.321498853181559e-07,6.039088673581716e-10
1879,3.482315535929814e-07,6.10932526790009e-10
1880,3.876379073286529e-07,0.0
1881,3.026068211564592e-07,6.972507571312292e-10
1882,3.826846370902359e-07,6.655385131892899e-10
1883,2.9574505894247594e-07,1.2638677882037541e-09
1884,3.564916415399466e-07,1.3203393933736152e-09
1885,4.0478593499315707e-07,1.2891271383708158e-09
1886,3.6268466224731455e-07,0.0
1887,3.3558672907219034e-07,1.9586774424595887e-09
1888,3.309800860051837e-07,1.014498351992188e-08
1889,2.9508792742660717e-07,2.5060546970934183e-09
1890,4.1161547414958477e-07,0.0
1891,3.684299088035914e-07,0.0
1892,3.7736444369329547e-07,0.0
1893,3.6088320609639624e-07,0.0
1894,3.339815748404362e-07,4.411077725308132e-09
1895,4.0023787262200017e-07,1.2639090662958097e-08
1896,3.0428668651438784e-07,4.1279202278587945e-09
1897,2.633674661689511e-07,5.826713556089658e-10
1898,3.321454224991527e-07,2.8291773368493978e-09
1899,3.106499022464959e-07,5.527578395003729e-10
1900,3.368993573005241e-07,5.191053142894475e-10
