year,léger_ADJ essai_NOUN
1800,4.087413785214267e-08
1801,5.9529565277216534e-08
1802,1.2308120744819462e-07
1803,2.7304748684287006e-08
1804,4.943701981119375e-08
1805,1.1655798459742073e-07
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,1.5862518409903714e-08
1809,2.9367397402779716e-08
1810,2.106114038724627e-08
1811,2.2563691359778204e-08
1812,3.467370746079723e-08
1813,2.300593315851529e-08
1814,9.440030979135372e-09
1815,2.966945977789237e-08
1816,5.0987285504788815e-08
1817,1.71256075987003e-08
1818,8.344824387052086e-09
1819,3.1053151161586356e-09
1820,7.119888678630559e-09
1821,6.804427243878308e-08
1822,2.4061478143266868e-08
1823,8.894418535021487e-09
1824,2.6947560627377243e-08
1825,1.6730341556581152e-08
1826,1.3211976401805714e-08
1827,7.373818444733615e-09
1828,1.559291185060374e-08
1829,4.2865881511033876e-08
1830,7.305785310052215e-09
1831,2.8064171431196883e-08
1832,2.0294953273491956e-08
1833,4.6334514003376626e-09
1834,5.600718555598405e-09
1835,6.050470346963266e-09
1836,4.704525213838906e-09
1837,5.5663127440652715e-09
1838,1.2624323808552163e-08
1839,1.0487212875887053e-08
1840,1.1465439264668476e-08
1841,2.5682194149112547e-09
1842,6.708265054555795e-09
1843,6.497602011990011e-09
1844,4.9397050894128824e-09
1845,2.287893430263921e-08
1846,1.7563503984519002e-09
1847,5.9325460100012606e-09
1848,2.413566457803995e-09
1849,0.0
1850,4.073397619208663e-09
1851,9.029214709244116e-09
1852,3.2552727180501506e-09
1853,1.3138249599364826e-08
1854,1.2989160858012383e-08
1855,1.3798036491152743e-08
1856,8.28350277259915e-09
1857,7.322263684272912e-09
1858,2.936205500958522e-09
1859,7.129042689513199e-09
1860,3.661747127736703e-09
1861,8.488735048217677e-09
1862,4.517986262886353e-10
1863,9.989241656072068e-10
1864,8.151037178549814e-09
1865,1.4120533631256649e-09
1866,6.811858188626729e-09
1867,9.7056229719783e-10
1868,3.457911734727759e-09
1869,3.4184632902167778e-09
1870,0.0
1871,1.0621177271019633e-09
1872,1.3908880269752899e-08
1873,1.7359413462259e-08
1874,2.9873046258899194e-09
1875,0.0
1876,7.859819461941697e-09
1877,6.184815992682502e-10
1878,7.2469061862534545e-09
1879,3.0546627449723474e-09
1880,2.5671385017744797e-09
1881,5.5780060570498335e-09
1882,1.3310770263785798e-09
1883,0.0
1884,3.9610181801208455e-09
1885,5.156508553483263e-09
1886,1.936039106809062e-09
1887,3.264462256069578e-09
1888,1.9021844099853524e-09
1889,0.0
1890,1.9663159989136147e-09
1891,1.2748440081367107e-09
1892,2.5074049503359674e-09
1893,1.847525021858587e-09
1894,3.150769645188234e-09
1895,0.0
1896,3.5382172747233653e-09
1897,0.0
1898,6.224190496340043e-09
