year,dernier_ADJ août_NOUN,dernier_ADJ doute_NOUN
1800,4.4018303668735825e-08,0.0
1801,3.333655484993869e-08,2.3811825844433088e-09
1802,1.7902721083373763e-08,2.2378401354217203e-09
1803,2.145373079187607e-08,0.0
1804,0.0,2.4718509461507665e-09
1805,1.421438877713399e-08,0.0
1806,6.051505163640059e-08,0.0
1807,4.839823830593559e-08,5.693910232196231e-09
1808,4.078933146800523e-08,2.2660739951163578e-09
1809,5.1957702584815024e-08,6.7770917766551975e-09
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,2.2563691359778204e-08,0.0
1812,7.734903562095496e-08,0.0
1813,0.0,0.0
1814,2.5173416684509675e-08,0.0
1815,4.8550023556970245e-08,8.091670444798638e-09
1816,6.952811304472561e-08,0.0
1817,7.784366928831332e-09,0.0
1818,1.9073883805731384e-08,0.0
1819,7.24573512300708e-09,0.0
1820,8.306536791735653e-09,2.3732962262101864e-09
1821,2.6626018168052212e-08,9.86148829262845e-10
1822,4.3110148340019805e-08,0.0
1823,1.7788836181864554e-08,0.0
1824,1.51580028528997e-08,0.0
1825,4.490776106536032e-08,3.522177216552791e-09
1826,2.906634755106552e-08,0.0
1827,1.327287263985788e-07,1.6591091167583727e-08
1828,5.13648868438743e-08,9.172301140836225e-09
1829,1.3631349365939016e-07,0.0
1830,4.279102538973234e-08,3.1310507520032616e-09
1831,2.6505050598757407e-08,1.5591206103948707e-09
1832,1.7588959622116818e-08,4.058990921151917e-09
1833,1.1583628500844156e-09,8.108539617524002e-09
1834,1.5868702796240086e-08,2.8003592777992026e-09
1835,1.8151411040889798e-08,2.2689263801112247e-09
1836,4.704525213838906e-09,5.376600054063374e-09
1837,1.4611571397260548e-08,3.478945576063097e-09
1838,3.09295933309528e-08,5.680945491803868e-09
1839,6.641901340032064e-08,1.3982950353153e-09
1840,5.159447907798764e-08,3.821813088222825e-09
1841,1.733548105065097e-08,2.5682194149112547e-09
1842,3.3541325716868187e-08,3.3541325272778977e-09
1843,3.307870244384503e-08,3.5441467538532834e-09
1844,2.2503101826387706e-08,1.756339607084101e-08
1845,3.2253718595942615e-07,4.910600637231255e-08
1846,1.5807152919933287e-08,1.4636253098387897e-08
1847,4.36851115281911e-08,7.550513103637968e-09
1848,8.84974404868899e-09,2.413566457803995e-09
1849,3.267971848686102e-08,1.508294644736452e-08
1850,1.3577992064028876e-08,1.2899092460827433e-08
1851,2.579775504329973e-08,1.2253933867611977e-08
1852,2.2135854038651814e-08,2.4740073101270355e-08
1853,3.2845626662947325e-08,7.763511611358354e-09
1854,7.27393034694046e-09,5.195664343204953e-09
1855,3.343370380548549e-08,3.714855978387277e-09
1856,4.7630141608578924e-08,1.1389816201301528e-08
1857,6.492406856573041e-08,3.905207268672939e-09
1858,2.251090935878608e-08,6.361778659424999e-09
1859,2.2405561850291633e-08,1.9859475841599306e-08
1860,1.8308735194594306e-08,1.9681891672007623e-08
1861,1.2733101684148096e-08,8.488735048217677e-09
1862,3.6143891879447665e-08,9.939570055905733e-09
1863,7.242200050772141e-08,1.2986014041871385e-08
1864,2.3973639073915365e-08,2.0617330065419992e-08
1865,2.4946274379544775e-08,2.2122168985561075e-08
1866,2.3841504159793914e-08,1.6543083347642096e-08
1867,3.1543274658929477e-08,1.6984840200962026e-08
1868,5.0386716576866775e-08,2.7169306804353255e-08
1869,1.1720445725060813e-08,2.0999133099053324e-08
1870,2.6376625328339287e-08,3.383088653663435e-08
1871,1.2745412503178954e-08,4.248470908407853e-09
1872,1.5723081503438152e-08,1.7537283625301825e-08
1873,6.345164454968355e-08,1.2570609442263958e-08
1874,6.811054209521217e-08,1.1351757756017378e-08
1875,3.4329164178004135e-08,1.3159512590732447e-08
1876,3.869449538562719e-08,2.418405919968336e-09
1877,2.1028373708986692e-08,1.608052180301911e-08
1878,1.0266450800600069e-08,6.6429977074733415e-09
1879,2.016077393918181e-08,1.1607718342077078e-08
1880,1.2835692508872398e-08,1.0910338410496934e-08
1881,3.9743294599769996e-08,1.324776466304911e-08
1882,3.9266770945900475e-08,5.324308105514319e-09
1883,4.044376922252013e-08,7.58320695126713e-09
1884,2.178559910248623e-08,8.582206056928499e-09
1885,3.738468784542093e-08,1.6758653131887513e-08
1886,2.6459201052375647e-08,1.613365974151293e-08
1887,4.37437961964271e-08,1.697520346510828e-08
1888,1.5851536971922542e-08,1.3315291091942072e-08
1889,5.32536629238578e-08,1.1903759755682586e-08
1890,2.1629475543960552e-08,1.5075089621063853e-08
1891,2.2309770031370135e-08,1.3385862196457765e-08
1892,2.382034702819169e-08,1.817868522380195e-08
1893,6.096832549928877e-08,8.621783287310336e-09
1894,2.3945848859341368e-08,1.449354058991048e-08
1895,9.629783193076946e-09,1.023164486468886e-08
1896,1.47425724961181e-08,3.125425251937486e-08
1897,1.8645483379486905e-08,1.1070755867592652e-08
1898,9.619203211741478e-09,1.4711722506888236e-08
1899,2.9296165493519766e-08,1.7688250864011934e-08
1900,2.076421168339948e-08,2.2321527737290126e-08
1901,2.459045056468767e-08,1.0618603774048552e-08
1902,3.437198747846537e-09,1.8659077838378835e-08
1903,1.5660639007819555e-08,1.1880484152015924e-08
1904,2.2573424907079698e-08,1.0211787859759625e-08
1905,1.8578732330354342e-08,7.741138396966107e-09
1906,9.773950260250075e-09,5.658602919567102e-09
1907,6.1714118260169926e-09,8.228549397415463e-09
1908,7.367083831866239e-09,7.858222517143076e-09
1909,1.0451868703853506e-08,7.151278680339601e-09
1910,1.2291546225284833e-08,1.336037680488289e-08
1911,1.3300935464144459e-08,5.852411444351446e-09
1912,8.335073964360618e-09,1.3544495303108306e-08
1913,1.9090762359841307e-08,8.484783542428431e-09
1914,8.705766774141921e-09,1.0045115850232378e-08
