year,léger_ADJ doute_NOUN
1800,2.703981465401739e-07
1801,9.762848662830947e-08
1802,2.3273537408385891e-07
1803,1.326230716358623e-07
1804,2.546006498960196e-07
1805,1.3645812657614442e-07
1806,1.7578182109900808e-07
1807,1.9643989901396708e-07
1808,1.2010191596800723e-07
1809,2.0331275152329908e-07
1810,3.556992567155248e-07
1811,1.2284675676710322e-07
1812,2.90725694185312e-07
1813,1.4953856464217097e-07
1814,2.391474538399052e-07
1815,2.8051124445482856e-07
1816,2.155371561229913e-07
1817,8.718490818182545e-08
1818,1.0848271614349869e-07
1819,1.3249344021915022e-07
1820,1.7206397728841694e-07
1821,9.2697987952306e-08
1822,1.7143803177077643e-07
1823,1.4132241688002978e-07
1824,1.1705346736334832e-07
1825,2.1837499275534356e-07
1826,2.0082204343907506e-07
1827,2.949527413420583e-07
1828,4.2742922801153327e-07
1829,2.709123521071888e-07
1830,2.6196457270089013e-07
1831,2.05803914354874e-07
1832,2.1512651926514081e-07
1833,1.5174553880115127e-07
1834,2.2402873867122253e-07
1835,1.5428699384756328e-07
1836,1.6062593033439043e-07
1837,2.0386620747103734e-07
1838,1.2119350856210076e-07
1839,1.5940563002914132e-07
1840,1.8790581179928267e-07
1841,1.8105946253399452e-07
1842,1.4221521382751234e-07
1843,2.5872270725812996e-07
1844,1.844156543029385e-07
1845,2.1037459418948856e-07
1846,1.814895398410954e-07
1847,2.0602114148005057e-07
1848,1.761903547503607e-07
1849,1.61722709890455e-07
1850,2.0842217907102167e-07
1851,1.7864945789369813e-07
1852,1.966184726143183e-07
1853,1.6124215562740574e-07
1854,1.2001984828202694e-07
1855,1.719447624282111e-07
1856,1.4289042837845045e-07
1857,1.4986233054514742e-07
1858,1.507252278543092e-07
1859,1.3443337820717716e-07
1860,1.3228061845893535e-07
1861,1.3770613804808818e-07
1862,1.4638276013556606e-07
1863,1.238665987557397e-07
1864,1.3185501757106977e-07
1865,1.2426069417870167e-07
1866,1.5132056319089315e-07
1867,1.3296703116338904e-07
1868,1.60051925490734e-07
1869,1.3234337359335768e-07
1870,1.2500225921030506e-07
1871,1.1470871186247678e-07
1872,7.075387031818536e-08
1873,8.500126114086015e-08
1874,8.603436896237326e-08
1875,6.980263123068653e-08
1876,7.497058618355368e-08
1877,5.813727099734933e-08
1878,1.1595049898005527e-07
1879,8.003215867802282e-08
1880,6.096954052736692e-08
1881,9.831235558976914e-08
1882,8.452339272935205e-08
1883,6.5721124542506e-08
1884,1.1024833668216161e-07
1885,7.02574283195645e-08
1886,6.582533274013258e-08
1887,1.0903303859777225e-07
1888,9.067078821090035e-08
1889,4.761503902273034e-08
1890,7.340912588915671e-08
1891,5.354344878583106e-08
1892,8.023695841075096e-08
1893,9.791882149556841e-08
1894,9.389293609274318e-08
1895,5.476939080040211e-08
1896,8.668632744956994e-08
1897,9.555810009942434e-08
1898,8.827033326497258e-08
1899,6.30143972557562e-08
1900,7.890400866017444e-08
1901,7.377135347041985e-08
1902,4.370152595356558e-08
1903,5.724233531623213e-08
1904,6.987012568515638e-08
1905,6.5541641447453e-08
1906,6.790323681116206e-08
1907,8.537119811080629e-08
1908,5.942780845202833e-08
1909,4.8408654862441836e-08
1910,6.252655992966538e-08
1911,6.544060227042792e-08
1912,5.261515312326992e-08
1913,6.151468312509678e-08
1914,7.835190274363413e-08
1915,8.010918151057922e-08
1916,4.504859418830165e-08
1917,8.005489604556715e-08
1918,4.5945505178224266e-08
1919,5.893022958503025e-08
1920,6.057785384427916e-08
1921,5.073740894090406e-08
1922,4.0578644444622114e-08
1923,8.705077192416866e-08
1924,6.187979550986711e-08
1925,4.179307566687385e-08
1926,6.13037585139864e-08
1927,6.912519268098549e-08
1928,5.141718517620575e-08
1929,5.013182757807044e-08
1930,5.7769820926978355e-08
1931,5.018356930008849e-08
1932,8.658033578967661e-08
1933,3.670611903316967e-08
1934,6.11060571031885e-08
1935,5.38572777486479e-08
1936,8.244806082302603e-08
1937,4.658713592675667e-08
1938,6.612259539906518e-08
1939,6.882322622914216e-08
1940,1.0903866609623947e-07
1941,7.67390702094417e-08
1942,6.068423630267716e-08
1943,8.129058670647282e-08
1944,6.7476911169706e-08
1945,5.664110602765504e-08
1946,5.8468636154884734e-08
1947,5.9604353452868963e-08
1948,8.045196864259196e-08
1949,6.773736060949886e-08
1950,7.338399399259288e-08
1951,4.797630737130021e-08
1952,6.010538555756284e-08
1953,8.403585383121026e-08
1954,5.961246785091134e-08
