year,premier_ADJ hommage_NOUN,premier_ADJ dommage_NOUN
1800,2.6096566330124915e-07,0.0
1801,2.5954889792956237e-07,0.0
1802,2.506380951672327e-07,0.0
1803,2.2038832980797451e-07,0.0
1804,3.1392505661642645e-07,0.0
1805,2.75759134638065e-07,0.0
1806,2.3341519295172475e-07,0.0
1807,1.3095993267597805e-07,2.8469551160981155e-09
1808,1.6315732409566408e-07,9.064295980465431e-09
1809,2.191259653727684e-07,0.0
1810,2.620942041176022e-07,2.3401267590372754e-09
1811,1.1281845502253418e-07,0.0
1812,5.867858021701977e-08,8.00162425207418e-09
1813,2.444380413635372e-07,0.0
1814,2.234140765722259e-07,0.0
1815,1.6183341244868643e-07,0.0
1816,1.321034233114915e-07,0.0
1817,2.459860013459547e-07,0.0
1818,1.6093589749743842e-07,1.668964877410417e-08
1819,2.5463583597229444e-07,1.035105001712111e-09
1820,2.468228217367141e-07,1.1866481131050932e-09
1821,2.4949565613496816e-07,0.0
1822,2.7971469762633205e-07,3.0076847679083585e-09
1823,1.4329896202980308e-07,2.668325471688604e-08
1824,1.7852758560366055e-07,0.0
1825,1.893170207267758e-07,3.169959583715354e-08
1826,2.4045797886174114e-07,2.1139161532346407e-08
1827,2.1107555880917062e-07,2.7651818612639545e-09
1828,1.5868080538439244e-07,1.0089530988466322e-08
1829,1.4917326041086199e-07,1.714635211591542e-09
1830,2.421346039227501e-07,5.218417697960831e-09
1831,7.327867024287116e-08,3.1182412207897414e-09
1832,1.826545883432118e-07,0.0
1833,1.5406226339109708e-07,5.791814139399776e-09
1834,1.6148737813637126e-07,1.8669061851994684e-09
1835,1.1420262779893164e-07,8.31939672707449e-09
1836,1.1761312634916976e-07,1.3441500135158435e-09
1837,6.54041727443655e-08,2.7831563720326358e-09
1838,1.009945904684173e-07,9.468243078458727e-09
1839,1.307405881334489e-07,2.7965900706306e-09
1840,1.1911318154034234e-07,9.554533164646273e-09
1841,1.5024083666048682e-07,0.0
1842,1.3684861244200874e-07,6.708265054555795e-10
1843,1.1931960841593536e-07,2.3627644285539873e-09
1844,1.3227432305029652e-07,1.2623690537338916e-08
1845,1.1439467328955288e-07,7.254296274794569e-09
1846,1.510461373754879e-07,4.0981511517657054e-09
1847,1.2350481881640007e-07,1.0786447290911383e-09
1848,1.0217431878345451e-07,1.528592186161859e-08
1849,6.871120206142223e-08,5.02764896381791e-09
1850,7.603675555856171e-08,1.3577992064028876e-09
1851,9.480675089434953e-08,6.449438760824933e-10
1852,8.268392548416159e-08,4.557382027314816e-09
1853,8.83845885368828e-08,8.957897534855874e-09
1854,1.0858938992441836e-07,1.2989160858012383e-08
1855,1.4487937960439012e-07,6.368324534378189e-09
1856,1.1959306789322e-07,4.659470143053568e-09
1857,1.332652033170234e-07,3.905207268672939e-09
1858,8.319248934185453e-08,2.4468380654951716e-09
1859,1.1100937769015218e-07,2.5460866748261424e-09
1860,1.0985241516436872e-07,2.746310290291376e-09
1861,9.573406600793533e-08,8.488735048217677e-09
