year,premier_ADJ art_NOUN,premier_ADJ dard_NOUN
1800,1.5091990102078512e-07,0.0
1801,5.000483449535409e-08,0.0
1802,7.161088433349505e-08,8.951360541686881e-09
1803,1.2482170674843474e-07,1.950339223455444e-09
1804,1.0134588990240445e-07,0.0
1805,8.528633421711618e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,6.832692145408714e-08,0.0
1808,4.305540546312159e-08,0.0
1809,6.099382443558454e-08,0.0
1810,5.3822916346035754e-08,0.0
1811,3.259199621297171e-08,0.0
1812,2.9339290108509886e-08,1.8670457180292033e-08
1813,7.189353801173581e-08,0.0
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,4.315557688983063e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,5.60474440192138e-08,0.0
1818,4.4108355412575406e-08,0.0
1819,6.935203400448842e-08,1.5526575580793178e-08
1820,6.289235354728362e-08,0.0
1821,6.508582273134778e-08,2.9584463767662328e-09
1822,4.912551787583652e-08,4.010246357211145e-09
1823,3.261286796174545e-08,3.9530747564242574e-09
1824,5.9789897477458e-08,1.2631669044083083e-08
1825,5.811592274085342e-08,0.0
1826,4.580151724553616e-08,2.642395191543301e-09
1827,3.0417001140037314e-08,2.7651818612639545e-09
1828,3.118582486694166e-08,6.420610709767516e-09
1829,4.2865879235076676e-08,0.0
1830,2.609209004411639e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,6.223786208625626e-08,0.0
1833,3.243415902520752e-08,2.3167257001688313e-09
1834,5.8807543945604834e-08,1.213489042584115e-08
1835,3.1764969321557146e-08,8.31939672707449e-09
1836,3.965242673098501e-08,7.392825018825988e-09
1837,2.0177884252348122e-08,4.87052354003481e-09
1838,2.4617431870765927e-08,3.1560809521380406e-09
1839,5.313521023175838e-08,3.4957374772659477e-09
1840,3.567025785855549e-08,6.369688665408546e-10
1841,2.7608359598474408e-08,2.5682194149112547e-09
1842,2.683306021822318e-08,2.0124795163667386e-09
1843,2.7171791094904307e-08,3.5441467538532834e-09
1844,4.116421076227894e-08,4.9397050894128824e-09
1845,3.236532108985557e-08,5.580227946389016e-10
1846,4.7421458981844467e-08,0.0
1847,5.447156059545932e-08,5.393223645455691e-10
1848,2.976732055293141e-08,8.045221711050488e-10
1849,3.016589378290746e-08,0.0
1850,4.480737292311687e-08,2.7155984128057753e-09
1851,3.611685728266423e-08,0.0
1852,1.3672145193766028e-08,6.510545436100301e-09
1853,2.7470886232450198e-08,1.1943863675867306e-09
1854,2.909572138776184e-08,0.0
1855,4.4578271740647324e-08,2.653468555990912e-09
1856,2.3815070804289462e-08,0.0
