year,léger_ADJ dépit_NOUN
1800,0.0
1801,0.0
1802,1.3427040812530322e-08
1803,5.851017448321727e-09
1804,1.4831105232815389e-08
1805,1.9900143755080535e-08
1806,0.0
1807,2.8469551160981155e-09
1808,3.6257183921861724e-08
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,2.5173417128598885e-08
1815,0.0
1816,1.1588019432906549e-08
1817,7.784366928831332e-09
1818,8.344824387052086e-09
1819,6.210630232317271e-09
1820,2.3732962262101864e-09
1821,9.86148829262845e-10
1822,6.015369535816717e-09
1823,4.941343334508019e-09
1824,4.210556348027694e-09
1825,2.1133063299316746e-08
1826,2.642395191543301e-09
1827,9.217273055917019e-10
1828,5.503380862137419e-09
1829,1.714635211591542e-09
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,1.2741991461950875e-08
1834,0.0
1835,4.5378527602224494e-09
1836,0.0
1837,1.3915781860163179e-09
1838,6.943378316748294e-09
1839,1.3982950353153e-09
1840,4.458782232319436e-09
1841,2.5682194149112547e-09
1842,7.379091560011375e-09
1843,3.5441467538532834e-09
1844,0.0
1845,3.9061593959388574e-09
1846,1.1709002656346001e-09
1847,4.853901280910122e-09
1848,4.82713291560799e-09
1849,3.3517659758786067e-09
1850,4.073397619208663e-09
1851,0.0
1852,9.114764054629632e-09
1853,2.9859659189668264e-09
1854,1.0391328908454511e-09
1855,5.306937111981824e-10
1856,1.5531567143511893e-08
1857,5.369659827891837e-09
1858,2.4468380654951716e-09
1859,1.018434669930457e-09
1860,6.865775947773045e-09
1861,1.6034276129062164e-08
1862,9.035972525772706e-10
1863,2.597202808374277e-08
1864,2.0617330065419992e-08
1865,1.2237795665726026e-08
1866,4.379051787850585e-09
1867,7.76449837758264e-09
1868,1.4819622196071691e-09
1869,4.883519366671862e-09
1870,2.2936195165357276e-09
1871,2.1242354542039266e-09
1872,1.8746751706544273e-08
1873,2.9930022904522957e-09
1874,8.364453130127458e-09
1875,1.3731664694205392e-08
1876,6.650616057868319e-09
1877,4.9478527941460015e-09
1878,1.2078177347163432e-09
1879,1.221865053580018e-09
1880,1.2835692508872398e-09
1881,5.5780060570498335e-09
1882,1.9966155395678697e-09
1883,5.0554711528150165e-09
1884,1.3203393933736152e-09
1885,8.379326565943757e-09
1886,4.5174246565693466e-09
1887,9.140494583448344e-09
1888,4.4384300679212174e-09
1889,1.2530273485467092e-09
1890,8.520702365899524e-09
1891,2.5496880162734215e-09
1892,8.775916882086676e-09
1893,5.542574843531156e-09
1894,6.9316934414587195e-09
1895,1.745398137131815e-08
1896,5.897029087265082e-09
1897,3.4960281336537946e-09
1898,7.921697076085366e-09
1899,4.4220627160029835e-09
1900,5.191053142894475e-10
1901,6.147612641171918e-09
1902,7.856454153909453e-09
1903,4.320176216765503e-09
1904,5.374625189347171e-09
1905,2.580379465655369e-09
1906,1.4918134283448126e-08
1907,7.71426478252124e-09
