year,premier_ADJ essai_NOUN,premier_ADJ décès_NOUN
1800,1.870777923684841e-06,3.144164484325529e-09
1801,1.7692186169426805e-06,4.7623651688866175e-09
1802,1.6560017286337825e-06,2.2378401354217203e-09
1803,1.7123978857114253e-06,7.801356893821776e-09
1804,1.68827420665707e-06,0.0
1805,2.0781437140016124e-06,2.842877711017877e-09
1806,1.472532909829738e-06,0.0
1807,1.3864671615237967e-06,2.8469551160981155e-09
1808,1.4888106427690673e-06,0.0
1809,1.5813213123383463e-06,1.129515236897305e-08
1810,1.8908224728164669e-06,1.8721014072298203e-08
1811,1.9279420335749364e-06,0.0
1812,2.325805587233276e-06,2.6672082320544632e-09
1813,2.737706097377668e-06,2.8757416448144113e-09
1814,1.9226196874555512e-06,0.0
1815,1.4834729018531334e-06,0.0
1816,1.7289325544567191e-06,0.0
1817,1.278193079379264e-06,0.0
1818,1.4055068235929724e-06,0.0
1819,1.7783104375723724e-06,0.0
1820,1.3978714399343062e-06,3.5599443393152796e-09
1821,2.368729442814299e-06,2.9584463767662328e-09
1822,1.5299090136977611e-06,3.0076847679083585e-09
1823,1.2580660371241947e-06,0.0
1824,1.587379767187258e-06,6.736890156844311e-09
1825,1.5656077518855227e-06,1.4969252504215547e-08
1826,1.4321783088355744e-06,3.5231937367541377e-09
1827,1.6858391944651885e-06,0.0
1828,1.5684635124024737e-06,4.586150570418113e-09
1829,1.6649108101063348e-06,1.8860987438529264e-08
1830,1.886979960730173e-06,1.0436835840010872e-09
1831,1.5263791013353512e-06,6.236482441579483e-09
1832,1.589771366106163e-06,1.3529969367098715e-09
1833,1.841796958501618e-06,1.6217079235048004e-08
1834,1.7418234339316996e-06,2.8003592777992026e-09
1835,1.7122830868743222e-06,0.0
1836,1.5390518157687438e-06,2.016225053580456e-08
1837,1.6420622630519688e-06,9.045257876039159e-09
1838,1.464421549357553e-06,6.312161904276081e-10
1839,1.8198809748071199e-06,0.0
1840,1.621085736758232e-06,5.095750932326837e-09
1841,1.7271275645214246e-06,1.219904177673925e-08
1842,1.61803348497358e-06,5.366612043644636e-09
1843,1.6663395907556833e-06,1.1223130869097986e-08
1844,1.6773042976758745e-06,3.2931368743049916e-09
1845,1.6439351115948853e-06,8.37034175305007e-09
1846,1.8160663302069224e-06,4.6836010625384006e-09
1847,1.599630160775689e-06,9.168480197274675e-09
1848,1.5672091322471715e-06,6.43617736884039e-09
1849,1.6809106586634925e-06,7.54147322368226e-09
1850,1.5336342498173394e-06,2.2403686017469226e-08
1851,1.6233236870277779e-06,1.805842941848823e-08
1852,1.7578472952806123e-06,6.510545436100301e-09
1853,1.759928283107115e-06,1.0152284346531815e-08
1854,1.70989316128356e-06,1.506742641765868e-08
1855,1.9481766173612414e-06,5.837630823180007e-09
1856,1.6246020031474018e-06,5.177189343896771e-09
1857,1.7304950290508714e-06,1.3668225662399891e-08
1858,1.6804883600229914e-06,9.297984604472731e-09
1859,1.8342008800686926e-06,1.2730433596175317e-08
1860,1.972308520947763e-06,1.4189270203246451e-08
1861,1.9071357506561526e-06,5.187560159214399e-09
1862,1.680690925986994e-06,4.9697850279528666e-09
1863,1.7386274864250595e-06,1.2486552236623538e-08
1864,1.929877992523643e-06,7.671564716815737e-09
1865,1.645983420672792e-06,8.47231973466478e-09
1866,1.679609541227478e-06,2.578774882522339e-08
1867,1.7887463599208786e-06,2.232293283555009e-08
1868,2.022384542499367e-06,6.174842326345242e-08
1869,1.7063015640417234e-06,9.767038733343725e-09
1870,1.7941838237334196e-06,1.0894693147633916e-08
1871,1.2851623931720013e-06,1.5931766128574054e-08
1872,1.6388289942881329e-06,9.071008832961525e-09
1873,1.859253038638542e-06,3.412022664406322e-08
1874,1.6782677096927046e-06,1.6131444624534197e-08
1875,2.0528838486910672e-06,9.326089411842986e-08
1876,1.8186412216181225e-06,2.7207066821688386e-08
1877,1.77194976469508e-06,6.184816214727107e-09
1878,1.7362379756136193e-06,1.1172313918450527e-07
1879,1.7552091087225108e-06,2.077170613290491e-08
1880,1.915727089851771e-06,1.3477476912271413e-08
1881,1.6225025598615161e-06,9.064259565150223e-09
1882,1.7550250070996753e-06,9.716862336972554e-08
1883,1.7213879353050743e-06,2.211768546089843e-08
1884,2.0339828852300457e-06,8.714239640994492e-08
1885,1.8105790742239947e-06,8.572695264774666e-08
1886,1.8786032964790422e-06,3.1621972595985426e-08
1887,1.614603089894473e-06,1.566941953967671e-08
1888,1.6713859842809597e-06,1.7119660356001987e-08
1889,1.6834421865397076e-06,1.50363277384713e-08
1890,1.828673789505686e-06,2.2284913470116408e-08
1891,1.680881881238605e-06,2.103492668936724e-08
1892,1.7025279226423606e-06,3.0715710863660206e-08
1893,1.7120397652892194e-06,4.0645549148621285e-08
1894,1.7322930982999196e-06,6.805662167153059e-08
1895,1.7189162777597744e-06,4.092657945875544e-08
1896,1.7001134424710074e-06,5.366296207398591e-08
1897,1.8179346428226495e-06,2.0976168357833558e-08
1898,1.6969406493316797e-06,2.2633418694795182e-08
1899,1.6212387876635148e-06,6.356714976618605e-08
1900,1.6938406695032882e-06,1.972600216504361e-08
1901,1.5223724718627096e-06,2.6825947685438223e-08
1902,1.4804505639176568e-06,2.3078333910575566e-08
1903,1.6978292105562787e-06,2.376096830403185e-08
1904,1.812323635164148e-06,3.0635362691100454e-08
1905,1.7577545232683178e-06,4.231822359201942e-08
1906,1.8102384808926786e-06,2.983626856689625e-08
1907,1.6148527919312983e-06,2.828563872014911e-08
1908,1.7126013158730302e-06,3.929111258571538e-08
