year,aucun_DET arrière_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,6.339671898558663e-08
1807,0.0
1808,6.798221985349073e-09
1809,2.710836710662079e-08
1810,2.3401266702194334e-08
1811,2.5070768572277302e-08
1812,1.600324850414836e-08
1813,2.0130190847567064e-08
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,3.0128852301913867e-08
1817,0.0
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,0.0
1821,3.94459531705138e-09
1822,7.017931125119503e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,7.373818444733615e-09
1828,3.668920500743411e-09
1829,2.571952872898464e-09
1830,1.0436835840010872e-09
1831,2.3386808933878456e-08
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,0.0
1837,2.0873671680021744e-09
1838,9.468243078458727e-09
1839,7.690622805256453e-09
1840,8.280594876453051e-09
1841,0.0
1842,0.0
1843,4.134837805480629e-09
1844,2.7442805805577564e-09
1845,3.9061593959388574e-09
1846,1.7563504428608212e-08
1847,7.550513103637968e-09
1848,0.0
1849,0.0
1850,8.146795238417326e-09
1851,4.514607354622058e-09
1852,5.208436570924846e-09
1853,1.1943863675867306e-09
1854,3.63696517347023e-09
1855,1.1144567935161831e-08
1856,1.0354378465748937e-09
1857,4.881509085841174e-10
1858,4.893676019968041e-10
1859,1.018434669930457e-09
1860,4.57718396518203e-09
1861,1.8863854922557266e-09
1862,9.035972525772706e-10
1863,1.9978483312144135e-09
1864,4.315255264231155e-09
1865,1.7886009118228685e-08
1866,1.4110277390955162e-08
1867,1.455843445796745e-08
1868,6.915823469455518e-09
1869,2.4417595723136287e-09
1870,1.7202146374017957e-09
1871,5.3105884134652115e-09
1872,3.628403577593531e-09
1873,7.781805422268917e-09
1874,3.5847653734322193e-09
1875,1.1443054281912168e-09
1876,3.627608879952504e-09
1877,8.040260901509555e-09
1878,5.435179861734696e-09
1879,9.774920428640144e-09
1880,5.134277003548959e-09
1881,2.7890030285249168e-09
1882,1.9966155395678697e-09
1883,1.8958017378167824e-09
1884,7.922036360241691e-09
1885,0.0
1886,1.2906927748801422e-09
1887,2.6115698492645834e-09
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,5.898947996740844e-09
1891,2.5496880162734215e-09
1892,5.641661360300532e-09
1893,1.2316833108982905e-09
1894,2.520615716150587e-09
1895,7.22233739480771e-09
1896,5.307326134129653e-09
1897,1.8645483379486905e-08
1898,6.7900258748920805e-09
1899,3.3165470370022376e-09
1900,6.748368974740515e-09
1901,2.794369458047896e-09
1902,6.874397495693074e-09
1903,3.2401321625741275e-09
1904,6.449550227216605e-09
1905,1.0321518084666081e-09
1906,3.0865106026567446e-09
1907,1.2342824096123195e-08
1908,5.893666887857307e-09
1909,1.6502950672681038e-09
1910,5.344150677544235e-09
1911,5.320374141248863e-10
1912,4.167536982180309e-09
1913,1.590896969716482e-09
1914,9.37544086809794e-09
1915,3.534228465440492e-09
1916,0.0
1917,3.289927441585405e-09
1918,1.033773866510046e-08
1919,3.6831393490643904e-09
1920,1.514446346106979e-09
1921,3.7863738810983705e-09
1922,8.853522359686394e-09
1923,9.554353752605493e-09
1924,3.867487219366694e-09
1925,1.3197813508725176e-08
1926,1.1146138456652466e-09
1927,7.804457524684949e-09
1928,3.4278122562625413e-09
1929,4.4561625500705304e-09
1930,4.201441416995522e-09
1931,3.4216069977333063e-09
1932,4.383814644626227e-09
1933,5.735331320977366e-09
1934,4.7926320689839486e-09
1935,7.180970484910176e-09
1936,1.091224310911798e-08
1937,5.036447148221157e-09
1938,0.0
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,2.3612021671226557e-08
1942,0.0
1943,2.9032352077962287e-09
1944,1.6065930807940276e-08
1945,1.089252021913012e-08
1946,1.3921104269343232e-08
1947,9.536696765621855e-09
1948,1.4133454406817236e-08
