year,un_DET ouvert_ADJ,un_DET couvert_NOUN
1800,6.288328968651058e-09,3.427139305678395e-07
1801,3.809892135109294e-08,1.738263266659601e-07
1802,2.0140561218795483e-08,1.857407312400028e-07
1803,3.315576790896557e-08,2.0478561424397412e-07
1804,7.4155526164076946e-09,3.5100283990452397e-07
1805,0.0,2.3311596830666304e-07
1806,0.0,3.285102705419263e-07
1807,2.8469551160981155e-09,1.9928686256776018e-07
1808,2.2660739951163578e-09,2.4926814745640513e-07
1809,9.036122072814123e-09,2.304211150772062e-07
1810,1.4040760554223652e-08,2.363527977777835e-07
1811,7.521229861140455e-09,2.2814399258663798e-07
1812,8.00162425207418e-09,2.2137828636914492e-07
1813,2.8757416448144113e-09,1.754202447745712e-07
1814,6.293354282149721e-09,2.926409727876944e-07
1815,5.394447111228828e-09,2.1847510378592006e-07
1816,4.4034472068688046e-08,1.6223227561340536e-07
1817,3.89218364205135e-08,2.6622534543552234e-07
1818,9.536941902865692e-09,2.2054178749897346e-07
1819,1.1386155129855524e-08,1.3663386422280155e-07
1820,2.1359666035891678e-08,1.530776057023786e-07
1821,1.97229765852569e-09,2.7513551792424096e-07
1822,4.010246357211145e-09,2.817198065940829e-07
1823,1.9765373782121287e-09,1.788766299526401e-07
1824,1.6842225392110777e-09,1.9115925553592206e-07
1825,1.937197424695114e-08,2.183749812090241e-07
1826,2.906634755106552e-08,1.5590132873555262e-07
1827,6.452091305675367e-09,2.405708297015252e-07
1828,0.0,2.0821123314362922e-07
1829,6.001223074036943e-09,1.6289034343586195e-07
1830,2.0873670791843324e-08,2.504840628247962e-07
1831,4.677361609140007e-09,1.995674354660082e-07
1832,1.2176972319366541e-08,2.678934034605618e-07
1833,6.950177322551099e-09,2.1082203272015931e-07
1834,1.5868701908061666e-08,2.1002694694516322e-07
1835,7.563087933704082e-09,2.7529639368140124e-07
1836,2.2850549896702432e-08,2.1439192998684575e-07
1837,1.530736071231331e-08,2.073451508266544e-07
1838,8.2058102535143e-09,1.3192418180096865e-07
1839,2.0974426639952526e-09,2.0065534123148154e-07
1840,7.64362617644565e-09,2.0574094339309568e-07
1841,8.346713542550788e-09,2.048154996714402e-07
1842,1.8783142152756227e-08,1.6569414995615261e-07
1843,5.906910960362666e-09,2.0437912073845155e-07
1844,9.330554107123135e-09,2.0033248304685003e-07
1845,7.812318791877715e-09,1.953079760141918e-07
1846,2.9272506640865004e-09,2.394491023238743e-07
1847,7.550513103637968e-09,1.6449332029822017e-07
1848,4.82713291560799e-09,1.1826475887488641e-07
1849,5.865590679832167e-09,1.3155682054843965e-07
1850,1.2220192857625989e-08,1.561469140654026e-07
1851,5.8044946626978344e-09,1.786494565614305e-07
1852,1.1718981340891332e-08,1.7708683941464187e-07
1853,9.555090940693844e-09,2.3828008188786498e-07
1854,3.117398783558656e-09,1.610655973038888e-07
1855,6.368324534378189e-09,1.8680417923633286e-07
1856,6.212626857404757e-09,1.780953131635954e-07
1857,1.1715622250108026e-08,2.2991908199543332e-07
1858,3.9149408159744326e-09,1.96236409344408e-07
1859,1.323965115318515e-08,2.0215928264732952e-07
1860,1.876645328025006e-08,2.4579478008490696e-07
1861,1.8863854478468056e-08,2.2165029811560544e-07
1862,1.400575744270327e-08,2.579770219668376e-07
1863,6.99246927027275e-09,2.3424771367075437e-07
