year,en_ADP ado_NOUN,en_ADP cadeau_NOUN
1800,1.5720821977538435e-08,6.60274537267469e-08
1801,1.904946067554647e-08,1.1905912700171939e-08
1802,3.3567602031325805e-08,8.503792514602537e-08
1803,2.7304748684287006e-08,1.5602713787643552e-08
1804,3.707776485839531e-08,2.4718509905596875e-08
1805,1.421438877713399e-08,5.685755422035754e-09
1806,3.1698359492793315e-08,5.76333825108577e-09
1807,1.1387820464392462e-08,1.1387820464392462e-08
1808,2.7192887941396293e-08,7.704651494577774e-08
1809,4.51806094758922e-08,3.162642769893864e-08
1810,1.6380886869171718e-08,6.552355102940055e-08
1811,7.521229861140455e-09,2.2563691359778204e-08
1812,1.3336041604361526e-08,2.400487453257938e-08
1813,0.0,1.1502966579257645e-08
1814,6.293354282149721e-09,4.72001566720337e-08
1815,8.091670666843243e-09,1.8880564667256294e-08
1816,9.270415546325239e-09,6.952811659743929e-09
1817,4.670620334934483e-09,3.7364962679475866e-08
1818,8.344824387052086e-09,4.2916237674717195e-08
1819,6.210630232317271e-09,5.900098543065724e-08
1820,4.746592452420373e-09,6.170570543417853e-08
1821,2.3667571014129862e-08,4.141825016290568e-08
1822,5.012807946513931e-09,2.8071724500478012e-08
1823,3.9530747564242574e-09,5.0401702367253165e-08
1824,5.894778887238772e-09,9.684279689281539e-08
1825,4.4027217427355936e-09,8.189061873054015e-08
1826,5.2847906051312066e-09,8.015265962058038e-08
1827,2.7651819167751057e-09,8.20337291429496e-08
1828,1.8344602503717056e-09,1.0731592681167967e-07
1829,7.715858174606183e-09,7.973054039212002e-08
1830,6.262101504006523e-09,1.5550885734683106e-07
1831,3.1182412207897414e-09,8.575163690238696e-08
1832,1.8941957335982806e-08,1.677716170433996e-07
1833,1.1583628500844156e-09,1.6448753115128056e-07
1834,1.0267983796552471e-08,1.1388127774125678e-07
1835,5.294161553592858e-09,1.701694714029145e-07
1836,1.008112526790228e-08,1.3374293067469623e-07
1837,5.5663127440652715e-09,1.3219992922586243e-07
1838,2.5248647617104325e-09,1.1425012758081721e-07
1839,4.194885327990505e-09,1.4612183463214024e-07
1840,3.821813254756279e-09,2.04467009712328e-07
1841,1.0914932513372833e-08,1.7977535238244968e-07
1842,6.037438549100216e-09,1.9588133337578029e-07
1843,7.678984614845064e-09,3.136569884931717e-07
1844,9.879410289848067e-09,1.860622234062248e-07
1845,1.0044410470033682e-08,2.2990539605416416e-07
1846,7.025401815852206e-09,1.6919508993851196e-07
1847,5.3932236454556914e-09,1.779763749709673e-07
1848,4.02261068899179e-09,2.1883002432332432e-07
1849,7.54147366777147e-09,2.689792211185704e-07
1850,2.0366988096043315e-09,1.9348638602423307e-07
1851,1.9348316282474798e-09,1.7026518150942138e-07
1852,3.906327261660181e-09,1.5495098182327638e-07
1853,4.180352064508952e-09,1.6303373229220597e-07
1854,7.273930180407007e-09,1.8028955361959476e-07
1855,7.960405667972736e-09,2.4836464618260834e-07
1856,7.248064703979651e-09,2.2779632702363273e-07
1857,1.122747050885664e-08,2.29430924036933e-07
1858,2.446837954472869e-09,2.534924073982481e-07
1859,8.656694916453489e-09,2.627561457302363e-07
1860,6.408057362516928e-09,2.7920822276428225e-07
1861,4.244367357575385e-09,2.6126440388907213e-07
1862,1.536115412648087e-08,2.6610939585225424e-07
1863,6.992469103739296e-09,2.1876439176837792e-07
1864,4.794728170054441e-09,2.2103695440645055e-07
