year,un_DET ado_NOUN,un_DET cadeau_NOUN
1800,3.144164484325529e-09,2.3895650791416756e-07
1801,0.0,1.5239568540437176e-07
1802,0.0,2.3273537408385891e-07
1803,3.900678446910888e-09,2.925508795215137e-07
1804,0.0,1.8044511373993544e-07
1805,0.0,2.3595885068061762e-07
1806,0.0,1.5272846098923765e-07
1807,0.0,3.046242036397473e-07
1808,6.798221985349073e-09,1.790198425055678e-07
1809,0.0,1.8524050915402768e-07
1810,9.360507036149102e-09,2.574139443822787e-07
1811,0.0,3.384553721730299e-07
1812,0.0,2.453831484672264e-07
1813,0.0,1.4953856464217097e-07
1814,6.293354282149721e-09,4.0906803233653477e-07
1815,0.0,1.2137506644194218e-07
1816,9.270415546325239e-09,1.367386346373678e-07
1817,0.0,2.864647005162979e-07
1818,1.1921177378582115e-09,1.6451224138513965e-07
1819,0.0,2.6705708933150163e-07
1820,0.0,3.0259527150633403e-07
1821,0.0,3.185260606386464e-07
1822,1.0025615893027862e-09,2.907428751086627e-07
1823,1.9765373782121287e-09,3.913543888955928e-07
1824,8.421112696055388e-10,3.191601614105366e-07
1825,2.641632912414593e-09,2.73849292353745e-07
1826,8.807984341885344e-10,3.4791538439105096e-07
1827,0.0,2.442577281547287e-07
1828,1.8344602503717056e-09,2.7700349392034695e-07
1829,8.57317605795771e-10,3.7807706876336056e-07
1830,1.7742621594152297e-08,5.437591257262397e-07
1831,1.5591206103948707e-09,3.196197164712089e-07
1832,5.411987746839486e-09,5.466107531049147e-07
1833,0.0,6.475248295334524e-07
1834,9.334530925997342e-10,5.862085235008863e-07
1835,2.2689263801112247e-09,5.914334693102319e-07
1836,2.016224964762614e-09,3.703133319987728e-07
1837,6.957890930081589e-10,4.5017554928250547e-07
1838,1.2624323808552163e-09,4.361703815902729e-07
1839,1.3982950353153e-09,3.5306949630609097e-07
1840,3.1848443882154243e-09,4.688090782245524e-07
1841,2.5682194149112547e-09,4.687000565439803e-07
1842,4.024959032733477e-09,4.769576360530436e-07
1843,1.1813822142769936e-09,4.796411694485414e-07
1844,0.0,4.187772320030092e-07
1845,5.022205318283568e-09,6.908321963372543e-07
1846,9.367202125076801e-09,5.198797241590114e-07
1847,2.1572894581822766e-09,4.82693526038247e-07
1848,6.43617736884039e-09,4.89953992044434e-07
1849,4.1897072478036534e-09,4.3321574594301637e-07
1850,3.394498016007219e-09,4.989912323338785e-07
1851,1.9348316282474798e-09,5.623910670493615e-07
1852,6.510545436100301e-09,5.68370612796798e-07
1853,2.9859659189668264e-09,5.165721024269487e-07
1854,1.0391328908454511e-09,5.221642522812431e-07
1855,2.1227748447927297e-09,5.789868495753581e-07
1856,2.5885946719483854e-09,6.342056568797716e-07
1857,1.9526036343364694e-09,5.804114238117108e-07
1858,1.9574704079872163e-09,5.945816505814605e-07
1859,6.61982535454797e-09,7.001738158152193e-07
1860,3.204028820036342e-09,6.36686290356181e-07
1861,2.3579818653196583e-09,6.253367708097812e-07
1862,2.2589931314431766e-09,5.362849444523476e-07
1863,1.9978483312144135e-09,5.63892679661393e-07
1864,6.712618905169165e-09,6.415345819021923e-07
1865,2.824106559717876e-09,6.791976172593195e-07
1866,3.4059290943133647e-09,6.821589391137195e-07
1867,1.94112459439566e-09,7.017165621903132e-07
1868,1.975949626142892e-09,7.301133693182749e-07
1869,2.9301114867763545e-09,6.412060669092057e-07
1870,1.1468097582678638e-09,5.137707592695051e-07
1871,5.3105884134652115e-09,6.850659497459333e-07
1872,5.442605366390296e-09,5.986865847518175e-07
1873,3.591602570907071e-09,6.261360923076609e-07
1874,9.55937473623436e-09,6.458552261889849e-07
1875,5.721527140956084e-10,6.774288117128435e-07
1876,1.813804439976252e-09,7.182665875404837e-07
1877,1.8554447978047506e-09,8.330947132151323e-07
1878,3.6234530931267273e-09,7.476392056560144e-07
1879,2.443730107160036e-09,7.881029322476252e-07
1880,1.2835692508872398e-09,7.354851909724403e-07
