year,son_DET are_NOUN,son_DET quart_NOUN
1800,1.5720821977538435e-08,6.917161821107243e-08
1801,4.7623651688866175e-09,1.5477687043130572e-07
1802,3.3567602031325805e-08,2.394488944901241e-07
1803,2.3404070459420723e-08,2.730474797374427e-07
1804,9.887403784603066e-09,1.137051413024892e-06
1805,2.842877711017877e-08,5.543611392155867e-07
1806,2.881669125542885e-09,2.247701900159882e-07
1807,2.2775641372874134e-08,1.4519471358553915e-07
1808,1.5862518409903714e-08,1.92616288696712e-07
1809,2.259030518203531e-09,1.6490922805090236e-07
1810,2.106114127542469e-08,3.9548140806644483e-07
1811,1.2535383842049441e-08,2.5321475050077424e-07
1812,1.600324850414836e-08,3.6807472270083963e-07
1813,1.1502966579257645e-08,4.5436718210112303e-07
1814,9.440030979135372e-09,3.020809913323319e-07
1815,1.3486117778072071e-08,1.5104451200897984e-07
1816,1.1588019432906549e-08,1.0429217667251578e-07
1817,9.341240336802059e-09,3.176021721174038e-07
1818,9.536942124910297e-09,1.5259107044585107e-07
1819,7.24573512300708e-09,1.2835302243274782e-07
1820,9.493184904840746e-09,1.0798498095709874e-07
1821,1.2819934447350079e-08,3.836118985800496e-07
1822,1.303330066093622e-08,2.5665576686151326e-07
1823,8.89441820195458e-09,1.9370065729162889e-07
1824,5.052667617633233e-09,2.5347548060494773e-07
1825,7.044354433105582e-09,1.7963103537965708e-07
1826,3.5231937367541377e-09,1.2859656850494616e-07
1827,1.1060728055678481e-08,5.244628447087507e-07
1828,6.420610709767516e-09,2.2196968529897276e-07
1829,1.1145128819833872e-08,1.8346597130403097e-07
1830,1.2524203008013046e-08,2.7448877948366146e-07
1831,7.795603274018958e-09,2.6193225721726776e-07
1832,1.2176972541411146e-08,2.8683535036044816e-07
1833,2.432561940768352e-08,1.424786338910522e-07
1834,1.4001796166951408e-08,2.482985315133135e-07
1835,9.832014313815307e-09,2.465566808496078e-07
1836,7.392825185359442e-09,1.4651235513696292e-07
1837,1.600314980532147e-08,1.9621252533852385e-07
1838,6.312161682231476e-09,1.9946430995787523e-07
1839,1.5381244722334486e-08,3.537686571464249e-07
