year,mon_DET are_NOUN,mon_DET quart_NOUN
1800,0.0,2.515331676278265e-08
1801,4.7623651688866175e-09,1.1905912700171939e-08
1802,0.0,6.489736392722989e-08
1803,1.950339223455444e-09,1.755305234496518e-08
1804,2.4718509461507665e-09,1.2359254952798437e-08
1805,0.0,3.9800287288116465e-08
1806,2.881669125542885e-09,8.645007376628655e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,0.0,1.1330369531492579e-08
1809,0.0,1.581321384946932e-08
1810,0.0,4.680253518074551e-09
1811,2.5070767684098882e-09,1.2535384286138651e-08
1812,0.0,1.600324939232678e-08
1813,0.0,2.8757416004054903e-08
1814,3.1466771410748606e-09,1.2586708564299443e-08
1815,0.0,5.394447111228828e-09
1816,0.0,6.952811659743929e-09
1817,0.0,1.2454987263765815e-08
1818,1.1921177378582115e-09,7.152706427149269e-09
1819,0.0,4.140420006848444e-09
1820,0.0,8.306536791735653e-09
1821,0.0,0.0
1822,0.0,1.4035862250239006e-08
1823,1.9765373782121287e-09,4.941343334508019e-09
1824,0.0,1.7684335773537896e-08
1825,8.805443041381977e-10,4.226612659863349e-08
1826,8.807984341885344e-10,8.807984341885344e-10
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,2.7516904310687096e-09
1829,1.714635211591542e-09,1.2859763920403111e-08
1830,1.0436835840010872e-09,1.3567886369969528e-08
1831,0.0,2.9623292263636358e-08
1832,2.705993873419743e-09,9.470978667991403e-09
1833,5.791814139399776e-09,5.21263281427764e-08
1834,4.667265685043276e-09,6.534171603789218e-08
1835,2.2689263801112247e-09,2.7227116561334697e-08
1836,1.3441500135158435e-09,3.36037508930076e-09
1837,0.0,2.5048407792382932e-08
1838,3.1560809521380406e-09,6.943378316748294e-09
1839,2.7965900706306e-09,5.5931801412612e-09
1840,1.2739377330817092e-09,1.3376346585936005e-08
1841,0.0,5.393260948949319e-08
1842,6.708265054555795e-10,2.1466448174578545e-08
1843,1.1813822142769936e-09,1.063243981747064e-08
1844,1.097712254427563e-09,1.4819115712327857e-08
1845,5.580227946389016e-10,1.2834524554250493e-08
1846,1.7563503984519002e-09,1.5807152919933287e-08
1847,5.393223645455691e-10,5.3932236454556914e-09
1848,8.045221711050488e-10,7.24069959545659e-09
1849,8.379414939696517e-10,2.011059585527164e-08
1850,0.0,4.0055077477063605e-08
1851,3.2247193804124663e-09,3.8696632564949596e-09
1852,6.510545436100301e-10,7.812654523320361e-09
1853,5.971931837933653e-10,2.09017620989016e-08
1854,1.0391328908454511e-09,2.0782657372819813e-08
1855,5.306937111981824e-10,1.1675261646360013e-08
1856,1.5531567143511893e-09,1.1907535402144731e-08
1857,9.763018171682347e-10,1.0251168802710708e-08
1858,9.787352039936081e-10,7.829881631948865e-09
1859,1.5276520048956854e-09,1.2730433374130712e-08
1860,1.373155145145688e-09,2.288591893773173e-08
1861,4.715963730639317e-10,2.6409397557713987e-08
1862,9.035972525772706e-10,2.9366910903050325e-08
1863,0.0,8.490855407661257e-09
1864,9.589455896019672e-10,1.2466292886870178e-08
1865,4.706844358715045e-10,8.47232023426514e-09
1866,9.731225825149181e-10,1.8002767276925624e-08
1867,9.7056229719783e-10,2.038180824115443e-08
1868,1.4819622196071691e-09,1.679557215528149e-08
1869,9.767038289254515e-10,1.025539064780645e-08
1870,2.2936195165357276e-09,1.3761716655125156e-08
1871,4.248470908407853e-09,1.911811864374613e-08
1872,0.0,5.442605477412599e-09
1873,0.0,1.5563610844537834e-08
1874,0.0,1.1351757756017378e-08
1875,5.721527140956084e-10,3.432916173551348e-08
1876,6.04601479992084e-10,3.143927740367758e-08
1877,1.2369631985365004e-09,1.2988113473610952e-08
