year,en_ADP an_NOUN,en_ADP camps_NOUN
1800,4.904896533375336e-07,0.0
1801,5.643402785082685e-07,0.0
1802,6.064546766992862e-07,0.0
1803,5.265915992147541e-07,0.0
1804,3.6830580740776497e-07,0.0
1805,4.918178508894755e-07,1.1371510844071508e-08
1806,4.3801370352980484e-07,0.0
1807,4.526658616832435e-07,1.1387820464392462e-08
1808,5.483899125913183e-07,0.0
1809,5.421673359151669e-07,3.388545621874073e-08
1810,5.943921879136838e-07,2.3401267590372754e-09
1811,5.515568854974617e-07,0.0
1812,3.6807472891808857e-07,1.600324850414836e-08
1813,4.658701489024253e-07,0.0
1814,5.286417530392384e-07,6.293354459785405e-08
1815,5.529308373386499e-07,0.0
1816,5.400016984680178e-07,0.0
1817,5.433488123873786e-07,1.556873407970727e-09
1818,6.115563999653517e-07,0.0
1819,4.896046665869846e-07,3.1053151161586356e-09
1820,5.517913699293331e-07,2.8479554714522237e-08
1821,5.581602378068595e-07,4.930744257336528e-09
1822,5.323601897089247e-07,3.308453244699194e-08
1823,5.33665093671587e-07,4.941343334508019e-08
1824,5.793725446068265e-07,1.1789557774477544e-08
1825,5.60906715518783e-07,1.7610886082763955e-09
1826,4.6241916806799566e-07,7.927186018719112e-09
1827,6.286180035952604e-07,1.935627302884768e-08
1828,5.851928263078676e-07,8.255071293206129e-09
1829,5.735454887134672e-07,7.715858174606183e-09
1830,3.7781346229337487e-07,5.218417697960831e-09
1831,3.80425425827724e-07,0.0
1832,3.368962461225422e-07,4.058990921151917e-09
1833,6.544750054127135e-07,6.950177322551099e-09
1834,4.424567656702294e-07,1.4001796166951408e-08
1835,4.4092801942952065e-07,6.050470346963266e-09
1836,3.8913142974550397e-07,1.8146025126952736e-08
1837,4.167776712638016e-07,1.8090515752078318e-08
1838,3.888291648657116e-07,2.398621568033832e-08
1839,4.1669192585302994e-07,7.690622361167243e-09
1840,3.471480304884089e-07,7.64362617644565e-09
1841,3.7239181560622114e-07,1.3483152372373297e-08
1842,5.138531156134718e-07,1.7441490030023488e-08
1843,3.378753090643727e-07,1.9492807368237663e-08
1844,3.485236398370617e-07,2.140538946093784e-08
1845,3.5546052618018464e-07,6.696273757711424e-09
1846,3.2843752117983627e-07,4.6836010625384006e-09
1847,4.0395245015645287e-07,7.550513103637968e-09
1848,3.1456817606301257e-07,5.63165514222419e-09
1849,4.725990050413742e-07,3.5193544078993e-08
