year,en_ADP entité_NOUN,en_ADP quantité_NOUN
1800,0.0,5.590324235527078e-06
1801,0.0,6.250604201341048e-06
1802,0.0,5.086610599391861e-06
1803,0.0,6.3971124291128945e-06
1804,0.0,4.627304861060111e-06
1805,0.0,4.483218162931735e-06
1806,0.0,3.725998112713569e-06
1807,0.0,5.1416009227978066e-06
1808,0.0,4.507221092353575e-06
1809,0.0,6.966849923628615e-06
1810,0.0,4.963409082847647e-06
1811,0.0,5.660979240929009e-06
1812,0.0,7.2468046710127965e-06
1813,0.0,6.6515904109110124e-06
1814,0.0,4.279480890545528e-06
1815,0.0,4.04583533963887e-06
1816,2.3176038865813098e-09,5.214608790993225e-06
1817,0.0,4.323437678976916e-06
1818,0.0,4.5026285988569725e-06
1819,1.035105001712111e-09,4.181824351690011e-06
1820,0.0,3.7581146443699254e-06
1821,6.903041693817613e-09,3.3499475193821127e-06
1822,0.0,3.71749842997815e-06
1823,4.941343334508019e-09,3.752456223082845e-06
1824,3.3684450784221553e-09,4.305714810470818e-06
1825,7.044354433105582e-09,3.594381951188552e-06
1826,0.0,3.7795061871293e-06
1827,9.217273055917019e-10,4.2510064304224215e-06
1828,3.668920500743411e-09,4.537537279247772e-06
1829,8.573175946935407e-09,4.7349649321404286e-06
1830,0.0,5.599362339125946e-06
1831,0.0,6.0057327573304065e-06
1832,0.0,4.97632254337077e-06
1833,0.0,5.358586349757388e-06
1834,4.667265685043276e-09,4.590722255670698e-06
1835,3.025235173481633e-09,3.907091013388708e-06
1836,0.0,4.28918247052934e-06
1837,6.957890930081589e-10,4.627693215297768e-06
1838,0.0,4.676680873672012e-06
1839,0.0,5.086997134640114e-06
1840,2.5478754661634184e-09,4.477891252463451e-06
1841,0.0,5.0722333071462344e-06
1842,2.683306021822318e-09,3.854569058603374e-06
1843,5.906911071384968e-10,4.904508386971429e-06
1844,5.488561272137815e-10,4.998981694370741e-06
1845,0.0,4.612616521626478e-06
1846,0.0,5.798883648822084e-06
1847,0.0,5.021630386181641e-06
1848,0.0,5.584188329521567e-06
1849,0.0,5.527900157176191e-06
1850,1.3577992064028876e-09,5.22820573678473e-06
1851,0.0,5.839322056999663e-06
1852,1.9531636308300904e-09,5.151143341208808e-06
1853,1.1943863675867306e-09,6.305165697995108e-06
1854,1.0391328908454511e-09,5.516756573342718e-06
1855,2.1227748447927297e-09,5.43218084203545e-06
1856,7.248064815001953e-09,5.124381914356491e-06
1857,2.4407544874094356e-09,5.34037098987028e-06
1858,0.0,4.96267693961272e-06
1859,1.018434669930457e-09,5.41858162250719e-06
1860,6.865775947773045e-09,5.3914650379738305e-06
1861,1.4147891747029462e-09,6.457569270423846e-06
1862,3.6143890103090826e-09,5.654259894072311e-06
1863,0.0,5.467611572385067e-06
1864,3.835782358407869e-09,6.109921741881408e-06
1865,6.118897832863013e-09,5.763060016761301e-06
1866,4.865612912574591e-10,5.968160621705465e-06
1867,9.7056229719783e-09,6.519752332678763e-06
1868,0.0,6.607575414818712e-06
