year,un_DET as_NOUN,un_DET casse_NOUN
1800,2.955514704083839e-07,5.0306631749208464e-08
1801,1.523956871807286e-07,2.857419123536431e-08
1802,5.751249148033821e-07,4.2518962573012686e-08
1803,2.1258697713300023e-07,9.751696339321825e-09
1804,1.5572661160589973e-07,2.471850879537385e-08
1805,6.055329246912322e-07,1.421438877713399e-08
1806,2.8528523099424774e-07,5.76333825108577e-09
1807,1.1103124641920203e-07,9.11025637151397e-08
1808,2.719288727526248e-07,7.251436695554503e-08
1809,2.2138499788937338e-07,4.743963999409573e-08
1810,5.031272332089998e-07,3.2761775514700275e-08
1811,2.657501347869129e-07,7.270522939251123e-08
1812,2.0270782385978237e-07,5.067695596494559e-08
1813,1.6966875127089054e-07,2.0130190847567064e-08
1814,3.0208101176043556e-07,3.4613449440001887e-08
1815,1.2137506644194218e-07,4.5852800223400436e-08
1816,2.456660137539757e-07,6.952811659743929e-09
1817,1.4945985071790346e-07,1.556873407970727e-08
1818,2.5153683913536895e-07,2.7418708414828075e-08
1819,2.3289863215758544e-07,2.794783426907088e-08
1820,1.9817023755308583e-07,2.0173017922786585e-08
1821,2.1300814401215007e-07,1.1833785507064931e-08
1822,2.406147814326687e-07,7.318699601910339e-08
1823,1.452754904152087e-07,1.1859224713361982e-08
1824,2.113699357764176e-07,2.6947560627377243e-08
1825,2.8705745158674745e-07,1.7610886526853164e-08
1826,1.6735170138559852e-07,7.92718591879904e-08
1827,1.0968555252954815e-07,7.742509211539073e-08
1828,2.1738353450651005e-07,4.310981671640235e-08
1829,2.0575622916574332e-07,4.115124596637543e-08
1830,1.2941676641453626e-07,5.740259823028282e-08
1831,1.7150326470094512e-07,8.263339079661591e-08
1832,1.9889054791999428e-07,5.953186654750198e-08
1833,3.0464942735175526e-07,4.054269864273152e-08
1834,3.3884346128942866e-07,9.054495109239724e-08
1835,2.52607129880289e-07,8.470658485748572e-08
1836,1.3307084784086598e-07,8.468145401563376e-08
1837,2.3239356372606323e-07,7.166627979948714e-08
1838,1.4959823446680787e-07,5.112851297894849e-08
1839,2.146382900303223e-07,7.2012191765225e-08
1840,2.7262268664784983e-07,3.567025713691052e-08
1841,1.4510439116932616e-07,8.410918450607596e-08
1842,2.8040546640184516e-07,3.7566284305512454e-08
1843,1.5653314866526102e-07,7.738053275918588e-08
1844,1.5752170151595024e-07,3.622450472917649e-08
1845,2.3157945383545098e-07,7.756516851031847e-08
1846,1.7563504206563607e-07,5.32759618643297e-08
1847,3.176608629473776e-07,6.525800433365703e-08
1848,1.617089591121612e-07,4.907585093860689e-08
1849,1.927265440571091e-07,6.200767188602185e-08
1850,1.452845159732874e-07,4.752297400045791e-08
1851,2.5862249719565966e-07,7.287865688709871e-08
1852,1.705762953108092e-07,5.7292800059727256e-08
1853,2.2991938219973918e-07,8.002388662831095e-08
1854,1.6781996703407742e-07,6.546537517637674e-08
1855,2.053784662336966e-07,8.119613426060823e-08
1856,2.588594524288723e-07,6.36794247887984e-08
1857,1.64995008322677e-07,8.640270904303193e-08
1858,1.458315497249174e-07,7.683071673314501e-08
1859,1.7618920211681655e-07,8.402086071335191e-08
1860,1.5837056321910126e-07,1.0024032578992426e-07
1861,1.344049679330439e-07,9.950683299564389e-08
1862,1.269554137928175e-07,1.0120289364867752e-07
1863,1.7081603331803308e-07,6.842630728698396e-08
1864,1.7884335457019063e-07,1.074019092550671e-07
1865,2.682901205641741e-07,1.4073465282038455e-07
1866,2.4279408217253717e-07,1.0655692384009541e-07
1867,1.9556829755629224e-07,1.1695275681233852e-07
1868,1.7783546923944016e-07,1.19544953491868e-07
1869,1.52365795313969e-07,1.113442332778547e-07
1870,3.721397789924197e-07,9.919904186972417e-08
1871,2.1560989371671724e-07,8.709365140191494e-08
1872,1.7234916360742147e-07,1.3908879781254768e-07
1873,2.083129491126101e-07,1.1912149178172626e-07
1874,2.9275584223498186e-07,1.081404226166427e-07
1875,2.6261809238370404e-07,9.554950253232164e-08
1876,1.9286787877881295e-07,8.222580127892343e-08
1877,1.4410621418381453e-07,1.0823427698536392e-07
1878,1.5762021576826157e-07,9.964496422432134e-08
1879,1.8266882106932059e-07,1.9244375060178953e-07
1880,1.4632689482318995e-07,8.343199975335835e-08
1881,1.4502816148009856e-07,1.4851440965912843e-07
1882,1.7304001653783985e-07,1.1114493236874523e-07
1883,2.382390754118724e-07,1.1438003233443794e-07
1884,1.9276955320890465e-07,1.2081105715822105e-07
1885,2.5524718294533955e-07,1.2504533103419035e-07
1886,2.355514356899846e-07,1.0583681037124038e-07
1887,1.8803302626047014e-07,1.0968593100457724e-07
1888,1.978271759739414e-07,9.701140779583284e-08
1889,1.1841108360499675e-07,1.2592925102694608e-07
1890,1.1601264110483456e-07,1.1797895504983558e-07
1891,1.319463560633949e-07,1.0644947445737074e-07
1892,1.2850450548107517e-07,1.1471377758809354e-07
1893,1.1023565438250671e-07,1.2686337780287715e-07
1894,1.153181705682016e-07,1.0082462709171125e-07
1895,1.1856670778520595e-07,1.1796484611359404e-07
1896,1.108641465297211e-07,1.3032434487136868e-07
1897,9.847146031916054e-08,7.924330136521718e-08
1898,8.54411567052793e-08,1.0185038856747042e-07
1899,1.0944604866836016e-07,1.083405365420731e-07
1900,1.1627959251025999e-07,1.1576048641881442e-07
1901,1.218345074271987e-07,1.0842153241874541e-07
1902,1.1490064100172503e-07,1.6253039447633455e-07
1903,9.072370099616478e-08,9.504387654679647e-08
1904,1.1286712808811217e-07,8.276922525141117e-08
1905,9.908657033763646e-08,9.444188941998277e-08
1906,1.2911902880219372e-07,9.156648095309805e-08
1907,1.105711351367944e-07,8.999975653622982e-08
1908,9.086069874264524e-08,9.773664277901162e-08
1909,1.0121810045671253e-07,1.2487232869951015e-07
1910,1.5818686449620145e-07,9.245380705458217e-08
1911,1.0215118229073283e-07,1.1013174794349823e-07
1912,1.130444396979513e-07,1.0418842233406167e-07
1913,7.954484321226474e-08,1.2196876486569863e-07
1914,1.0379952719574703e-07,1.0513887915841735e-07
1915,8.717763888554941e-08,1.2605415022903799e-07
1916,1.2196082543880493e-07,1.1207210981467597e-07
1917,2.1055534360492345e-07,7.676496815989253e-08
1918,2.2053843196090384e-07,1.4817425508795168e-07
1919,2.0625579910671377e-07,1.2430595341950124e-07
1920,1.726468878970877e-07,8.026565367913463e-08
1921,1.7947411268259827e-07,1.0601846600621911e-07
1922,2.0510659987094115e-07,1.0993124188729553e-07
1923,2.4947478172165916e-07,1.0191309840479335e-07
1924,2.475191949180555e-07,7.090393328024192e-08
1925,1.8037011950688964e-07,9.898359820681435e-08
1926,2.1289124707557505e-07,1.3486827032949122e-07
1927,2.3524864856128147e-07,1.215265482690242e-07
1928,2.205225920759446e-07,1.1197520155548091e-07
1929,2.317204537138906e-07,1.0917597936810353e-07
1930,2.1427351915015436e-07,1.1028783841737777e-07
1931,2.201233870735564e-07,1.0949142215110896e-07
1932,2.2576645541949603e-07,1.249387144852676e-07
1933,2.1450138265599605e-07,7.800050605411002e-08
1934,2.935487160016237e-07,1.1262685362112279e-07
1935,2.2979105196441196e-07,9.335261452747545e-08
1936,2.2551968381634424e-07,1.0912243153526902e-07
1937,2.681908299884128e-07,1.5738897873873725e-07
1938,2.3078081556882069e-07,1.0372171921346762e-07
1939,2.0494027186401809e-07,1.1776418862297078e-07
1940,1.6229011290391782e-07,1.191817946555318e-07
1941,2.1545969675074161e-07,2.1841119046683843e-07
1942,2.6397642827191703e-07,9.709477977182246e-08
1943,2.0903293540541767e-07,1.567747034414424e-07
1944,2.570548875979739e-07,1.7351204739668447e-07
1945,2.8320552303284785e-07,2.2874291882857278e-07
1946,2.867747364021511e-07,2.088165649283269e-07
1947,2.312648978985976e-07,1.8000514545590818e-07
1948,2.630996973618238e-07,1.3154984745966658e-07
1949,2.5327881203462965e-07,1.7081594272383427e-07
1950,2.42486243529072e-07,1.808011518278363e-07
1951,2.462783756929099e-07,1.6098716137946667e-07
1952,2.3514913216615696e-07,1.782071823441811e-07
1953,2.402563521464174e-07,1.9069674150884453e-07
1954,2.0815502299598165e-07,1.6613311015767351e-07
1955,2.768754177040478e-07,1.501697237671351e-07
1956,2.3459870734932053e-07,1.9884202995257283e-07
1957,2.6946865538945985e-07,1.2457402842613874e-07
1958,3.002824513487212e-07,1.464187079358581e-07
1959,2.06944959835198e-07,1.3718823410613368e-07
1960,3.0659292526991067e-07,1.5295041344565163e-07
1961,2.445752134150325e-07,1.4869061037980913e-07
