year,son_DET as_NOUN,son_DET casse_NOUN
1800,1.4463156672306354e-07,1.5720821977538435e-08
1801,3.5717739876872656e-08,0.0
1802,1.3874608839614666e-07,1.1189200677108602e-08
1803,1.5602714009688157e-08,1.950339223455444e-09
1804,5.9324422929663e-08,0.0
1805,1.5635827521620627e-07,0.0
1806,7.492339815229343e-08,0.0
1807,3.701041695336471e-08,7.971474502710407e-08
1808,4.5321479014148736e-08,0.0
1809,5.87347932512472e-08,1.581321384946932e-08
1810,9.126494493472137e-08,7.020380277111826e-09
1811,4.011322829455821e-08,0.0
1812,4.267533304513904e-08,0.0
1813,3.1633157648869314e-08,0.0
1814,6.92268957713793e-08,3.1466771410748606e-09
1815,7.012781444437621e-08,0.0
1816,8.111613958305952e-08,9.270415546325239e-09
1817,6.850243217115803e-08,0.0
1818,6.437435473571895e-08,0.0
1819,4.761483052284632e-08,6.210630232317271e-09
1820,6.40789963313182e-08,2.3732962262101864e-08
1821,7.987805616949117e-08,2.9584463767662328e-09
1822,7.118187284049782e-08,9.023054303725075e-09
1823,2.8659791873053564e-08,8.894418535021487e-09
1824,5.052667706451075e-08,5.894778887238772e-09
1825,8.629333869691891e-08,1.0566531649658373e-08
1826,6.077509251412039e-08,4.1397527184017235e-08
1827,3.7790819362726324e-08,3.133872894522938e-08
1828,4.7695967453353916e-08,9.172301140836225e-09
1829,7.11573591161141e-08,2.2290258527846163e-08
1830,2.5048406016026092e-08,4.5922078584226256e-08
1831,3.741889287312006e-08,5.3010101197514814e-08
1832,3.111892965534935e-08,3.3824925083081325e-08
1833,6.718504319547236e-08,3.243415847009601e-08
1834,5.974099681615996e-08,3.640467127752345e-08
1835,3.781543966852041e-08,3.1764969321557146e-08
1836,3.6292051308617346e-08,1.9490174807401672e-08
1837,5.98378591121218e-08,4.1051556820548285e-08
1838,3.787297120361188e-08,1.5149188570262595e-08
1839,4.404629216914202e-08,5.383435919270596e-08
1840,2.8026630793931417e-08,2.4204817705708592e-08
1841,3.531301606685133e-08,2.5040138851295524e-08
1842,5.2995293486901573e-08,1.408735705865638e-08
1843,4.0757686170511676e-08,2.4218335781256428e-08
1844,2.9089375408464235e-08,1.811225303072206e-08
1845,3.069125292798347e-08,1.2834524554250493e-08
1846,3.044340801672263e-08,2.3418005534736608e-08
1847,2.3190860787281053e-08,1.6179670936367074e-08
1848,2.735375392859396e-08,2.9767320053331048e-08
1849,2.178647906525555e-08,2.1786478399121734e-08
1850,4.277067500169096e-08,1.6293590476834652e-08
1851,4.063146308297405e-08,1.2253933867611977e-08
1852,2.7995345375231295e-08,2.9948509450150596e-08
1853,3.045685281755084e-08,2.269334054005867e-08
1854,2.85761542762053e-08,1.558699302961486e-08
1855,3.980202833986368e-08,1.6451505047143655e-08
1856,3.054541480862483e-08,1.1389816201301528e-08
1857,3.319426167269768e-08,1.9526036010297787e-08
1858,5.480917120159745e-08,1.6149130033227266e-08
1859,3.258990988186383e-08,3.819129901216911e-08
1860,4.806043046867714e-08,1.7393299245327398e-08
1861,2.9710572058139206e-08,3.159695793897299e-08
1862,2.665611922858524e-08,3.388489847044873e-08
1863,3.296449746503782e-08,1.9978482868054925e-08
1864,1.5343129766698382e-08,1.0068928801842958e-08
1865,2.5887643806399296e-08,7.530950973944073e-09
1866,3.8438341065649695e-08,1.3137154475373336e-08
1867,2.6690463172940326e-08,2.717574432153924e-08
1868,3.309715657096035e-08,9.38576039111183e-09
1869,2.0999132543941812e-08,2.7347706321734222e-08
1870,3.669791315275006e-08,8.027668307875047e-09
1871,3.398776571295059e-08,8.496941816815706e-09
1872,3.507456891593819e-08,1.5723081503438152e-08
1873,2.81342206198687e-08,7.183205141814142e-09
1874,2.3898437340186263e-08,5.377148060148329e-09
1875,2.345826055627498e-08,2.345826111138649e-08
1876,2.2974855573565378e-08,1.5115036333668286e-08
1877,2.9068635054585457e-08,1.4225077116236662e-08
1878,2.1740719446938783e-08,1.8117265909722846e-08
1879,2.7491963261461194e-08,2.443730195977878e-08
1880,2.0537108458285047e-08,1.6044616302224313e-08
1881,4.3229545776402034e-08,2.7890029563604202e-08
1882,1.5972924094498353e-08,5.989846840748214e-09
1883,1.64302811356265e-08,9.479008078461248e-09
1884,2.0465259709112615e-08,1.9805090900604227e-08
1885,2.5782542600882863e-08,1.2891271161663553e-08
1886,2.3877816557327236e-08,6.4534639854230136e-09
1887,2.54628065854412e-08,2.3504128421336645e-08
1888,3.170307283362206e-08,2.2192152115962926e-08
1889,1.0024218510817917e-08,5.012109394186837e-09
1890,2.6217545301410183e-08,1.2453334030659846e-08
1891,2.039750357507586e-08,8.286486163910922e-09
1892,1.9432389031237562e-08,6.268512375839919e-09
1893,1.662772503019383e-08,1.4780200174868696e-08
1894,1.1972924873759894e-08,1.071261657159539e-08
1895,1.5046536017138123e-08,6.6204757231957956e-09
