year,bon_ADJ art_NOUN,bon_ADJ quart_NOUN
1800,0.0,1.5720821977538435e-07
1801,0.0,2.404994461358001e-07
1802,0.0,1.2308120744819462e-07
1803,0.0,1.2287136996746995e-07
1804,0.0,2.4224138428508013e-07
1805,0.0,2.1321582721611776e-07
1806,0.0,2.1900684998854558e-07
1807,0.0,1.1672516109229036e-07
1808,2.2660739951163578e-09,1.540930298915555e-07
1809,0.0,2.1686693685296632e-07
1810,4.680253518074551e-09,2.199719202344852e-07
1811,1.504245972228091e-08,1.2033967777824728e-07
1812,1.3336041160272316e-08,1.9203899626063503e-07
1813,5.751483289628823e-09,1.7254450312975678e-07
1814,0.0,1.9824065589091333e-07
1815,0.0,1.3755840200246894e-07
1816,0.0,1.0197457100957763e-07
1817,0.0,1.0431051578052575e-07
1818,0.0,1.2517236314124602e-07
1819,0.0,1.0144029261027754e-07
1820,1.1866481131050932e-09,1.3290458866777044e-07
1821,9.86148829262845e-10,1.4200543319020653e-07
1822,0.0,1.3233812978796777e-07
1823,0.0,1.5812298670425662e-07
1824,6.736890156844311e-09,6.315834610859383e-08
1825,0.0,1.426481843758154e-07
1826,3.5231937367541377e-09,7.398706969308222e-08
1827,9.217273055917019e-10,1.5024154720322258e-07
1828,0.0,9.997808092521154e-08
1829,3.429270423183084e-09,1.577464416868679e-07
1830,1.0436835840010872e-09,9.393152211600864e-08
1831,0.0,1.3720261904381914e-07
1832,0.0,8.659180672498934e-08
1833,1.1583628278799551e-08,1.366868147556488e-07
1834,2.8003592777992026e-09,1.1294782131798797e-07
1835,2.2689263801112247e-09,1.3008511956513757e-07
1836,0.0,1.1626897444827478e-07
1837,6.957890930081589e-10,1.217630911654055e-07
1838,0.0,1.224559424972682e-07
1839,0.0,1.1535933830408851e-07
1840,3.821813143733976e-09,8.599079848181646e-08
1841,6.420548537278137e-10,1.1171754721317484e-07
1842,3.3541325272778977e-09,1.831356399861761e-07
1843,1.1813822142769936e-09,1.1341269012810073e-07
1844,5.488561272137815e-10,6.586273570974299e-08
1845,1.1160455892778032e-09,9.932805511425613e-08
1846,2.9272506640865004e-09,8.079211966105504e-08
1847,1.0786447290911383e-09,7.928039025273392e-08
1848,1.6090443422100975e-09,5.953464160546318e-08
1849,0.0,5.027649052635752e-08
1850,2.7155984128057753e-09,6.788996387285806e-08
1851,6.449438760824933e-10,5.997978291816253e-08
1852,7.812654523320361e-09,1.087261116694549e-07
1853,1.1943863675867306e-09,1.23618988823182e-07
1854,6.234797234050404e-09,1.205394181136299e-07
1855,1.5920811335945473e-09,1.3638828377793288e-07
1856,0.0,1.2062851162397692e-07
1857,9.763018171682347e-10,1.4156376115792568e-07
1858,0.0,1.3310798419041703e-07
1859,2.036869339860914e-09,1.6142189629420045e-07
1860,3.204028820036342e-09,1.620323075712804e-07
1861,1.886385547766878e-09,1.7118948802963274e-07
1862,4.517986262886353e-10,1.6671369001963754e-07
1863,3.496234690647526e-09,1.1387735665557841e-07
1864,6.233146443435089e-09,1.0596348687386126e-07
1865,3.765475542483188e-09,1.33203698737816e-07
1866,4.3790516213171315e-09,1.6591739826488094e-07
1867,4.85281148598915e-10,1.0190903942941532e-07
1868,2.9639245502366407e-09,1.11147162917824e-07
1869,5.371871170112286e-09,1.1573940272846528e-07
1870,1.1468097582678638e-09,1.2672248317358026e-07
1871,9.559059321873065e-09,1.678146048789131e-07
1872,2.4189357183956872e-09,1.2880832400696818e-07
1873,1.7958013409646867e-09,1.6102351824143213e-07
1874,6.572069999322139e-09,1.7744589797530352e-07
1875,1.1443054281912168e-09,1.9910913806597819e-07
1876,1.813804439976252e-09,1.1366508090304706e-07
1877,1.051418752062716e-08,1.3544747257121514e-07
1878,7.850815109122777e-09,1.5460067004369193e-07
1879,2.443730107160036e-09,2.3765275924958473e-07
1880,3.8507077526617195e-09,1.7713255084927937e-07
1881,9.064260064750584e-09,1.401474014617321e-07
1882,1.3310770263785798e-09,1.5373939432627992e-07
1883,1.5166413291911596e-08,1.952675710015228e-07
