year,en_ADP hôtes_NOUN,en_ADP côte_NOUN
1800,0.0,1.446315693875988e-07
1801,2.3811825844433088e-09,9.048493865293494e-08
1802,0.0,8.727576528144709e-08
1803,2.3404069793286908e-08,8.386458949516395e-08
1804,0.0,2.2493843498949673e-07
1805,0.0,6.538618890772341e-08
1806,8.645007376628655e-09,1.0950342499427279e-07
1807,2.8469551160981155e-09,1.3380689267705748e-07
1808,0.0,1.1556977685955871e-07
1809,1.129515236897305e-08,1.2424667605870354e-07
1810,9.360507036149102e-09,9.828532032685189e-08
1811,0.0,7.771938026479575e-08
1812,0.0,1.600324939232678e-08
1813,5.751483289628823e-09,6.61420593850437e-08
1814,1.5733386149463513e-08,3.1466772298927026e-08
1815,8.091670666843243e-09,6.203614311139916e-08
1816,1.1588019432906549e-08,5.7940095388175905e-08
1817,1.8682481339737933e-08,9.341240669868967e-09
1818,2.98029441125891e-08,5.48374146092101e-08
1819,4.140420006848444e-09,7.24573512300708e-09
1820,2.3732962262101864e-09,8.425201425410478e-08
1821,6.903041693817613e-09,1.3806083276612924e-08
1822,2.0051231786055723e-09,5.514088741165324e-08
1823,3.9530747564242574e-09,1.9765373338032077e-08
1824,8.421112696055388e-09,5.136878744593787e-08
1825,5.283265824829186e-09,5.107157075023849e-08
1826,8.807984341885344e-10,6.341749070326586e-08
1827,0.0,1.115290046982409e-07
1828,0.0,4.0358125119599464e-08
1829,2.571952872898464e-09,3.5150023336427694e-08
1830,1.878630406793036e-08,4.696576283436116e-08
1831,1.5591206103948707e-09,1.153749238369528e-07
1832,2.705993873419743e-09,4.1942906259251345e-08
1833,1.0425265983826648e-08,1.1931137544607395e-07
1834,1.120143711119681e-08,9.427876079826092e-08
1835,1.285724948729694e-08,7.033671778344797e-08
1836,1.4785650037651976e-08,3.5619974525502585e-08
1837,1.3219993100221927e-08,8.97567929980525e-08
1838,8.2058102535143e-09,8.837026399532988e-08
1839,1.3283802502428443e-08,1.2165166840549801e-07
1840,3.1848443882154243e-09,4.7772665823231364e-08
1841,6.420548537278137e-09,6.934192375851467e-08
1842,8.720745015011744e-09,5.2995293486901573e-08
1843,2.953455480181333e-09,6.73387887673016e-08
1844,1.1525978393933656e-08,3.1833653935109396e-08
1845,5.022205318283568e-09,6.528866824950796e-08
1846,1.4050803187615202e-08,6.147226461195032e-08
1847,1.0786447290911383e-08,2.8044763844548015e-08
1848,9.65426583121598e-09,4.344419884949602e-08
1849,6.535943697372204e-08,3.6869424846486254e-08
1850,4.073397619208663e-09,5.6348665289363e-08
1851,8.384270167027807e-09,1.1351012574323249e-07
1852,1.5625309046640723e-08,3.5156944022674e-08
1853,1.0749477752369785e-08,8.36070483956064e-08
1854,8.313063126763609e-09,4.520228069626597e-08
1855,2.175844215912548e-08,2.865746040470185e-08
1856,7.765783571755946e-09,6.98920556985172e-08
1857,2.4407544874094356e-09,3.905207179855097e-08
1858,9.787352261980686e-09,4.159624467092726e-08
1859,2.2914779407301467e-08,3.71728665626847e-08
1860,8.696649622663699e-09,4.3940964977728925e-08
1861,2.3579818320129675e-08,2.7824185899749665e-08
1862,3.388489855371546e-08,3.930648162508987e-08
1863,2.6970951694238465e-08,4.744889636754124e-08
1864,1.965838514195184e-08,5.32214812221099e-08
1865,1.3179164426446732e-08,2.9182434246877165e-08
1866,1.751620715140234e-08,3.454585240092456e-08
1867,1.844068364675877e-08,8.686532559920579e-08
1868,1.778354707937524e-08,9.039969872670639e-08
1869,1.3673853160867111e-08,3.711474505507795e-08
1870,7.454262984651905e-09,3.55511033944822e-08
1871,4.036047429600842e-08,3.5049884328230974e-08
1872,1.8142017887967654e-09,3.749350274695473e-08
1873,8.380406590902112e-09,4.6092233585426357e-08
1874,2.3898437007119355e-08,7.169531207606994e-08
1875,1.2587359599081083e-08,3.833423301013994e-08
1876,1.934724735974669e-08,9.613163753918741e-08
1877,2.5976227391311113e-08,5.4426382511962856e-08
1878,1.268208649207736e-08,1.3467168336056545e-07
1879,8.55305515301552e-09,1.276848943243536e-07
1880,1.0910338410496934e-08,5.0700986520269e-08
1881,1.324776466304911e-08,9.343160334296385e-08
1882,1.6638463051776853e-08,5.590523466381114e-08
1883,1.7062214752172622e-08,6.888079617795029e-08
1884,1.386356363042296e-08,4.357119909315088e-08
1885,2.2559724977000428e-08,6.123354001630332e-08
1886,2.8395241713496944e-08,4.0011476798440526e-08
1887,5.223139698529167e-09,9.466940703584115e-08
1888,2.0924028731883482e-08,5.452928664162471e-08
1889,1.4409814674820609e-08,6.265136898164769e-08
1890,3.080561788992853e-08,6.751017966877271e-08
1891,1.211101796627645e-08,3.952016314201501e-08
1892,2.0686091062316336e-08,6.958048803795691e-08
1893,9.23762488724833e-09,4.3724757148311255e-08
1894,2.2685540557176864e-08,7.876923846517059e-08
1895,4.273216447359118e-08,9.810341605742678e-08
1896,1.2383760683576384e-08,7.253345679636425e-08
1897,1.0488084178916779e-08,6.525919094002575e-08
1898,1.0185038590293516e-08,1.046795654602306e-07
1899,3.040168117252051e-08,1.9954558005963463e-07
1900,1.661137005726232e-08,9.811090384559407e-08
1901,2.4031576728589243e-08,1.0059730126688038e-07
1902,8.34748237199534e-09,1.1440961467101829e-07
