year,un_DET ados_NOUN,un_DET cadeau_NOUN
1800,0.0,2.3895650791416756e-07
1801,0.0,1.5239568540437176e-07
1802,2.2378401354217203e-09,2.3273537408385891e-07
1803,3.705644502360883e-08,2.925508795215137e-07
1804,4.943701803483691e-08,1.8044511373993544e-07
1805,6.822906661874129e-08,2.3595885068061762e-07
1806,5.76333825108577e-09,1.5272846098923765e-07
1807,2.2775640928784924e-08,3.046242036397473e-07
1808,2.4926814390369145e-08,1.790198425055678e-07
1809,1.219876537561504e-07,1.8524050915402768e-07
1810,2.3401266702194334e-08,2.574139443822787e-07
1811,2.2563691359778204e-08,3.384553721730299e-07
1812,0.0,2.453831484672264e-07
1813,0.0,1.4953856464217097e-07
1814,9.440030979135372e-09,4.0906803233653477e-07
1815,2.697223555614414e-09,1.2137506644194218e-07
1816,2.3176038865813098e-08,1.367386346373678e-07
1817,2.0239355080775567e-08,2.864647005162979e-07
1818,7.152706427149269e-09,1.6451224138513965e-07
1819,1.035105001712111e-09,2.6705708933150163e-07
1820,1.6613073583471305e-08,3.0259527150633403e-07
1821,1.1833786173198746e-08,3.185260606386464e-07
1822,2.2056354964661296e-08,2.907428751086627e-07
1823,1.4824030225568663e-08,3.913543888955928e-07
1824,1.6842225392110777e-09,3.191601614105366e-07
1825,8.805443485471187e-09,2.73849292353745e-07
1826,7.0463874735082754e-09,3.4791538439105096e-07
1827,1.2904182611350734e-08,2.442577281547287e-07
1828,4.586150570418113e-09,2.7700349392034695e-07
1829,1.628903412154159e-08,3.7807706876336056e-07
1830,1.0436835395921662e-08,5.437591257262397e-07
1831,4.677361609140007e-09,3.196197164712089e-07
1832,1.6235963684607668e-08,5.466107531049147e-07
1833,1.2741991461950875e-08,6.475248295334524e-07
1834,2.8003592333902816e-08,5.862085235008863e-07
1835,7.563087933704082e-09,5.914334693102319e-07
1836,7.392825018825988e-09,3.703133319987728e-07
1837,6.262101948095733e-09,4.5017554928250547e-07
1838,1.5780404982734808e-08,4.361703815902729e-07
1839,1.0487212875887053e-08,3.5306949630609097e-07
1840,4.458782232319436e-09,4.688090782245524e-07
1841,6.420548537278137e-10,4.687000565439803e-07
1842,7.379091560011375e-09,4.769576360530436e-07
1843,4.134837805480629e-09,4.796411694485414e-07
1844,3.2931368743049916e-09,4.187772320030092e-07
1845,1.2834524554250493e-08,6.908321963372543e-07
1846,1.8734404250153602e-08,5.198797241590114e-07
1847,2.6966118227278457e-09,4.82693526038247e-07
1848,8.04522137798358e-09,4.89953992044434e-07
1849,1.0893239199560867e-08,4.3321574594301637e-07
1850,2.2403686017469226e-08,4.989912323338785e-07
1851,6.449438760824933e-09,5.623910670493615e-07
1852,2.408901877970493e-08,5.68370612796798e-07
1853,1.7318601663873778e-08,5.165721024269487e-07
1854,8.313063126763609e-09,5.221642522812431e-07
1855,2.4411910715116392e-08,5.789868495753581e-07
1856,1.7084723857863082e-08,6.342056568797716e-07
1857,7.810414537345878e-09,5.804114238117108e-07
1858,3.817067173450539e-08,5.945816505814605e-07
1859,1.3748867822016564e-08,7.001738158152193e-07
1860,6.865775947773045e-09,6.36686290356181e-07
1861,4.715963619617014e-09,6.253367708097812e-07
1862,2.710791813242963e-09,5.362849444523476e-07
1863,2.5972028361298527e-08,5.63892679661393e-07
1864,1.4384183621984903e-08,6.415345819021923e-07
1865,8.47231973466478e-09,6.791976172593195e-07
1866,3.8924903300596725e-09,6.821589391137195e-07
1867,2.1837651686951176e-08,7.017165621903132e-07
1868,7.409810987013543e-09,7.301133693182749e-07
1869,1.0743741896135361e-08,6.412060669092057e-07
1870,1.7202147262196377e-08,5.137707592695051e-07
1871,2.1242354542039266e-09,6.850659497459333e-07
1872,9.675742762560446e-09,5.986865847518175e-07
1873,1.0176207432266438e-08,6.261360923076609e-07
1874,1.3144139998644278e-08,6.458552261889849e-07
1875,1.0298748520654044e-08,6.774288117128435e-07
1876,2.3579458385825092e-08,7.182665875404837e-07
1877,4.329371083855449e-09,8.330947132151323e-07
1878,9.058632899350272e-09,7.476392056560144e-07
1879,3.665595160740054e-09,7.881029322476252e-07
1880,6.417846254436199e-09,7.354851909724403e-07
1881,1.2550513517339823e-08,9.092149921841042e-07
1882,1.3310770263785798e-08,8.385785257303269e-07
1883,1.0742875922176154e-08,1.0483782801884445e-06
1884,7.922036360241691e-09,1.0410875797006724e-06
1885,9.023890079618013e-09,9.958506641538634e-07
1886,5.808117542471791e-09,8.983221633229732e-07
1887,1.3710741875172516e-08,1.0028428416575252e-06
1888,1.7119659467823567e-08,1.0582486424937088e-06
1889,1.5662841412744655e-08,8.495525429808026e-07
1890,8.520702365899524e-09,9.025390319550297e-07
1891,3.1871101313640793e-09,7.955026841699464e-07
1892,3.1342561879199593e-09,1.0060962019053932e-06
1893,5.542574843531156e-09,8.874278041304251e-07
1894,1.2603078580752936e-09,8.948185747925663e-07
1895,3.611168697403855e-09,1.072517132882922e-06
1896,2.358811590497112e-09,9.907008866605338e-07
1897,6.992056267307589e-09,9.427622273960878e-07
1898,3.960848538042683e-09,9.240093312712361e-07
1899,1.6029977345510815e-08,1.022602024391972e-06
1900,2.595526460424935e-09,9.520391390793748e-07
