year,ton_DET or_NOUN,ton_DET cor_NOUN
1800,8.489243885634323e-08,3.144164484325529e-09
1801,5.000483582762172e-08,0.0
1802,8.727576528144709e-08,0.0
1803,1.677291692203653e-07,0.0
1804,1.038177401824214e-07,2.4718509461507665e-09
1805,1.5635827521620627e-07,2.842877711017877e-09
1806,5.187004248341509e-08,2.881669125542885e-09
1807,1.2526602510831708e-07,0.0
1808,4.5321478125970316e-08,2.2660739951163578e-09
1809,5.1957703028904234e-08,0.0
1810,2.574139346123161e-08,0.0
1811,1.0279014617253779e-07,5.0141535368197765e-09
1812,5.3344165529267684e-08,0.0
1813,8.339650747757332e-08,0.0
1814,6.293354370967563e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,4.4034472068688046e-08,4.6352077731626196e-09
1817,3.580808893843823e-08,0.0
1818,7.629553699928238e-08,3.5763532135746345e-09
1819,6.003609098748086e-08,2.070210003424222e-09
1820,6.76389415588119e-08,2.3732962262101864e-09
1821,1.4003314019461754e-07,5.9168927535324656e-09
1822,7.21844344298006e-08,1.0025615893027862e-08
1823,6.917880635004536e-08,2.075364236020505e-08
1824,7.242156652154108e-08,4.210556348027694e-09
1825,7.220463604795668e-08,1.3208164340028361e-08
1826,5.196710661792281e-08,9.688783109140786e-09
1827,4.7929820112813104e-08,4.6086365279585095e-09
1828,1.0915038473058303e-07,1.1006761113652175e-08
1829,5.572564276690173e-08,1.0287811491593857e-08
1830,4.696576283436116e-08,1.3567886369969528e-08
1831,1.1225668572478753e-07,1.7150327158432788e-08
1832,7.441482807735156e-08,1.0823975493678972e-08
1833,1.1699465041203894e-07,1.2741991128883967e-08
1834,1.0267983929779234e-07,1.4935249259551142e-08
1835,6.958040899007756e-08,1.5126175867408165e-08
1836,1.1694105372939134e-07,2.7555075332585943e-08
1837,7.862416850912268e-08,1.5307359824134892e-08
1838,4.1660269900489766e-08,6.943378094703689e-09
1839,9.50840624014404e-08,1.3982950353153001e-08
1840,5.6690229399691816e-08,1.592422138596561e-08
1841,7.255219980351058e-08,4.494383976094696e-09
1842,9.056157512787877e-08,1.1404051036834062e-08
1843,1.1636614738463891e-07,4.016699506337318e-08
1844,4.8299337418455934e-08,6.586273748609983e-09
1845,7.644912036752771e-08,5.022205096238963e-09
1846,8.196302081486806e-08,6.439951683034906e-09
1847,5.662884650092792e-08,1.3483059113639229e-08
1848,4.263967567919025e-08,4.02261068899179e-09
1849,5.614208120618969e-08,8.379414939696517e-10
1850,3.937617609750532e-08,3.394498016007219e-09
1851,7.22337163416853e-08,5.159551008659946e-09
1852,5.9245962802378926e-08,2.6042181744401205e-09
1853,5.4344578614973216e-08,5.971931837933653e-09
1854,5.6632741163298306e-08,1.610656008566025e-08
1855,8.331890910540096e-08,4.2455496895854594e-09
1856,4.245295315286057e-08,1.6049286344355096e-08
1857,1.1081025430570435e-07,6.345961645060072e-09
1858,9.542668333306636e-08,5.3830437884982985e-09
1859,6.517981754328162e-08,3.5645213447565993e-09
1860,8.833965159382728e-08,8.696649400619094e-09
