year,en_ADP âne_NOUN,en_ADP ane_NOUN,en_ADP canne_NOUN
1800,6.288328968651058e-09,0.0,1.8864987794131594e-08
1801,2.1430643926123594e-08,9.524730337773235e-09,9.524730337773235e-09
1802,2.6854081625060644e-08,4.475680270843441e-09,2.0140561218795483e-08
1803,2.145373123596528e-08,2.9255089017965474e-08,5.265916058760922e-08
1804,1.4831105232815389e-08,0.0,1.4831105232815389e-08
1805,8.528632911009026e-09,0.0,3.980028751016107e-08
1806,5.76333825108577e-09,2.881669125542885e-09,0.0
1807,1.7081731584767113e-08,2.8469551160981155e-09,5.124519120158766e-08
1808,1.1330369531492579e-08,1.3596443526608937e-08,9.064295980465431e-09
1809,2.25903047379461e-08,4.518061036407062e-09,6.325285539787728e-08
1810,7.956430891908894e-08,2.3401266702194334e-08,9.360507036149102e-09
1811,1.7549536934780008e-08,3.7606150637969904e-08,4.512738271955641e-08
1812,4.000812481308458e-08,6.134578978134186e-08,1.600324850414836e-08
1813,4.3136125782439194e-08,4.6011867427253605e-08,1.7254450312975678e-08
1814,0.0,0.0,4.72001566720337e-08
1815,5.664169577812572e-08,2.697223555614414e-09,2.1577788444915313e-08
1816,2.3176038865813098e-09,0.0,6.952811304472561e-08
1817,3.89218364205135e-08,4.670620223912181e-09,2.3353100786493997e-08
1818,5.126106117359086e-08,1.1921177378582115e-09,2.7418708414828075e-08
1819,5.4860564091541164e-08,3.105315005136333e-09,2.794783426907088e-08
1820,1.6613073583471305e-08,1.0679833017945839e-08,5.577246042776096e-08
1821,3.944595405869222e-08,4.9307441463142254e-09,6.212737702071536e-08
1822,2.4061478143266868e-08,7.017931125119503e-09,1.303330066093622e-08
1823,1.3835761869529506e-08,9.882686891060644e-10,1.2847492847356534e-08
1824,1.0105335235266466e-08,8.421112696055388e-10,9.263223965660927e-09
1825,8.453225319726698e-08,1.7610886082763955e-09,1.2327619813845558e-08
1826,4.315912249808207e-08,1.0569581432307018e-08,3.2589542509064984e-08
1827,1.1982455028203276e-08,5.530363889061363e-09,4.147772969531616e-08
1828,2.7516904310687096e-08,1.8344602503717056e-09,1.559291185060374e-08
1829,3.429270378774163e-08,5.143905634774626e-09,9.430493552731178e-09
1830,2.7135772739939057e-08,2.0873671680021744e-09,6.262101504006523e-09
1831,4.677361609140007e-09,1.5591206103948707e-09,2.3386808933878456e-08
1832,2.0294953273491956e-08,1.3529969367098715e-09,2.705993873419743e-09
1833,5.79181431703546e-08,3.4750886612755494e-09,2.0850531967653296e-08
1834,3.080395316601425e-08,4.667265462998671e-09,3.080395316601425e-08
1835,4.235329242874286e-08,2.2689263801112247e-09,4.9160071569076536e-08
1836,1.008112526790228e-08,2.688300027031687e-09,1.68018754465038e-08
1837,2.0177884252348122e-08,1.3915781860163179e-09,1.7394726437025554e-08
1838,3.7241754569095065e-08,8.205810475558906e-09,1.4517972823924197e-08
1839,1.5381244722334486e-08,5.593180252283503e-09,4.055055669027752e-08
1840,2.6115722917552375e-08,2.547875410652267e-09,1.2102408852854296e-08
1841,5.778493683550323e-09,3.2102742686390684e-09,2.247191943638427e-08
1842,1.2074877098200432e-08,2.683306021822318e-09,2.1466448174578545e-08
1843,2.4809025944705354e-08,0.0,4.7255287682901326e-08
1844,6.147188713612195e-08,2.7442806360689076e-09,2.085653344474636e-08
1845,1.674068350610014e-08,2.790113973194508e-09,1.3392547515422848e-08
1846,5.327596142024049e-08,5.854501550217606e-09,3.0443406018321184e-08
1847,2.6426796750911308e-08,2.6966118227278457e-09,1.7258315665458213e-08
1848,2.574470947536156e-08,2.4135665133151463e-09,2.57447089757612e-08
1849,6.116972883773997e-08,2.513824481908955e-09,1.4245005175439474e-08
1850,2.1045888587423178e-08,1.3577992064028876e-08,1.425689166723032e-08
1851,2.644269869733762e-08,1.9348316282474798e-09,2.7087642351375507e-08
1852,1.7578472011337e-08,3.906327261660181e-09,2.4740073101270355e-08
1853,1.911018188138769e-08,2.9859659189668264e-09,2.5679307569248522e-08
