year,bon_ADJ or_NOUN,bon_ADJ corps_NOUN
1800,3.45858084394024e-08,5.659496071785952e-08
1801,5.952956638743956e-08,1.0715321963061797e-07
1802,8.056224487518193e-08,3.8043282302169246e-08
1803,3.315576790896557e-08,4.095712458074274e-08
1804,5.6852570651244605e-08,1.0134588990240445e-07
1805,2.55858996212055e-08,8.52863308864471e-08
1806,6.339671898558663e-08,8.933174200365102e-08
1807,3.9857372513552036e-08,2.2775640928784924e-08
1808,7.024829073998262e-08,9.744118445453864e-08
1809,2.4849335034105025e-08,1.1521055798269231e-07
1810,1.4040760110134443e-08,5.148278958699848e-08
1811,6.016984377410495e-08,1.1783260855935396e-07
1812,1.600324850414836e-08,8.535066342574282e-08
1813,3.163315875909234e-08,5.4639092583741444e-08
1814,6.608022173892891e-08,1.0069366762621712e-07
1815,5.664169577812572e-08,3.506390555685357e-08
1816,3.244645441213834e-08,5.3304887615013286e-08
1817,4.670620157298799e-08,4.826307531402563e-08
1818,3.5763530803478716e-08,5.48374146092101e-08
1819,6.107119787657211e-08,2.2668800170322356e-07
1820,7.001224133773576e-08,1.590108515969746e-07
1821,5.127973856655643e-08,5.818278125957477e-08
1822,4.511527151862538e-08,5.6143449000956025e-08
1823,5.138997138942614e-08,2.3520794911746634e-07
1824,5.642145595174952e-08,1.5831691246859236e-07
1825,9.774041842547376e-08,1.576174355477633e-07
1826,9.953022128694755e-08,9.160303449107232e-08
1827,5.069500080834288e-08,1.5392845398309873e-07
1828,8.438517085096464e-08,5.77854966654634e-08
1829,3.772197487705853e-08,2.5719527840806222e-08
1830,6.366470017837855e-08,4.2791025167687735e-08
1831,4.989185953263586e-08,1.091384405071949e-08
1832,8.929779937716376e-08,5.411987658021644e-08
1833,4.865124125785769e-08,1.50587169400751e-08
1834,5.507373401769655e-08,4.85395617033646e-08
1835,6.806779140333674e-08,1.1722786297241328e-07
1836,6.183090411893133e-08,1.2231764612291585e-07
1837,8.697363540477454e-08,1.1132625565846155e-07
1838,1.218247263068406e-07,1.1551256151598466e-07
1839,1.0836786401569043e-07,1.0207553913232914e-07
1840,9.427139247009109e-08,5.3505384289831426e-08
1841,6.35634278545183e-08,5.393260860131477e-08
1842,3.3541326160957396e-08,8.117000760421433e-08
1843,1.2109167357721162e-07,5.61156552891795e-08
1844,8.781698307425145e-08,7.683985808748517e-08
1845,6.02664584903323e-08,2.064684390123972e-08
1846,6.20577138565892e-08,3.9810608143397985e-08
1847,6.094342808182773e-08,3.182001862001016e-08
1848,2.3089786793661915e-07,5.229394112182817e-08
1849,7.373885324568619e-08,3.100383594301093e-08
1850,1.0522943671986695e-07,1.0862394006494469e-07
1851,5.997978069771648e-08,5.3530342825069965e-08
1852,6.705861865796692e-08,3.971432649407802e-08
1853,7.882950114890264e-08,6.92744062114059e-08
1854,6.234797211845944e-08,8.728716238692869e-08
1855,1.3214273053563375e-07,6.845948519185185e-08
1856,5.7984518520015627e-08,4.193523395201737e-08
1857,9.030791758846135e-08,8.884346414106403e-08
1858,8.270312434888183e-08,5.725600971118183e-08
1859,6.772590666059841e-08,6.874434133052887e-08
1860,7.323494441435763e-08,8.513561766676503e-08
1861,6.838147470489275e-08,9.431927799896656e-08
1862,6.957699127951855e-08,7.635397025751445e-08
1863,6.942522734476597e-08,1.23367130400176e-07
1864,7.767459209162553e-08,4.2193605054308136e-08
1865,1.2755548756127055e-07,3.953749216911717e-08
1866,4.962925004292629e-08,6.3252969084715e-08
1867,1.2471726051899168e-07,7.182161176899626e-08
1868,1.6202786312646822e-07,5.977247596877788e-08
1869,1.0304225384061283e-07,4.541672637969896e-08
1870,9.690542412954528e-08,2.9243648391741317e-08
1871,1.1577082958957874e-07,1.6993883633631413e-08
1872,6.228759541482276e-08,4.293610778027812e-08
1873,1.3229070550124788e-07,7.183205186223063e-08
1874,7.826737868921185e-08,3.226289030378027e-08
1875,8.124568529055409e-08,6.865832347102696e-08
1876,6.166934962692494e-08,3.083467703390852e-08
1877,1.199854282596391e-07,6.308512334740612e-08
1878,8.394333572692148e-08,8.454724387263468e-08
1879,1.1424438006724102e-07,4.704180311954076e-08
1880,6.99545257276668e-08,5.262634061864446e-08
1881,7.669758161910067e-08,3.6954290072443996e-08
1882,8.652000360598322e-08,5.856739049292514e-08
1883,7.64639978001469e-08,8.783881205731703e-08
1884,6.205595148855991e-08,5.809493508479591e-08
1885,1.005519196795035e-07,5.7366156325233675e-08
1886,7.550552844071134e-08,5.227305877042454e-08
1887,8.618180658004349e-08,5.484296672353395e-08
1888,7.735550155985038e-08,1.648559799782845e-08
1889,5.701274446989757e-08,5.325366103647866e-08
1890,7.537544632896243e-08,4.260351360585446e-08
1891,5.609313546983685e-08,2.3584614594618358e-08
1892,8.274436424926535e-08,3.57305189879753e-08
1893,7.020594949835868e-08,4.618812360357438e-08
1894,7.624862519151065e-08,3.591877373310126e-08
1895,9.569597381187123e-08,4.875077741495204e-08
1896,6.191880430606034e-08,3.066455078748476e-08
1897,4.4865694825979574e-08,1.631479840114025e-08
1898,6.5636914792222e-08,2.4330925163518202e-08
1899,4.311511325738593e-08,3.15071986278781e-08
1900,4.983411017178696e-08,2.024510803444457e-08
1901,3.353243371861936e-08,3.017919075753994e-08
1902,7.021706238674597e-08,2.897067474805226e-08
1903,5.994244389739833e-08,2.9701211046173626e-08
1904,4.192207825326477e-08,3.815984062072175e-08
1905,9.753834717685095e-08,3.509316215399849e-08
1906,4.423998589686562e-08,2.777859664515603e-08
1907,5.914269962659091e-08,2.0571372771893692e-08
1908,4.7640472899956876e-08,2.1118973680955833e-08
1909,5.4459736276157855e-08,2.6954818821423032e-08
1910,4.11499598840237e-08,3.259931868893062e-08
1911,5.320374063533251e-08,3.0858168353908866e-08
1912,4.151908689631334e-07,2.5005221004903433e-08
1913,1.0234770431161166e-07,1.1666577148794488e-08
1914,3.6162417338392316e-08,2.2099254259888568e-08
1915,4.9479201069679846e-08,1.6493066468115103e-08
1916,1.538244731591476e-07,1.0987461607214755e-08
1917,9.869782291449525e-08,3.070598708632133e-08
1918,3.101321777165822e-08,3.2161853624756986e-08
1919,2.5781975665495338e-08,1.289098744416961e-08
1920,3.48322650722821e-08,1.2115570768855832e-08
1921,2.574734203619755e-08,8.330022505109724e-09
1922,3.32007097370024e-08,1.8444838545406128e-08
1923,3.927900982247934e-08,3.1847844805810155e-08
1924,2.4494086647841584e-08,2.8361574200275186e-08
1925,4.8391983309414854e-08,1.7597084678300234e-08
1926,6.57622145627812e-08,1.8948435043242284e-08
1927,2.4528294062520217e-08,3.2332752031294376e-08
1928,2.5137291359556002e-08,1.8281665847830197e-08
1929,3.119313873867213e-08,1.4482528065684619e-08
1930,3.676261073337628e-08,2.4158287814657342e-08
1931,2.737285598186645e-08,2.3951248095954725e-08
1932,2.5206933651489294e-08,1.8631212128639163e-08
1933,9.405943046658649e-08,1.7205992852709073e-08
1934,2.036868629318178e-08,3.834105832822843e-08
1935,2.6330225111337313e-08,2.0346082152400413e-08
1936,3.516167268458048e-08,1.33371855781661e-08
1937,2.895957251780601e-08,2.6441347777961255e-08
1938,3.5006078036303734e-08,7.779128785578848e-09
1939,4.129393715857077e-08,1.5294050470515685e-08
1940,2.7893612530860423e-08,1.0143131667916805e-08
1941,2.3612020783048138e-08,8.854508237732261e-09
1942,4.8547388331598995e-08,3.034211815133858e-08
1943,2.9032351633873077e-08,1.1612940831184915e-08
1944,2.5705489292704442e-08,1.2852744646352221e-08
1945,3.0499055725385915e-08,8.714016175304096e-09
1946,2.645009899993056e-08,1.6705325123211878e-08
1947,3.0994263822137214e-08,8.344609669919123e-09
1948,3.913879709216417e-08,2.5005342907391537e-08
1949,3.337782672474532e-08,1.9634017078828947e-08
1950,2.5524867552917385e-08,2.2334258886758107e-08
1951,2.2388943254902927e-08,1.4925962799061665e-08
1952,3.1634410646574906e-08,1.4762725042416491e-08
1953,4.3095308654983455e-08,8.619061908632375e-09
1954,4.593092128857279e-08,1.9545072671434127e-08
1955,7.790054246115119e-08,1.5016972554349195e-08
1956,3.575668117150599e-08,2.0058626093444332e-08
1957,3.268964121616591e-08,1.4136060322300636e-08
1958,2.9780077070995503e-08,2.0680609058576493e-08
1959,1.7826719656000023e-08,1.007597250080039e-08
1960,2.8375417571169237e-08,1.176541686298549e-08
1961,5.072156383789661e-08,1.598076693198891e-08
1962,3.6783347923119436e-08,1.3318108227355907e-08
1963,3.2330266463986845e-08,1.7458344103715717e-08
1964,3.102823953327061e-08,1.2776333657704697e-08
1965,3.1190647065137966e-08,2.407699106754535e-08
1966,3.212663202134536e-08,2.1602391653274822e-08
1967,2.8102911997507363e-08,2.613077793034435e-08
1968,3.5482184301827147e-08,3.0541628559532796e-08
1969,2.8613074576355757e-08,1.862120768691966e-08
1970,4.1388524607555155e-08,1.4256047897731605e-08
1971,4.419021948365298e-08,1.0790634275004152e-08
1972,2.7702792948502974e-08,1.9494558856081312e-08
1973,5.788864143596584e-08,1.9296212849795324e-08
1974,2.700274492895005e-08,1.406392957647995e-08
1975,1.6563292959403952e-08,1.2565256835017635e-08
1976,2.7424929827102318e-08,1.9425991482080462e-08
1977,1.704266772151186e-08,1.527963250369524e-08
1978,2.5544542481270582e-08,2.316830638449119e-08
1979,3.3356247541860284e-08,1.755592016206009e-08
1980,1.989802811408481e-08,1.1370301200575028e-08
1981,1.3916208629893845e-08,1.4548763971333756e-08
1982,1.8001756529884005e-08,8.690503427999374e-09
1983,2.273513821648976e-08,9.472973849788957e-09
1984,7.248760880429472e-08,1.681712546997005e-08
1985,3.549179083961462e-08,1.9851341903631692e-08
1986,1.3787316177626963e-08,8.392279815527814e-09
1987,1.7110287964250404e-08,2.199894133525504e-08
1988,1.798966131616453e-08,1.0793796967334401e-08
1989,6.3113404280557e-08,1.7561990306447228e-08
1990,1.4166492867673242e-08,8.717841559757744e-09
1991,2.0515127652220855e-08,1.699824903056424e-08
1992,1.652983172562017e-08,1.3774860363469088e-08
1993,1.606370148010683e-08,1.3294097656046944e-08
1994,1.8462243289718572e-08,1.5824779708850656e-08
1995,1.3013881527967897e-08,1.3013881527967897e-08
1996,1.1209993822092201e-08,1.2811421257197253e-08
1997,1.5343662340683295e-08,2.109753571843953e-08
1998,1.1920323395031573e-08,1.2873949017944142e-08
1999,1.8737825513426287e-08,2.0108885889769113e-08
