year,certain_ADJ or_NOUN,certain_ADJ corps_NOUN
1800,1.2576657937302116e-08,8.803660600520402e-08
1801,1.4287095950749062e-08,9.524730337773235e-09
1802,2.2378401354217203e-09,6.265952379180817e-08
1803,5.851017448321727e-09,7.606323038089613e-08
1804,7.4155526164076946e-09,9.39303390623536e-08
1805,8.528632911009026e-09,6.538618890772341e-08
1806,1.729001475325731e-08,2.305335300434308e-08
1807,8.540865792383556e-09,1.7081731584767113e-08
1808,6.798221985349073e-09,4.5321478125970316e-08
1809,0.0,1.0391540428145163e-07
1810,9.360507036149102e-09,1.1232608443378922e-07
1811,1.2535384286138651e-08,2.757784400841956e-08
1812,0.0,3.467370746079723e-08
1813,2.8757416448144113e-09,2.5881675469463516e-08
1814,3.1466771410748606e-09,5.349351184236184e-08
1815,5.394447111228828e-09,4.5852800667489646e-08
1816,4.6352077731626196e-09,9.270415191053871e-08
1817,4.670620334934483e-09,7.317304895337884e-08
1818,8.344824387052086e-09,7.629553278043488e-08
1819,2.070210003424222e-09,3.519356894798875e-08
1820,8.306536791735653e-09,4.6279275522920216e-08
1821,5.9168927535324656e-09,3.550135829755163e-08
1822,3.0076847679083585e-09,4.6117833107928163e-08
1823,1.1859224713361982e-08,1.581229902569703e-08
1824,0.0,7.831634718513669e-08
1825,4.4027217427355936e-09,1.4088708866211164e-08
1826,1.7615968683770689e-09,2.906634888333315e-08
1827,3.6869092223668076e-09,2.1199728195142598e-08
1828,2.7516903755575584e-09,3.944089499441361e-08
1829,1.3717081692732336e-08,5.1439055681612444e-08
1830,6.262101504006523e-09,4.174734158368665e-08
1831,1.5591206103948707e-09,1.870944643656003e-08
1832,9.470978667991403e-09,2.570694190850986e-08
1833,3.4750886612755494e-09,3.1275796175123105e-08
1834,1.8669061851994684e-09,2.2402874444438226e-08
1835,4.5378527602224494e-09,7.033671778344797e-08
1836,2.016224964762614e-09,4.099657607836704e-08
1837,1.3915781860163179e-09,1.8090515752078318e-08
1838,1.2624323808552163e-09,3.09295933309528e-08
1839,3.4957375882882502e-09,6.292327725532232e-08
1840,1.2739377330817092e-09,5.732719826623267e-08
1841,1.926164561183441e-09,6.356342918678592e-08
1842,1.2745703159566801e-08,7.513256861102491e-08
1843,2.953455535692484e-09,8.033398846141182e-08
1844,2.195424508855126e-09,5.598332464273881e-08
1845,2.790113973194508e-09,6.528866691724033e-08
1846,1.7563503984519002e-09,3.981061014179943e-08
1847,5.393223645455691e-10,4.961765665001394e-08
1848,0.0,7.079795238951192e-08
1849,4.1897072478036534e-09,4.524883934209356e-08
1850,4.752297222410107e-09,4.3449574604892405e-08
1851,2.579775504329973e-09,3.5471913850670944e-08
1852,6.510545436100301e-10,4.2969598323949754e-08
1853,2.9859659189668264e-09,4.299791100947914e-08
1854,1.506742641765868e-08,7.273930435758302e-08
1855,5.837630823180007e-09,2.388121700391821e-08
1856,1.1389815923745772e-08,3.002769738413846e-08
1857,1.1715621583974212e-08,4.490988203542656e-08
1858,1.468102750479261e-09,4.6489922578274445e-08
1859,8.147477359443656e-09,5.6523123070917336e-08
1860,5.950338888283113e-09,3.478659946209994e-08
1861,5.187560159214399e-09,6.036433575218325e-08
1862,6.776979422085105e-09,3.5692092836825395e-08
1863,8.990317490464861e-09,7.242200439350199e-08
1864,1.9178911792039344e-09,5.034464223285795e-08
1865,7.060266649094871e-09,4.000817810378976e-08
1866,4.865613079108044e-09,9.633913755635604e-08
1867,4.367530337390235e-09,3.591080499631971e-08
1868,1.333765986544222e-08,4.198892966655876e-08
1869,4.395167341186834e-09,4.248661511496721e-08
1870,6.307453670473251e-09,5.2753250656678574e-08
1871,4.248470908407853e-09,3.292564798584863e-08
1872,1.0885210954825197e-08,3.930770375859538e-08
1873,2.9930022904522957e-09,2.933142118077825e-08
1874,5.377148060148329e-09,4.5407028526067705e-08
1875,1.830888685105947e-08,4.920513418937844e-08
1876,1.209202959984168e-09,3.023007266733657e-08
1877,4.9478527941460015e-09,3.4016487737709156e-08
1878,6.039088784604019e-09,2.5364171873931696e-08
1879,2.443730107160036e-09,2.0771705910860305e-08
1880,5.134277003548959e-09,4.685027832351807e-08
1881,1.2550513628362125e-08,3.067903264764027e-08
1882,5.324308105514319e-09,4.592215674392719e-08
1883,1.8958017378167824e-09,3.854796659652493e-08
1884,5.281357573494461e-09,2.706695667598069e-08
1885,9.023889857573408e-09,4.898683059195719e-08
1886,3.872078213618124e-09,3.0976625708944994e-08
1887,6.528924512139156e-09,3.852065688647599e-08
1888,6.340614699951175e-10,3.170307194544364e-08
1889,5.012109394186837e-09,2.8819629072085462e-08
1890,1.3108772956016423e-09,2.94947390955258e-08
1891,5.099376032546843e-09,4.206985337873448e-08
1892,1.8805537127519756e-09,4.137218212463267e-08
1893,0.0,2.8328715373504565e-08
1894,6.301539290376468e-09,3.591877373310126e-08
1895,3.611168697403855e-09,1.1435367319734269e-08
1896,4.1279202278587945e-09,2.6536630670648265e-08
1897,5.826713556089658e-10,2.5637540090883704e-08
1898,1.6975064687230201e-09,2.6594268121016285e-08
1899,6.633094074004475e-09,1.879376654301268e-08
1900,2.5955265714472375e-09,3.3741844873702576e-08
1901,2.794369402536745e-09,5.02986488015722e-08
1902,2.9461704187383475e-09,1.5712908307818907e-08
1903,6.48026410310365e-09,4.860198288270112e-08
1904,2.1498500757388683e-09,2.741058935384899e-08
1905,3.6125313851442797e-09,1.8062657147766004e-08
1906,6.173021205313489e-09,2.82930141537463e-08
1907,4.114274698707732e-09,3.5485619775954547e-08
1908,5.893667109901912e-09,4.813161424976897e-08
1909,2.7504918342913243e-09,4.8408654862441836e-08
1910,3.206490406526541e-09,2.939282950364941e-08
1911,9.044636151145369e-09,3.9902805393232654e-08
1912,2.6047106693738442e-09,3.438217888174222e-08
1913,1.590896969716482e-09,8.909022852776616e-08
1914,1.4063162190325329e-08,4.888622839871459e-08
1915,2.3561523843085297e-09,2.3561524176152204e-08
1916,0.0,6.043104039399338e-08
1917,4.386569774084137e-09,1.7546279096336548e-08
1918,0.0,1.033773866510046e-08
1919,1.8415696745321952e-09,3.4069039145379065e-08
1920,1.2872794385998532e-08,3.483226551637131e-08
1921,4.543648568500203e-09,2.7261890134244737e-08
1922,1.4755870969551665e-09,4.352981974875547e-08
1923,8.492758496458919e-09,3.290944050604594e-08
1924,1.1602461880144688e-08,5.5433986068109675e-08
1925,3.299453377181294e-09,2.74954441437103e-08
1926,3.343841648018042e-09,2.1177662290483568e-08
1927,2.2298449753321847e-09,2.1183527820767267e-08
