year,bon_ADJ quart_NOUN
1800,1.5720821977538435e-07
1801,2.404994461358001e-07
1802,1.2308120744819462e-07
1803,1.2287136996746995e-07
1804,2.4224138428508013e-07
1805,2.1321582721611776e-07
1806,2.1900684998854558e-07
1807,1.1672516109229036e-07
1808,1.540930298915555e-07
1809,2.1686693685296632e-07
1810,2.199719202344852e-07
1811,1.2033967777824728e-07
1812,1.9203899626063503e-07
1813,1.7254450312975678e-07
1814,1.9824065589091333e-07
1815,1.3755840200246894e-07
1816,1.0197457100957763e-07
1817,1.0431051578052575e-07
1818,1.2517236314124602e-07
1819,1.0144029261027754e-07
1820,1.3290458866777044e-07
1821,1.4200543319020653e-07
1822,1.3233812978796777e-07
1823,1.5812298670425662e-07
1824,6.315834610859383e-08
1825,1.426481843758154e-07
1826,7.398706969308222e-08
1827,1.5024154720322258e-07
1828,9.997808092521154e-08
1829,1.577464416868679e-07
1830,9.393152211600864e-08
1831,1.3720261904381914e-07
1832,8.659180672498934e-08
1833,1.366868147556488e-07
1834,1.1294782131798797e-07
1835,1.3008511956513757e-07
1836,1.1626897444827478e-07
1837,1.217630911654055e-07
1838,1.224559424972682e-07
1839,1.1535933830408851e-07
1840,8.599079848181646e-08
1841,1.1171754721317484e-07
1842,1.831356399861761e-07
1843,1.1341269012810073e-07
1844,6.586273570974299e-08
1845,9.932805511425613e-08
1846,8.079211966105504e-08
1847,7.928039025273392e-08
1848,5.953464160546318e-08
1849,5.027649052635752e-08
1850,6.788996387285806e-08
1851,5.997978291816253e-08
1852,1.087261116694549e-07
1853,1.23618988823182e-07
1854,1.205394181136299e-07
1855,1.3638828377793288e-07
1856,1.2062851162397692e-07
1857,1.4156376115792568e-07
1858,1.3310798419041703e-07
1859,1.6142189629420045e-07
1860,1.620323075712804e-07
1861,1.7118948802963274e-07
1862,1.6671369001963754e-07
1863,1.1387735665557841e-07
1864,1.0596348687386126e-07
1865,1.33203698737816e-07
1866,1.6591739826488094e-07
1867,1.0190903942941532e-07
1868,1.11147162917824e-07
1869,1.1573940272846528e-07
1870,1.2672248317358026e-07
1871,1.678146048789131e-07
1872,1.2880832400696818e-07
1873,1.6102351824143213e-07
1874,1.7744589797530352e-07
1875,1.9910913806597819e-07
1876,1.1366508090304706e-07
1877,1.3544747257121514e-07
1878,1.5460067004369193e-07
1879,2.3765275924958473e-07
1880,1.7713255084927937e-07
1881,1.401474014617321e-07
1882,1.5373939432627992e-07
1883,1.952675710015228e-07
1884,1.8088650044489896e-07
1885,1.8241149235542764e-07
1886,1.2003443167207806e-07
1887,1.482065954405698e-07
1888,1.8895031583809896e-07
1889,1.440981467482061e-07
1890,1.4812912851880355e-07
1891,1.287592459320308e-07
1892,1.3602672410684136e-07
1893,1.36716849619134e-07
1894,1.7455263479071448e-07
1895,1.703267904495931e-07
1896,1.6924473222879044e-07
1897,1.6256530521729928e-07
1898,1.5334141778566845e-07
1899,1.9567627340677518e-07
1900,1.360055952304151e-07
1901,1.6598554375413244e-07
1902,1.6793170676265845e-07
1903,1.4472590281755515e-07
1904,1.0534265193484771e-07
1905,1.56887072888523e-07
1906,1.9805109729986725e-07
1907,1.5428529875904928e-07
1908,1.6207583986016516e-07
1909,1.9473481494003408e-07
1910,1.8383877886662958e-07
1911,1.5003454634232583e-07
1912,1.8285067815426714e-07
1913,1.6969566818403337e-07
1914,1.2455943476652465e-07
1915,1.4843760709482012e-07
1916,2.3073669819240195e-07
1917,1.820426462906255e-07
1918,2.1020068707855444e-07
1919,2.292754217592119e-07
1920,1.5068741276991204e-07
1921,1.7871684665493603e-07
1922,1.3649180630181945e-07
1923,1.486232745762095e-07
1924,1.8821771785582087e-07
1925,1.6827212889758414e-07
1926,1.683066841451364e-07
1927,2.0737557804295648e-07
1928,1.8167405180236074e-07
1929,1.9718519639333465e-07
1930,1.754101734974256e-07
1931,2.0529642252853364e-07
1932,1.6110519140966062e-07
1933,1.6632459676202416e-07
1934,1.5576054401833517e-07
1935,1.7473694402525553e-07
1936,1.7217094239185826e-07
1937,1.5361163807625644e-07
1938,1.5039648815218243e-07
1939,1.6211693765200152e-07
1940,1.749690170527174e-07
1941,1.7709015764921787e-07
1942,1.790184951389051e-07
1943,1.306455887917224e-07
1944,2.570548929270444e-07
1945,2.65777487129526e-07
1946,2.3387454550771736e-07
1947,1.573554917477793e-07
1948,1.7177582378735679e-07
1949,1.659074415627515e-07
1950,1.9037297560586808e-07
1951,2.537413581471526e-07
1952,1.8347958707920498e-07
1953,2.3810158378267943e-07
1954,2.032687578257253e-07
1955,2.1586898046876968e-07
1956,1.8750453989468951e-07
1957,1.8641930027429865e-07
1958,2.3079559241523384e-07
1959,1.7439182953271626e-07
1960,2.3046375524637952e-07
1961,2.160877556889318e-07
1962,2.2831043589022215e-07
1963,1.9980104193351167e-07
1964,2.147640851823951e-07
1965,1.8769108811600432e-07
1966,2.437192847537517e-07
1967,2.1299049657308444e-07
1968,2.0391028598965022e-07
1969,1.8666624157503975e-07
1970,1.6095537491711553e-07
1971,1.860099879680277e-07
1972,2.0828396429806162e-07
1973,1.9682137519794196e-07
1974,1.648292453637623e-07
1975,1.7248670758363005e-07
1976,1.816901544771099e-07
1977,1.8746934460356357e-07
1978,2.0435633985016466e-07
1979,2.1944900374659682e-07
1980,1.859044260754672e-07
1981,2.1506868247422872e-07
1982,2.1664183691427752e-07
1983,2.254567794679474e-07
1984,2.018054914287859e-07
1985,2.165600883063945e-07
1986,2.3198658827272567e-07
1987,2.2182264558523457e-07
1988,2.5065594400075497e-07
1989,2.3434282392376105e-07
1990,2.408303810264023e-07
1991,2.0515128906772873e-07
1992,2.2866268523102917e-07
1993,2.0993596194784914e-07
1994,2.5425146077395766e-07
1995,2.3424986900222322e-07
1996,2.0391512034478865e-07
1997,2.1433177721519314e-07
1998,2.2171800329040536e-07
1999,2.0748712636908806e-07
2000,2.3548108363247167e-07
2001,2.0504070724625123e-07
2002,1.9058313832642781e-07
2003,2.2126361276519901e-07
2004,2.405016061857168e-07
2005,1.8960786007937713e-07
2006,2.548973878080396e-07
2007,2.652334288311131e-07
2008,3.141990589927701e-07
2009,3.070716023678699e-07
2010,4.2136234945644446e-07
2011,4.997931117300958e-07
2012,6.165101523736283e-07
2013,5.756754196672986e-07
2014,6.349085213130934e-07
2015,5.831809795076026e-07
2016,5.77903868759222e-07
2017,5.974576726686109e-07
2018,6.378804400242188e-07
2019,5.714212534257967e-07
