year,en_ADP anneau_NOUN,en_ADP canots_NOUN
1800,2.7668647817336023e-07,3.804439074883703e-07
1801,2.643112679834303e-07,1.0000967165524344e-07
1802,2.6854081625060644e-07,1.7902721083373763e-08
1803,2.7304750460643845e-07,9.946730017418304e-08
1804,2.817910171870608e-07,9.88740396223875e-08
1805,6.623905051128531e-07,1.7057265822018053e-08
1806,1.7290014397985942e-07,2.0171682990621775e-08
1807,1.4234775846944103e-07,5.693910232196231e-09
1808,6.345007363961486e-08,2.4926814390369145e-08
1809,1.4909601020463015e-07,0.0
1810,1.4040760731859336e-07,2.574139479349924e-08
1811,2.0307321335621964e-07,1.8050953087822563e-07
1812,1.3336041604361526e-07,5.3344164641089264e-09
1813,1.322841143291953e-07,2.5881675469463516e-08
1814,1.321604372606089e-07,1.2586708564299443e-08
1815,5.556280484597664e-07,3.776112933451259e-08
1816,3.5691098787538067e-07,1.1819779643928996e-07
1817,3.3161404644488357e-07,1.71256075987003e-08
1818,1.0609847578280096e-07,5.96058882251782e-08
1819,1.9977527188075328e-07,4.140420006848444e-09
1820,1.1273156985680544e-07,4.865257352548724e-08
1821,1.0453177878844144e-07,6.01550809165019e-08
1822,1.7945852448519872e-07,6.817418807258946e-08
1823,2.3026660755931516e-07,2.569498569471307e-08
1824,1.4905369027928828e-07,1.2631669044083083e-08
1825,1.171123926724249e-07,5.459374818883589e-08
1826,1.0041102171953753e-07,3.8755132436563144e-08
1827,1.9909309401100472e-07,5.899054755786892e-08
1828,2.953480873202352e-07,3.66892045633449e-08
1829,1.1916714726112332e-07,2.5719527840806222e-08
1830,2.233482803148945e-07,6.679574937606958e-08
1831,9.978371906527173e-08,3.741889287312006e-08
1832,2.2053849590975005e-07,8.523880978827947e-08
1833,1.957633202209763e-07,9.266902623039641e-08
1834,1.157481861469023e-07,1.2881652367013885e-07
1835,1.936150511028245e-07,2.8739734148075513e-08
1836,1.317267077638462e-07,2.9571300075303952e-08
1837,1.871672594688789e-07,4.1051556820548285e-08
1838,1.590664737705083e-07,2.840472923537618e-08
1839,1.370329130168102e-07,1.1885507689157748e-08
1840,1.1975014047038712e-07,3.567025785855549e-08
1841,2.1765659141692595e-07,1.8619591202195807e-08
1842,1.1873628835701311e-07,4.427455024824667e-08
1843,9.628264763250627e-08,2.008349753168659e-08
1844,1.5367972139301855e-07,2.7991662321369404e-08
1845,1.1383664855202369e-07,5.022205318283568e-09
1846,1.6158423932211008e-07,2.985795788390533e-08
1847,1.1217905182547838e-07,2.2651539310913904e-08
1848,1.3757329497821047e-07,9.65426583121598e-09
1849,1.240153437720437e-07,1.4245005175439474e-08
1850,1.1880742789571741e-07,2.1724787302446202e-08
